 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         @dled12_1[id]  
 3.98397428e-05  3.98397428e-05  5.45102644e-01  2.35304163e-01  9.00000000e+00  6.70126328e-02 -6.41664562e-08 -6.41664561e-08 -8.89747230e-20 
 3.98541286e-05  3.98541286e-05  5.45095766e-01  2.35355310e-01  9.00000000e+00  6.70123332e-02  6.48414953e-08  6.48414951e-08  8.99108106e-20 
 3.98685277e-05  3.98685277e-05  5.45088882e-01  2.35406503e-01  9.00000000e+00  6.70125342e-02 -6.50111099e-08 -6.50111098e-08 -9.01459393e-20 
 3.98829604e-05  3.98829604e-05  5.45081983e-01  2.35457815e-01  9.00000000e+00  6.70122377e-02  6.56987627e-08  6.56987625e-08  9.10995190e-20 
 3.98973220e-05  3.98973220e-05  5.45075117e-01  2.35508874e-01  9.00000000e+00  6.70124356e-02 -6.58746535e-08 -6.58746534e-08 -9.13433489e-20 
 3.99117183e-05  3.99117183e-05  5.45068235e-01  2.35560056e-01  9.00000000e+00  6.70121423e-02  6.65618750e-08  6.65618748e-08  9.22963322e-20 
 3.99260870e-05  3.99260870e-05  5.45061366e-01  2.35611138e-01  9.00000000e+00  6.70123372e-02 -6.67310205e-08 -6.67310203e-08 -9.25308070e-20 
 3.99404855e-05  3.99404855e-05  5.45054482e-01  2.35662326e-01  9.00000000e+00  6.70120469e-02  6.74079388e-08  6.74079386e-08  9.34695055e-20 
 3.99548607e-05  3.99548607e-05  5.45047611e-01  2.35713431e-01  9.00000000e+00  6.70122387e-02 -6.75639153e-08 -6.75639151e-08 -9.36857182e-20 
 3.99692596e-05  3.99692596e-05  5.45040728e-01  2.35764619e-01  9.00000000e+00  6.70119513e-02  6.82259109e-08  6.82259108e-08  9.46037262e-20 
 3.99867119e-05  3.99867119e-05  5.45032385e-01  2.35826662e-01  9.00000000e+00  6.70121301e-02 -6.82962239e-08 -6.82962237e-08 -9.47011542e-20 
 4.00059750e-05  4.00059750e-05  5.45023177e-01  2.35895141e-01  9.00000000e+00  6.70118287e-02  6.88451697e-08  6.88451695e-08  9.54624059e-20 
 4.00293413e-05  4.00293413e-05  5.45012008e-01  2.35978204e-01  9.00000000e+00  6.70119856e-02 -6.88245850e-08 -6.88245848e-08 -9.54337919e-20 
 4.00559401e-05  4.00559401e-05  5.44999294e-01  2.36072757e-01  9.00000000e+00  6.70116611e-02  6.92869627e-08  6.92869626e-08  9.60750073e-20 
 4.00894651e-05  4.00894651e-05  5.44983269e-01  2.36191928e-01  9.00000000e+00  6.70117824e-02 -6.91905074e-08 -6.91905072e-08 -9.59411884e-20 
 4.01305219e-05  4.01305219e-05  5.44963646e-01  2.36337869e-01  9.00000000e+00  6.70114103e-02  6.95778607e-08  6.95778605e-08  9.64783737e-20 
 4.01866235e-05  4.01866235e-05  5.44936833e-01  2.36537279e-01  9.00000000e+00  6.70114546e-02 -6.94150569e-08 -6.94150568e-08 -9.62525539e-20 
 4.02645347e-05  4.02645347e-05  5.44899599e-01  2.36814195e-01  9.00000000e+00  6.70109591e-02  6.97399952e-08  6.97399951e-08  9.67031935e-20 
 4.03918860e-05  4.03918860e-05  5.44838743e-01  2.37266795e-01  9.00000000e+00  6.70107630e-02 -6.95239510e-08 -6.95239509e-08 -9.64035490e-20 
 4.06307221e-05  4.06307221e-05  5.44724634e-01  2.38115481e-01  9.00000000e+00  6.70097259e-02  6.98031729e-08  6.98031728e-08  9.67907973e-20 
 4.11083943e-05  4.11083943e-05  5.44496498e-01  2.39812356e-01  9.00000000e+00  6.70083504e-02 -6.95568493e-08 -6.95568491e-08 -9.64491664e-20 
 4.20637386e-05  4.20637386e-05  5.44040550e-01  2.43204122e-01  9.00000000e+00  6.70049037e-02  6.98196065e-08  6.98196063e-08  9.68135845e-20 
 4.39744274e-05  4.39744274e-05  5.43129950e-01  2.49979732e-01  9.00000000e+00  6.69987175e-02 -6.95650626e-08 -6.95650625e-08 -9.64605553e-20 
 4.77958050e-05  4.77958050e-05  5.41313925e-01  2.63499350e-01  9.00000000e+00  6.69856835e-02  6.98237112e-08  6.98237110e-08  9.68192762e-20 
 5.27958050e-05  5.27958050e-05  5.38948167e-01  2.81125435e-01  9.00000000e+00  6.69692397e-02 -6.95674767e-08 -6.95674765e-08 -9.64639027e-20 
 5.53356211e-05  5.53356211e-05  5.37750942e-01  2.90051429e-01  9.00000000e+00  6.69605677e-02  6.98268153e-08  6.98268152e-08  9.68235805e-20 
 5.68528649e-05  5.68528649e-05  5.37037179e-01  2.95374894e-01  9.00000000e+00  6.69557690e-02 -6.95729802e-08 -6.95729800e-08 -9.64715339e-20 
 5.77722019e-05  5.77722019e-05  5.36605215e-01  2.98597333e-01  9.00000000e+00  6.69524914e-02  6.98359442e-08  6.98359441e-08  9.68362389e-20 
 5.85635215e-05  5.85635215e-05  5.36233718e-01  3.01369127e-01  9.00000000e+00  6.69501053e-02 -6.95852645e-08 -6.95852644e-08 -9.64885677e-20 
 5.95161140e-05  5.95161140e-05  5.35786897e-01  3.04703462e-01  9.00000000e+00  6.69467231e-02  6.98480255e-08  6.98480254e-08  9.68529911e-20 
 6.06197826e-05  6.06197826e-05  5.35269740e-01  3.08563389e-01  9.00000000e+00  6.69433102e-02 -6.95954741e-08 -6.95954740e-08 -9.65027246e-20 
