time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),@dled12_1[id]
0.00571950877,3.23322209,5.62099826,9.0,0.0859941841,-4.40829734e-05,-4.40829733e-05,-6.11119968e-17
0.00572450877,3.21752491,5.62180779,9.0,0.0858612492,4.4077742e-05,4.40777419e-05,6.11337876e-17
0.00572950877,3.20190547,5.62261554,9.0,0.0857729211,-4.40724815e-05,-4.40724814e-05,-6.10974555e-17
0.00573450877,3.18636338,5.6234215,9.0,0.0856410909,4.40672515e-05,4.40672514e-05,6.11192344e-17
0.00573950877,3.17089826,5.6242257,9.0,0.08555385,-4.40619922e-05,-4.4061992e-05,-6.10829176e-17
0.00574450877,3.15550973,5.62502812,9.0,0.0854231137,4.40567635e-05,4.40567634e-05,6.11046845e-17
0.00574950877,3.14019741,5.62582877,9.0,0.085336949,-4.40515053e-05,-4.40515052e-05,-6.10683831e-17
0.00575450877,3.12496092,5.62662766,9.0,0.0852072959,4.4046278e-05,4.40462779e-05,6.10901382e-17
0.00575950877,3.10979989,5.62742479,9.0,0.0851221967,-4.40410209e-05,-4.40410208e-05,-6.10538522e-17
0.00576450877,3.09471394,5.62822016,9.0,0.0849936159,4.4035795e-05,4.40357949e-05,6.10755953e-17
0.00576950877,3.0797027,5.62901379,9.0,0.0849095717,-4.40305391e-05,-4.4030539e-05,-6.10393247e-17
0.00577450877,3.06476581,5.62980567,9.0,0.0847820527,4.40253145e-05,4.40253144e-05,6.10610559e-17
0.00577950877,3.04990288,5.6305958,9.0,0.0846990529,-4.40200597e-05,-4.40200596e-05,-6.10248007e-17
0.00578450877,3.03511357,5.6313842,9.0,0.0845725852,4.40148365e-05,4.40148364e-05,6.104652e-17
0.00578950877,3.02039749,5.63217086,9.0,0.0844906193,-4.40095829e-05,-4.40095828e-05,-6.10102801e-17
0.00579450877,3.0057543,5.63295579,9.0,0.0843651925,4.40043611e-05,4.4004361e-05,6.10319875e-17
0.00579950877,2.99118362,5.633739,9.0,0.0842842503,-4.39991085e-05,-4.39991084e-05,-6.0995763e-17
0.00580450877,2.97668511,5.63452048,9.0,0.0841598541,4.39938881e-05,4.3993888e-05,6.10174585e-17
0.00580950877,2.9622584,5.63530025,9.0,0.0840799253,-4.39886367e-05,-4.39886366e-05,-6.09812493e-17
