 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         @dled12_1[id]  
 3.98321379e-05  3.98321379e-05  5.45067179e-01  7.28356941e-02  9.00000000e+00  6.70123953e-02 -5.66003630e-08 -5.66003628e-08 -7.84834027e-20 
 3.98464355e-05  3.98464355e-05  5.45060344e-01  7.28409689e-02  9.00000000e+00  6.70120717e-02  5.78000160e-08  5.78000158e-08  8.01469193e-20 
 3.98609241e-05  3.98609241e-05  5.45053417e-01  7.28463141e-02  9.00000000e+00  6.70122955e-02 -5.83981475e-08 -5.83981474e-08 -8.09762525e-20 
 3.98752725e-05  3.98752725e-05  5.45046558e-01  7.28516075e-02  9.00000000e+00  6.70119772e-02  5.94574958e-08  5.94574957e-08  8.24452222e-20 
 3.98896987e-05  3.98896987e-05  5.45039662e-01  7.28569297e-02  9.00000000e+00  6.70121961e-02 -5.99467915e-08 -5.99467913e-08 -8.31236381e-20 
 3.99040405e-05  3.99040405e-05  5.45032807e-01  7.28622207e-02  9.00000000e+00  6.70118826e-02  6.09117530e-08  6.09117529e-08  8.44617317e-20 
 3.99184567e-05  3.99184567e-05  5.45025915e-01  7.28675392e-02  9.00000000e+00  6.70120969e-02 -6.13217702e-08 -6.13217700e-08 -8.50302155e-20 
 3.99328157e-05  3.99328157e-05  5.45019052e-01  7.28728365e-02  9.00000000e+00  6.70117878e-02  6.22171888e-08  6.22171887e-08  8.62718815e-20 
 3.99472241e-05  3.99472241e-05  5.45012164e-01  7.28781521e-02  9.00000000e+00  6.70119979e-02 -6.25680856e-08 -6.25680854e-08 -8.67583853e-20 
 3.99626602e-05  3.99626602e-05  5.45004786e-01  7.28838468e-02  9.00000000e+00  6.70116892e-02  6.33707885e-08  6.33707884e-08  8.78714918e-20 
 3.99807844e-05  3.99807844e-05  5.44996123e-01  7.28905332e-02  9.00000000e+00  6.70118831e-02 -6.35626693e-08 -6.35626691e-08 -8.81374980e-20 
 4.00014388e-05  4.00014388e-05  5.44986251e-01  7.28981530e-02  9.00000000e+00  6.70115599e-02  6.42033498e-08  6.42033497e-08  8.90259421e-20 
 4.00259640e-05  4.00259640e-05  5.44974528e-01  7.29072008e-02  9.00000000e+00  6.70117297e-02 -6.42616385e-08 -6.42616384e-08 -8.91067050e-20 
 4.00548675e-05  4.00548675e-05  5.44960714e-01  7.29178638e-02  9.00000000e+00  6.70113809e-02  6.47816979e-08  6.47816978e-08  8.98278941e-20 
 4.00909588e-05  4.00909588e-05  5.44943464e-01  7.29311785e-02  9.00000000e+00  6.70115100e-02 -6.47316825e-08 -6.47316824e-08 -8.97584789e-20 
 4.01368225e-05  4.01368225e-05  5.44921545e-01  7.29480984e-02  9.00000000e+00  6.70111054e-02  6.51501381e-08  6.51501379e-08  9.03387824e-20 
 4.01998474e-05  4.01998474e-05  5.44891426e-01  7.29713491e-02  9.00000000e+00  6.70111427e-02 -6.50091006e-08 -6.50091004e-08 -9.01431532e-20 
 4.02921442e-05  4.02921442e-05  5.44847321e-01  7.30053985e-02  9.00000000e+00  6.70105825e-02  6.53452616e-08  6.53452614e-08  9.06093456e-20 
 4.04496915e-05  4.04496915e-05  5.44772045e-01  7.30635190e-02  9.00000000e+00  6.70103009e-02 -6.51340054e-08 -6.51340052e-08 -9.03163490e-20 
 4.07647862e-05  4.07647862e-05  5.44621529e-01  7.31797577e-02  9.00000000e+00  6.70089910e-02  6.54142482e-08  6.54142480e-08  9.07050041e-20 
 4.13949755e-05  4.13949755e-05  5.44320638e-01  7.34122260e-02  9.00000000e+00  6.70071188e-02 -6.51684349e-08 -6.51684347e-08 -9.03640898e-20 
 4.26553541e-05  4.26553541e-05  5.43719419e-01  7.38771259e-02  9.00000000e+00  6.70026320e-02  6.54314471e-08  6.54314469e-08  9.07288526e-20 
 4.51761114e-05  4.51761114e-05  5.42519237e-01  7.48067799e-02  9.00000000e+00  6.69944206e-02 -6.51770304e-08 -6.51770302e-08 -9.03760085e-20 
 5.01761114e-05  5.01761114e-05  5.40147506e-01  7.66502012e-02  9.00000000e+00  6.69774532e-02  6.54357557e-08  6.54357556e-08  9.07348270e-20 
 5.51761114e-05  5.51761114e-05  5.37787521e-01  7.84928571e-02  9.00000000e+00  6.69610663e-02 -6.51799183e-08 -6.51799181e-08 -9.03800129e-20 
 6.01761114e-05  6.01761114e-05  5.35439223e-01  8.03347481e-02  9.00000000e+00  6.69442642e-02  6.54386433e-08  6.54386432e-08  9.07388311e-20 
 6.51761114e-05  6.51761114e-05  5.33102555e-01  8.21758745e-02  9.00000000e+00  6.69280417e-02 -6.51828056e-08 -6.51828054e-08 -9.03840165e-20 
 7.01761114e-05  7.01761114e-05  5.30777459e-01  8.40162370e-02  9.00000000e+00  6.69114032e-02  6.54415304e-08  6.54415303e-08  9.07428344e-20 
 7.51761114e-05  7.51761114e-05  5.28463878e-01  8.58558358e-02  9.00000000e+00  6.68953435e-02 -6.51856924e-08 -6.51856923e-08 -9.03880194e-20 
 8.01761114e-05  8.01761114e-05  5.26161755e-01  8.76946716e-02  9.00000000e+00  6.68788671e-02  6.54444170e-08  6.54444168e-08  9.07468369e-20 
 8.51761114e-05  8.51761114e-05  5.23871033e-01  8.95327448e-02  9.00000000e+00  6.68629685e-02 -6.51885787e-08 -6.51885785e-08 -9.03920216e-20 
 9.01761114e-05  9.01761114e-05  5.21591656e-01  9.13700558e-02  9.00000000e+00  6.68466525e-02  6.54473030e-08  6.54473028e-08  9.07508387e-20 
 9.51761114e-05  9.51761114e-05  5.19323567e-01  9.32066051e-02  9.00000000e+00  6.68309136e-02 -6.51914644e-08 -6.51914643e-08 -9.03960231e-20 
 1.00176111e-04  1.00176111e-04  5.17066711e-01  9.50423932e-02  9.00000000e+00  6.68147563e-02  6.54501884e-08  6.54501883e-08  9.07548398e-20 
 1.05176111e-04  1.05176111e-04  5.14821032e-01  9.68774205e-02  9.00000000e+00  6.67991754e-02 -6.51943496e-08 -6.51943495e-08 -9.04000237e-20 
 1.10176111e-04  1.10176111e-04  5.12586474e-01  9.87116876e-02  9.00000000e+00  6.67831755e-02  6.54530734e-08  6.54530732e-08  9.07588401e-20 
 1.15176111e-04  1.15176111e-04  5.10362983e-01  1.00545195e-01  9.00000000e+00  6.67677510e-02 -6.51972343e-08 -6.51972341e-08 -9.04040237e-20 
 1.20176111e-04  1.20176111e-04  5.08150504e-01  1.02377943e-01  9.00000000e+00  6.67519067e-02  6.54559578e-08  6.54559576e-08  9.07628397e-20 
 1.25176111e-04  1.25176111e-04  5.05948981e-01  1.04209932e-01  9.00000000e+00  6.67366372e-02 -6.52001184e-08 -6.52001183e-08 -9.04080229e-20 
 1.30176111e-04  1.30176111e-04  5.03758362e-01  1.06041162e-01  9.00000000e+00  6.67209470e-02  6.54588416e-08  6.54588415e-08  9.07668385e-20 
 1.35176111e-04  1.35176111e-04  5.01578591e-01  1.07871635e-01  9.00000000e+00  6.67058309e-02 -6.52030020e-08 -6.52030019e-08 -9.04120213e-20 
 1.40176111e-04  1.40176111e-04  4.99409616e-01  1.09701349e-01  9.00000000e+00  6.66902934e-02  6.54617250e-08  6.54617248e-08  9.07708366e-20 
 1.45176111e-04  1.45176111e-04  4.97251382e-01  1.11530307e-01  9.00000000e+00  6.66753291e-02 -6.52058851e-08 -6.52058849e-08 -9.04160191e-20 
 1.50176111e-04  1.50176111e-04  4.95103837e-01  1.13358509e-01  9.00000000e+00  6.66599427e-02  6.54646078e-08  6.54646076e-08  9.07748340e-20 
 1.55176111e-04  1.55176111e-04  4.92966928e-01  1.15185954e-01  9.00000000e+00  6.66451287e-02 -6.52087676e-08 -6.52087675e-08 -9.04200160e-20 
 1.60176111e-04  1.60176111e-04  4.90840601e-01  1.17012644e-01  9.00000000e+00  6.66298920e-02  6.54674900e-08  6.54674899e-08  9.07788306e-20 
 1.65176111e-04  1.65176111e-04  4.88724805e-01  1.18838578e-01  9.00000000e+00  6.66152269e-02 -6.52116496e-08 -6.52116494e-08 -9.04240123e-20 
 1.70176111e-04  1.70176111e-04  4.86619488e-01  1.20663757e-01  9.00000000e+00  6.66001383e-02  6.54703717e-08  6.54703716e-08  9.07828264e-20 
 1.75176111e-04  1.75176111e-04  4.84524596e-01  1.22488183e-01  9.00000000e+00  6.65856206e-02 -6.52145311e-08 -6.52145309e-08 -9.04280078e-20 
 1.80176111e-04  1.80176111e-04  4.82440080e-01  1.24311854e-01  9.00000000e+00  6.65706787e-02  6.54732529e-08  6.54732528e-08  9.07868216e-20 
 1.85176111e-04  1.85176111e-04  4.80365887e-01  1.26134772e-01  9.00000000e+00  6.65563070e-02 -6.52174120e-08 -6.52174118e-08 -9.04320025e-20 
 1.90176111e-04  1.90176111e-04  4.78301966e-01  1.27956937e-01  9.00000000e+00  6.65415103e-02  6.54761336e-08  6.54761334e-08  9.07908160e-20 
 1.95176111e-04  1.95176111e-04  4.76248267e-01  1.29778350e-01  9.00000000e+00  6.65272830e-02 -6.52202924e-08 -6.52202922e-08 -9.04359965e-20 
 2.00176111e-04  2.00176111e-04  4.74204739e-01  1.31599011e-01  9.00000000e+00  6.65126302e-02  6.54790137e-08  6.54790135e-08  9.07948096e-20 
 2.05176111e-04  2.05176111e-04  4.72171331e-01  1.33418920e-01  9.00000000e+00  6.64985460e-02 -6.52231722e-08 -6.52231721e-08 -9.04399898e-20 
 2.10176111e-04  2.10176111e-04  4.70147994e-01  1.35238078e-01  9.00000000e+00  6.64840355e-02  6.54818933e-08  6.54818931e-08  9.07988025e-20 
 2.15176111e-04  2.15176111e-04  4.68134677e-01  1.37056486e-01  9.00000000e+00  6.64700930e-02 -6.52260515e-08 -6.52260514e-08 -9.04439823e-20 
 2.20176111e-04  2.20176111e-04  4.66131331e-01  1.38874143e-01  9.00000000e+00  6.64557234e-02  6.54847723e-08  6.54847722e-08  9.08027947e-20 
 2.25176111e-04  2.25176111e-04  4.64137906e-01  1.40691050e-01  9.00000000e+00  6.64419212e-02 -6.52289303e-08 -6.52289302e-08 -9.04479741e-20 
 2.30176111e-04  2.30176111e-04  4.62154354e-01  1.42507209e-01  9.00000000e+00  6.64276912e-02  6.54876509e-08  6.54876507e-08  9.08067861e-20 
 2.35176111e-04  2.35176111e-04  4.60180625e-01  1.44322618e-01  9.00000000e+00  6.64140278e-02 -6.52318086e-08 -6.52318084e-08 -9.04519652e-20 
 2.40176111e-04  2.40176111e-04  4.58216671e-01  1.46137279e-01  9.00000000e+00  6.63999361e-02  6.54905288e-08  6.54905287e-08  9.08107768e-20 
 2.45176111e-04  2.45176111e-04  4.56262444e-01  1.47951193e-01  9.00000000e+00  6.63864101e-02 -6.52346863e-08 -6.52346862e-08 -9.04559555e-20 
 2.50176111e-04  2.50176111e-04  4.54317895e-01  1.49764359e-01  9.00000000e+00  6.63724552e-02  6.54934063e-08  6.54934061e-08  9.08147667e-20 
 2.55176111e-04  2.55176111e-04  4.52382976e-01  1.51576777e-01  9.00000000e+00  6.63590654e-02 -6.52375635e-08 -6.52375633e-08 -9.04599451e-20 
 2.60176111e-04  2.60176111e-04  4.50457639e-01  1.53388450e-01  9.00000000e+00  6.63452460e-02  6.54962832e-08  6.54962831e-08  9.08187560e-20 
 2.65176111e-04  2.65176111e-04  4.48541838e-01  1.55199376e-01  9.00000000e+00  6.63319910e-02 -6.52404406e-08 -6.52404404e-08 -9.04639345e-20 
 2.70176111e-04  2.70176111e-04  4.46635525e-01  1.57009557e-01  9.00000000e+00  6.63183057e-02  6.54991590e-08  6.54991588e-08  9.08227435e-20 
 2.75176111e-04  2.75176111e-04  4.44738652e-01  1.58818992e-01  9.00000000e+00  6.63051841e-02 -6.52433163e-08 -6.52433161e-08 -9.04679220e-20 
