 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         @dled12_1[id]  
 5.00000000e-06  5.00000000e-06  4.99971920e+00  2.50000000e-02  5.42230640e-02  6.39432940e-01  3.04541199e-02 -3.59921953e-14 
 5.14041749e-06  5.14041749e-06  4.99971132e+00  2.57020874e-02  5.43484326e-02  6.40171172e-01  3.08020914e-02 -3.53426276e-14 
 5.42125246e-06  5.42125246e-06  4.99969555e+00  2.71062623e-02  5.46495067e-02  6.41142714e-01  3.15001134e-02 -3.40955804e-14 
 5.98292242e-06  5.98292242e-06  4.99966403e+00  2.99146121e-02  5.59875920e-02  6.42571092e-01  3.28982769e-02 -3.24236599e-14 
 7.10626232e-06  7.10626232e-06  4.99960104e+00  3.55313116e-02  5.88126297e-02  6.45336919e-01  3.56949786e-02 -2.92160762e-14 
 8.47243311e-06  8.47243311e-06  4.99952452e+00  4.23621655e-02  6.21968591e-02  6.48722548e-01  3.90961497e-02 -2.51899877e-14 
 1.12047747e-05  1.12047747e-05  4.99937180e+00  5.60238734e-02  6.90114610e-02  6.55480132e-01  4.58985494e-02 -1.69351950e-14 
 1.66694578e-05  1.66694578e-05  4.99906756e+00  8.33472891e-02  8.26052874e-02  6.69001439e-01  5.95033286e-02  1.03303197e-15 
 2.75988241e-05  2.75988241e-05  4.99846395e+00  1.37994121e-01  1.09824451e-01  6.96039886e-01  8.67129241e-02  4.78858695e-14 
 4.94575567e-05  4.94575567e-05  4.99727617e+00  2.47287784e-01  1.64233028e-01  7.50117111e-01  1.41132194e-01  3.21117576e-13 
 9.31750219e-05  9.31750219e-05  4.99497838e+00  4.65875109e-01  2.73079595e-01  8.58260728e-01  2.49971098e-01  1.74493064e-11 
 1.80609952e-04  1.80609952e-04  4.99069363e+00  9.03049761e-01  4.90745476e-01  1.07451307e+00  4.67650376e-01  8.37433060e-08 
 3.40304976e-04  3.40304976e-04  4.98395674e+00  1.70152488e+00  1.06670277e+00  1.64371121e+00  9.92264511e-01  4.56263829e-04 
 5.00000000e-04  5.00000000e-04  4.97866078e+00  2.50000000e+00  1.83125719e+00  2.39272588e+00  1.71110719e+00  1.69345731e-03 
 5.22442595e-04  5.22442595e-04  4.97804806e+00  2.61221297e+00  1.94204838e+00  2.50054166e+00  1.81654069e+00  1.78915142e-03 
 5.67327784e-04  5.67327784e-04  4.97688031e+00  2.83663892e+00  2.16151648e+00  2.71342981e+00  2.02462762e+00  2.16717363e-03 
 6.57098163e-04  6.57098163e-04  4.97489030e+00  3.28549081e+00  2.60365973e+00  3.13164688e+00  2.43606326e+00  2.80890937e-03 
 8.09287450e-04  8.09287450e-04  4.97253501e+00  4.04643725e+00  3.36304674e+00  3.55376720e+00  2.85686338e+00  2.98347074e-03 
 9.04643725e-04  9.04643725e-04  4.97169094e+00  4.52321862e+00  3.84282299e+00  3.69909841e+00  3.00549438e+00  2.65726752e-03 
 1.00000000e-03  1.00000000e-03  4.97132250e+00  5.00000000e+00  4.32290643e+00  3.84367744e+00  3.15369034e+00  2.33878731e-03 
 1.01179568e-03  1.01179568e-03  4.97130631e+00  5.00000000e+00  4.32314765e+00  3.84317354e+00  3.15342676e+00  2.31707683e-03 
 1.03538703e-03  1.03538703e-03  4.97127394e+00  5.00000000e+00  4.32314990e+00  3.84311478e+00  3.15337038e+00  2.31687508e-03 
 1.08256974e-03  1.08256974e-03  4.97120924e+00  5.00000000e+00  4.32314915e+00  3.84313416e+00  3.15338898e+00  2.31694274e-03 
 1.17693515e-03  1.17693515e-03  4.97107992e+00  5.00000000e+00  4.32315282e+00  3.84303787e+00  3.15329657e+00  2.31661322e-03 
 1.36566598e-03  1.36566598e-03  4.97082169e+00  5.00000000e+00  4.32315502e+00  3.84297965e+00  3.15324071e+00  2.31641665e-03 
 1.74312763e-03  1.74312763e-03  4.97030682e+00  5.00000000e+00  4.32316453e+00  3.84273008e+00  3.15300122e+00  2.31556537e-03 
