time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),v(N012),v(N013),v(N014),v(N015),v(N016),v(N017),@ddiode7_1[id],@ddiode7_2[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id],@ddiode7_6[id],@ddiode7_7[id],@dled12_1[id],@dled12_2[id],@dled12_3[id]
0.0,0.0,12.0,1.16486489,10.1142021,1.02972622,10.9153099,11.4576549,11.5523832,11.9981728,11.775278,11.4818982,1.16485887,0.172627569,11.4818982,0.836539063,0.172626456,11.9981727,-6.008948e-09,-0.000370579814,0.000370579814,0.000370579814,-5.53675541e-07,5.53675542e-07,5.53675541e-07,2.28883446e-11,0.00994158165,6.01978515e-09
1e-05,0.0,12.0000251,1.1648777,10.1142267,1.02974662,10.9153317,11.4576784,11.5523918,11.9981976,11.7752947,11.4819233,1.16487168,0.172616846,11.4819233,0.836539201,0.172615732,11.9981975,-6.01044211e-09,-0.000370592131,0.000370592131,0.000370592131,-5.53771888e-07,5.53771887e-07,5.53771887e-07,2.2888366e-11,0.00994161697,6.02127603e-09
2e-05,0.0,12.0000503,1.16488439,10.1142513,1.029767,10.9153536,11.4577019,11.5524001,11.9982224,11.7753113,11.4819484,1.16487836,0.17260613,11.4819484,0.836539339,0.172605016,11.9982224,-6.01121978e-09,-0.000370604446,0.000370604446,0.000370604446,-5.53865836e-07,5.53865837e-07,5.53865836e-07,2.28883873e-11,0.00994165228,6.02205358e-09
4e-05,0.0,12.0001005,1.16489135,10.1143005,1.02980778,10.9153973,11.4577489,11.5524168,11.9982721,11.7753444,11.4819985,1.16488533,0.172584704,11.4819985,0.836539614,0.172583591,11.998272,-6.01203089e-09,-0.000370629078,0.000370629078,0.000370629078,-5.54053718e-07,5.54053714e-07,5.54053718e-07,2.28884286e-11,0.0099417229,6.02286452e-09
8e-05,0.0,12.0002011,1.16489176,10.1143989,1.02988934,10.9154847,11.4578429,11.5524501,11.9983714,11.7754108,11.4820989,1.16488574,0.172541893,11.4820989,0.836540166,0.172540779,11.9983713,-6.01207779e-09,-0.000370678343,0.000370678343,0.000370678343,-5.54429663e-07,5.54429663e-07,5.54429662e-07,2.28885123e-11,0.0099418641,6.02291173e-09
0.00016,0.0,12.0004021,1.16489162,10.1145956,1.03005247,10.9156595,11.4580308,11.5525168,11.9985699,11.7755434,11.4822996,1.1648856,0.172456429,11.4822995,0.836541268,0.172455315,11.9985699,-6.01206138e-09,-0.000370776881,0.000370776881,0.000370776881,-5.55182315e-07,5.55182306e-07,5.5518231e-07,2.28886808e-11,0.00994214634,6.02289542e-09
0.00032,0.0,12.0008042,1.16489172,10.1149892,1.03037873,10.9160091,11.4584067,11.5526501,11.9989671,11.7758086,11.4827009,1.16488569,0.172286132,11.4827009,0.836543471,0.172285018,11.998967,-6.01207244e-09,-0.000370973988,0.000370973988,0.000370973988,-5.56690633e-07,5.56690611e-07,5.56690612e-07,2.28890209e-11,0.0099427102,6.02290683e-09
0.00064,0.0,12.0016085,1.16489166,10.1157763,1.03103133,10.9167084,11.4591585,11.5529168,11.9997614,11.7763391,11.4835035,1.16488563,0.171948037,11.4835035,0.836547868,0.171946923,11.9997613,-6.01206471e-09,-0.000371368328,0.000371368328,0.000371368328,-5.59719398e-07,5.59719313e-07,5.59719311e-07,2.28897163e-11,0.00994383548,6.02289977e-09
0.00128,0.0,12.003217,1.16489175,10.1173508,1.03233682,10.9181073,11.4606621,11.55345,12.0013498,11.7773999,11.4851087,1.16488573,0.171281669,11.4851087,0.836556627,0.171280555,12.0013497,-6.01207416e-09,-0.000372157507,0.000372157507,0.000372157507,-5.65825722e-07,5.65825373e-07,5.65825372e-07,2.28911661e-11,0.00994607647,6.02291097e-09
0.00228,0.0,12.0057303,1.16489174,10.1198113,1.0343776,10.9202936,11.4630119,11.554283,12.0038313,11.7790572,11.4876163,1.16488571,0.170271909,11.4876163,0.836570207,0.170270794,12.0038312,-6.01206973e-09,-0.000373391434,0.000373391434,0.000373391434,-5.75498015e-07,5.75497156e-07,5.7549716e-07,2.28936306e-11,0.0099495471,6.02290919e-09
0.00328,0.0,12.0082435,1.16489185,10.1222725,1.03642,10.922481,11.4653623,11.5551156,12.0063121,11.7807139,11.4901232,1.16488582,0.169311701,11.4901232,0.836583617,0.169310586,12.006312,-6.01207988e-09,-0.000374625178,0.000374625178,0.000374625178,-5.85331352e-07,5.85330505e-07,5.85330507e-07,2.28963883e-11,0.00995296855,6.02292176e-09
0.00428,0.0,12.0107568,1.16489183,10.1247343,1.03846362,10.9246693,11.467713,11.555948,12.0087924,11.7823702,11.4926296,1.16488581,0.168385265,11.4926296,0.836596912,0.168384149,12.0087923,-6.01207546e-09,-0.000375859707,0.000375859707,0.000375859707,-5.95329306e-07,5.9532846e-07,5.95328461e-07,2.28993338e-11,0.00995635673,6.02291993e-09
0.00528,0.0,12.01327,1.16489193,10.1271965,1.04050847,10.9268585,11.4700642,11.55678,12.0112721,11.784026,11.4951357,1.16488591,0.167490771,11.4951356,0.836610097,0.167489655,12.011272,-6.01208492e-09,-0.000377095011,0.000377095011,0.000377095011,-6.05494529e-07,6.05493686e-07,6.05493684e-07,2.29024498e-11,0.00995971344,6.02293174e-09
0.00628,0.0,12.0157832,1.16489192,10.1296592,1.04255454,10.9290484,11.4724158,11.5576118,12.0137512,11.7856815,11.4976414,1.1648859,0.166626096,11.4976413,0.836623179,0.16662498,12.0137511,-6.01208099e-09,-0.000378331083,0.000378331083,0.000378331083,-6.15829731e-07,6.15828884e-07,6.15828886e-07,2.29057145e-11,0.00996304076,6.02293057e-09
