 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @dled12_1[id]   @dled12_2[id]  
 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665691e-01  1.51938890e-01  7.50665691e-01  1.51938890e-01  1.51626419e-02  1.51626419e-02 
 1.00000000e-05  1.00000000e-05  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665700e-01  1.51938900e-01  7.50665700e-01  1.51938900e-01  1.51626419e-02  1.51626419e-02 
 2.00000000e-05  2.00000000e-05  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665700e-01  1.51938900e-01  7.50665700e-01  1.51938900e-01  1.51626419e-02  1.51626419e-02 
 4.00000000e-05  4.00000000e-05  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665700e-01  1.51938900e-01  7.50665700e-01  1.51938900e-01  1.51626419e-02  1.51626419e-02 
 8.00000000e-05  8.00000000e-05  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665700e-01  1.51938900e-01  7.50665700e-01  1.51938900e-01  1.51626419e-02  1.51626419e-02 
 1.60000000e-04  1.60000000e-04  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665700e-01  1.51938901e-01  7.50665700e-01  1.51938901e-01  1.51626419e-02  1.51626419e-02 
 3.20000000e-04  3.20000000e-04  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665700e-01  1.51938902e-01  7.50665700e-01  1.51938902e-01  1.51626419e-02  1.51626419e-02 
 6.40000000e-04  6.40000000e-04  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665699e-01  1.51938904e-01  7.50665699e-01  1.51938904e-01  1.51626419e-02  1.51626419e-02 
 1.28000000e-03  1.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665697e-01  1.51938907e-01  7.50665697e-01  1.51938907e-01  1.51626419e-02  1.51626419e-02 
 2.28000000e-03  2.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665696e-01  1.51938911e-01  7.50665696e-01  1.51938911e-01  1.51626419e-02  1.51626419e-02 
 3.28000000e-03  3.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665695e-01  1.51938914e-01  7.50665695e-01  1.51938914e-01  1.51626418e-02  1.51626418e-02 
 4.28000000e-03  4.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665694e-01  1.51938916e-01  7.50665694e-01  1.51938916e-01  1.51626418e-02  1.51626418e-02 
 5.28000000e-03  5.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665693e-01  1.51938918e-01  7.50665693e-01  1.51938918e-01  1.51626418e-02  1.51626418e-02 
 6.28000000e-03  6.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665692e-01  1.51938919e-01  7.50665692e-01  1.51938919e-01  1.51626418e-02  1.51626418e-02 
 7.28000000e-03  7.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665692e-01  1.51938920e-01  7.50665692e-01  1.51938920e-01  1.51626418e-02  1.51626418e-02 
 8.28000000e-03  8.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665692e-01  1.51938921e-01  7.50665692e-01  1.51938921e-01  1.51626418e-02  1.51626418e-02 
