 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.39999976e-03  0.00000000e+00 -3.18340783e-02 
 2.00000000e-08  2.00000000e-08  2.00000000e-08  2.51327412e-06  2.00000000e-08  4.40251303e-03  2.00000000e-08 -3.18332008e-02 
 4.00000000e-08  4.00000000e-08  4.00000000e-08  5.02654819e-06  4.00000000e-08  4.40502630e-03  4.00000000e-08 -3.18311000e-02 
 8.00000000e-08  8.00000000e-08  8.00000000e-08  1.00530961e-05  8.00000000e-08  4.41005283e-03  8.00000000e-08 -3.18241264e-02 
 1.60000000e-07  1.60000000e-07  1.60000000e-07  2.01061896e-05  1.60000000e-07  4.42010585e-03  1.60000000e-07 -3.17929031e-02 
 3.20000000e-07  3.20000000e-07  3.20000000e-07  4.02123589e-05  3.20000000e-07  4.44021178e-03  3.20000000e-07 -3.16679710e-02 
 6.40000000e-07  6.40000000e-07  6.40000000e-07  8.04245552e-05  6.40000000e-07  4.48042306e-03  6.40000000e-07 -3.12350059e-02 
 1.28000000e-06  1.28000000e-06  1.28000000e-06  1.60847810e-04  1.28000000e-06  4.56084272e-03  1.28000000e-06 -2.99780977e-02 
 2.56000000e-06  2.56000000e-06  2.56000000e-06  3.21685216e-04  2.56000000e-06  4.72166593e-03  2.56000000e-06 -2.69980585e-02 
 4.56000000e-06  4.56000000e-06  4.56000000e-06  5.72948104e-04  4.56000000e-06  4.97288791e-03  4.56000000e-06 -2.22126164e-02 
 6.56000000e-06  6.56000000e-06  6.56000000e-06  8.24120517e-04  6.56000000e-06  5.22399657e-03  6.56000000e-06 -1.74496313e-02 
 8.56000000e-06  8.56000000e-06  8.56000000e-06  1.07516279e-03  8.56000000e-06  5.47495228e-03  8.56000000e-06 -1.26815439e-02 
 1.05600000e-05  1.05600000e-05  1.05600000e-05  1.32603528e-03  1.05600000e-05  5.72571540e-03  1.05600000e-05 -7.92001317e-03 
 1.25600000e-05  1.25600000e-05  1.25600000e-05  1.57669838e-03  1.25600000e-05  5.97624634e-03  1.25600000e-05 -3.16151610e-03 
 1.45600000e-05  1.45600000e-05  1.45600000e-05  1.82711250e-03  1.45600000e-05  6.22650554e-03  1.45600000e-05  1.59147964e-03 
 1.65600000e-05  1.65600000e-05  1.65600000e-05  2.07723810e-03  1.65600000e-05  6.47645348e-03  1.65600000e-05  6.33893458e-03 
 1.85600000e-05  1.85600000e-05  1.85600000e-05  2.32703567e-03  1.85600000e-05  6.72605069e-03  1.85600000e-05  1.10797930e-02 
 2.05600000e-05  2.05600000e-05  2.05600000e-05  2.57646578e-03  2.05600000e-05  6.97525776e-03  2.05600000e-05  1.58134438e-02 
 2.25600000e-05  2.25600000e-05  2.25600000e-05  2.82548904e-03  2.25600000e-05  7.22403535e-03  2.25600000e-05  2.05390751e-02 
 2.45600000e-05  2.45600000e-05  2.45600000e-05  3.07406612e-03  2.45600000e-05  7.47234416e-03  2.45600000e-05  2.52559720e-02 
 2.65600000e-05  2.65600000e-05  2.65600000e-05  3.32215777e-03  2.65600000e-05  7.72014499e-03  2.65600000e-05  2.99633742e-02 
 2.85600000e-05  2.85600000e-05  2.85600000e-05  3.56972481e-03  2.85600000e-05  7.96739872e-03  2.85600000e-05  3.46605460e-02 
 3.05600000e-05  3.05600000e-05  3.05600000e-05  3.81672815e-03  3.05600000e-05  8.21406629e-03  3.05600000e-05  3.93467422e-02 
 3.25600000e-05  3.25600000e-05  3.25600000e-05  4.06312878e-03  3.25600000e-05  8.46010876e-03  3.25600000e-05  4.40212241e-02 
