 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @ddiode7_1[id] 
 2.32800000e-05  2.32800000e-05  1.02001541e-25 -9.00000000e+00  3.15419633e-17  3.15419633e-17 -9.08869965e-17  3.15419773e-17  3.15419631e-17  3.15419630e-17  1.26414133e-28 
 2.42800000e-05  2.42800000e-05 -3.29603704e-26 -9.00000000e+00  3.15421061e-17  3.15421061e-17 -9.08868537e-17  3.15421200e-17  3.15421058e-17  3.15421058e-17  1.26413990e-28 
 2.52800000e-05  2.52800000e-05 -7.20374237e-26 -9.00000000e+00  3.15422489e-17  3.15422489e-17 -9.08867109e-17  3.15422628e-17  3.15422486e-17  3.15422485e-17  1.26413848e-28 
 2.62800000e-05  2.62800000e-05  9.84488972e-26 -9.00000000e+00  3.15421061e-17  3.15421061e-17 -9.08868537e-17  3.15421201e-17  3.15421058e-17  3.15421058e-17  1.26413991e-28 
 2.72800000e-05  2.72800000e-05 -1.74616458e-26 -9.00000000e+00  3.15421061e-17  3.15421061e-17 -9.08868537e-17  3.15421200e-17  3.15421058e-17  3.15421057e-17  1.26413990e-28 
 2.82800000e-05  2.82800000e-05 -8.25746536e-26 -9.00000000e+00  3.15421061e-17  3.15421061e-17 -9.08868537e-17  3.15421200e-17  3.15421058e-17  3.15421057e-17  1.26413990e-28 
 2.92800000e-05  2.92800000e-05  9.25295127e-26 -9.00000000e+00  3.15421061e-17  3.15421061e-17 -9.08868537e-17  3.15421201e-17  3.15421058e-17  3.15421057e-17  1.26413991e-28 
 3.02800000e-05  3.02800000e-05 -1.54301316e-27 -9.00000000e+00  3.15422489e-17  3.15422489e-17 -9.08867109e-17  3.15422628e-17  3.15422486e-17  3.15422485e-17  1.26413848e-28 
 3.12800000e-05  3.12800000e-05 -9.11267934e-26 -9.00000000e+00  3.15421061e-17  3.15421061e-17 -9.08868537e-17  3.15421200e-17  3.15421058e-17  3.15421057e-17  1.26413990e-28 
 3.22800000e-05  3.22800000e-05  8.43854086e-26 -9.00000000e+00  3.15419633e-17  3.15419633e-17 -9.08869965e-17  3.15419772e-17  3.15419630e-17  3.15419629e-17  1.26414133e-28 
 3.32800000e-05  3.32800000e-05  1.44128258e-26 -9.00000000e+00  3.15421061e-17  3.15421061e-17 -9.08868537e-17  3.15421200e-17  3.15421058e-17  3.15421057e-17  1.26413991e-28 
 3.42800000e-05  3.42800000e-05 -9.74878334e-26 -9.00000000e+00  3.15422488e-17  3.15422488e-17 -9.08867109e-17  3.15422628e-17  3.15422486e-17  3.15422485e-17  1.26413848e-28 
 3.52800000e-05  3.52800000e-05  7.42124371e-26 -9.00000000e+00  3.15421061e-17  3.15421061e-17 -9.08868537e-17  3.15421200e-17  3.15421058e-17  3.15421057e-17  1.26413991e-28 
 3.62800000e-05  3.62800000e-05  3.00219094e-26 -9.00000000e+00  3.15421061e-17  3.15421061e-17 -9.08868537e-17  3.15421200e-17  3.15421058e-17  3.15421057e-17  1.26413991e-28 
 3.72800000e-05  3.72800000e-05 -1.01505062e-25 -9.00000000e+00  3.15421060e-17  3.15421060e-17 -9.08868538e-17  3.15421200e-17  3.15421057e-17  3.15421056e-17  1.26413990e-28 
 3.82800000e-05  3.82800000e-05  6.22553475e-26 -9.00000000e+00  3.15419632e-17  3.15419633e-17 -9.08869965e-17  3.15419772e-17  3.15419630e-17  3.15419629e-17  1.26414133e-28 
 3.92800000e-05  3.92800000e-05  4.49093834e-26 -9.00000000e+00  3.15422489e-17  3.15422489e-17 -9.08867109e-17  3.15422628e-17  3.15422486e-17  3.15422485e-17  1.26413848e-28 
 4.02800000e-05  4.02800000e-05 -1.03082008e-25 -9.00000000e+00  3.15421060e-17  3.15421060e-17 -9.08868538e-17  3.15421199e-17  3.15421057e-17  3.15421056e-17  1.26413990e-28 
 4.12800000e-05  4.12800000e-05  4.88013686e-26 -9.00000000e+00  3.15419632e-17  3.15419632e-17 -9.08869965e-17  3.15419772e-17  3.15419629e-17  3.15419628e-17  1.26414133e-28 
 4.22800000e-05  4.22800000e-05  5.87171673e-26 -9.00000000e+00  3.15421060e-17  3.15421060e-17 -9.08868537e-17  3.15421200e-17  3.15421057e-17  3.15421056e-17  1.26413991e-28 
 4.32800000e-05  4.32800000e-05 -1.02180467e-25 -9.00000000e+00  3.15422488e-17  3.15422488e-17 -9.08867109e-17  3.15422627e-17  3.15422485e-17  3.15422484e-17  1.26413848e-28 
 4.42800000e-05  4.42800000e-05  3.41740546e-26 -9.00000000e+00  3.15419632e-17  3.15419632e-17 -9.08869965e-17  3.15419771e-17  3.15419629e-17  3.15419628e-17  1.26414133e-28 
 4.52800000e-05  4.52800000e-05  7.11130931e-26 -9.00000000e+00  3.15421060e-17  3.15421060e-17 -9.08868537e-17  3.15421200e-17  3.15421057e-17  3.15421056e-17  1.26413991e-28 
 4.62800000e-05  4.62800000e-05 -9.88222289e-26 -9.00000000e+00  3.15421060e-17  3.15421060e-17 -9.08868537e-17  3.15421199e-17  3.15421057e-17  3.15421056e-17  1.26413990e-28 
 4.72800000e-05  4.72800000e-05  1.87252047e-26 -9.00000000e+00  3.15419632e-17  3.15419632e-17 -9.08869965e-17  3.15419771e-17  3.15419629e-17  3.15419628e-17  1.26414133e-28 
 4.82800000e-05  4.82800000e-05  8.17994075e-26 -9.00000000e+00  3.15422488e-17  3.15422488e-17 -9.08867109e-17  3.15422627e-17  3.15422485e-17  3.15422484e-17  1.26413848e-28 
 4.92800000e-05  4.92800000e-05 -9.30883225e-26 -9.00000000e+00  3.15419631e-17  3.15419631e-17 -9.08869966e-17  3.15419771e-17  3.15419629e-17  3.15419627e-17  1.26414133e-28 
 5.02800000e-05  5.02800000e-05  2.82619621e-27 -9.00000000e+00  3.15419632e-17  3.15419632e-17 -9.08869965e-17  3.15419771e-17  3.15419629e-17  3.15419627e-17  1.26414133e-28 
 5.12800000e-05  5.12800000e-05  9.05191653e-26 -9.00000000e+00  3.15421060e-17  3.15421060e-17 -9.08868537e-17  3.15421199e-17  3.15421057e-17  3.15421056e-17  1.26413991e-28 
 5.22800000e-05  5.22800000e-05 -8.51162945e-26 -9.00000000e+00  3.15421059e-17  3.15421059e-17 -9.08868537e-17  3.15421199e-17  3.15421057e-17  3.15421055e-17  1.26413990e-28 
 5.32800000e-05  5.32800000e-05 -1.31408078e-26 -9.00000000e+00  3.15419631e-17  3.15419631e-17 -9.08869965e-17  3.15419771e-17  3.15419629e-17  3.15419627e-17  1.26414133e-28 
 5.42800000e-05  5.42800000e-05  9.70625034e-26 -9.00000000e+00  3.15421060e-17  3.15421060e-17 -9.08868537e-17  3.15421199e-17  3.15421057e-17  3.15421055e-17  1.26413991e-28 
 5.52800000e-05  5.52800000e-05 -7.50977596e-26 -9.00000000e+00  3.15421059e-17  3.15421059e-17 -9.08868537e-17  3.15421199e-17  3.15421056e-17  3.15421055e-17  1.26413990e-28 
 5.62800000e-05  5.62800000e-05 -2.87919049e-26 -9.00000000e+00  3.15419631e-17  3.15419631e-17 -9.08869965e-17  3.15419771e-17  3.15419628e-17  3.15419627e-17  1.26414133e-28 
 5.72800000e-05  5.72800000e-05  1.01272239e-25 -9.00000000e+00  3.15421060e-17  3.15421060e-17 -9.08868537e-17  3.15421199e-17  3.15421057e-17  3.15421055e-17  1.26413991e-28 
 5.82800000e-05  5.82800000e-05 -6.32736945e-26 -9.00000000e+00  3.15421059e-17  3.15421059e-17 -9.08868537e-17  3.15421198e-17  3.15421056e-17  3.15421055e-17  1.26413990e-28 
 5.92800000e-05  5.92800000e-05 -4.37507902e-26 -9.00000000e+00  3.15419631e-17  3.15419631e-17 -9.08869965e-17  3.15419770e-17  3.15419628e-17  3.15419626e-17  1.26414133e-28 
 6.02800000e-05  6.02800000e-05  1.03047160e-25 -9.00000000e+00  3.15421059e-17  3.15421059e-17 -9.08868537e-17  3.15421199e-17  3.15421057e-17  3.15421055e-17  1.26413991e-28 
 6.12800000e-05  6.12800000e-05 -4.99284463e-26 -9.00000000e+00  3.15419631e-17  3.15419631e-17 -9.08869965e-17  3.15419770e-17  3.15419628e-17  3.15419626e-17  1.26414133e-28 
 6.22800000e-05  6.22800000e-05 -5.76578075e-26 -9.00000000e+00  3.15418203e-17  3.15418203e-17 -9.08871394e-17  3.15418342e-17  3.15418200e-17  3.15418198e-17  1.26414276e-28 
 6.32800000e-05  6.32800000e-05  1.02344747e-25 -9.00000000e+00  3.15421059e-17  3.15421059e-17 -9.08868537e-17  3.15421199e-17  3.15421056e-17  3.15421055e-17  1.26413991e-28 
 6.42800000e-05  6.42800000e-05 -3.53828197e-26 -9.00000000e+00  3.15419631e-17  3.15419631e-17 -9.08869965e-17  3.15419770e-17  3.15419628e-17  3.15419626e-17  1.26414133e-28 
 6.52800000e-05  6.52800000e-05 -7.01786393e-26 -9.00000000e+00  3.15419631e-17  3.15419631e-17 -9.08869966e-17  3.15419770e-17  3.15419628e-17  3.15419626e-17  1.26414133e-28 
 6.62800000e-05  6.62800000e-05  9.91816747e-26 -9.00000000e+00  3.15421059e-17  3.15421059e-17 -9.08868537e-17  3.15421198e-17  3.15421056e-17  3.15421054e-17  1.26413991e-28 
 6.72800000e-05  6.72800000e-05 -1.99865396e-26 -9.00000000e+00  3.15419631e-17  3.15419631e-17 -9.08869965e-17  3.15419770e-17  3.15419628e-17  3.15419626e-17  1.26414133e-28 
