 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N009)         v(N010)         @ddiode7_1[id] 
 7.28000000e-06  7.28000000e-06 -8.71238100e-26  9.00000000e+00  2.26467008e-12 -1.22124533e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  2.27496253e-12  1.84519067e-13  1.69420034e-27 
 8.28000000e-06  8.28000000e-06  1.45644551e-25  9.00000000e+00  9.77518822e-12 -1.49880108e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  9.78890108e-12  7.94919686e-13  2.07833750e-27 
 9.28000000e-06  9.28000000e-06 -3.10221045e-25  9.00000000e+00  3.81518472e-12 -1.72084569e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  3.83275849e-12  3.10862447e-13  2.38697950e-27 
 1.02800000e-05  1.02800000e-05 -8.75354678e-27  9.00000000e+00  9.39883362e-12 -1.83186799e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  9.42016137e-12  7.64721619e-13  2.54019028e-27 
 1.12800000e-05  1.12800000e-05  1.72634831e-25  9.00000000e+00  6.59212705e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.61799769e-12  5.36903855e-13  2.77111667e-27 
 1.22800000e-05  1.22800000e-05 -2.23205501e-25  9.00000000e+00  9.55172134e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  9.58217829e-12  7.77600206e-13  2.77111667e-27 
 1.32800000e-05  1.32800000e-05  4.74224957e-26  9.00000000e+00  7.27231046e-12 -2.05391260e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.30754697e-12  5.92637051e-13  2.84883228e-27 
 1.42800000e-05  1.42800000e-05  7.65179749e-26  9.00000000e+00  9.53217794e-12 -2.16493490e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  9.57218845e-12  7.76489983e-13  3.00204306e-27 
 1.52800000e-05  1.52800000e-05 -1.73823029e-25  9.00000000e+00  4.79636519e-12 -2.10942375e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  4.84044631e-12  3.91908728e-13  2.92432745e-27 
 1.62800000e-05  1.62800000e-05  2.23815968e-25  9.00000000e+00  1.16065092e-11 -1.94289029e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.16552503e-11  9.45465928e-13  2.69340106e-27 
 1.72800000e-05  1.72800000e-05  5.31463458e-26  9.00000000e+00  7.21971584e-12 -1.88737914e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.27380523e-12  5.89306381e-13  2.61790589e-27 
 1.82800000e-05  1.82800000e-05 -2.62697746e-25  9.00000000e+00  1.10479872e-11 -1.88737914e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.11072663e-11  9.00612918e-13  2.61790589e-27 
 1.92800000e-05  1.92800000e-05  2.02222618e-25  9.00000000e+00  4.90720178e-12 -1.94289029e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  4.97101358e-12  4.01900735e-13  2.69340106e-27 
 2.02800000e-05  2.02800000e-05  3.06129821e-26  9.00000000e+00  8.21986199e-12 -1.94289029e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  8.28740307e-12  6.71240841e-13  2.69340106e-27 
 2.12800000e-05  2.12800000e-05 -2.84748154e-25  9.00000000e+00  5.41356757e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.48498179e-12  4.43423076e-13  2.77111667e-27 
 2.22800000e-05  2.22800000e-05  2.13551574e-25  9.00000000e+00  8.02656174e-12 -2.05391260e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  8.10179417e-12  6.55919763e-13  2.84883228e-27 
 2.32800000e-05  2.32800000e-05  2.47924437e-26  9.00000000e+00  5.73948691e-12 -2.10942375e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.81863015e-12  4.70290473e-13  2.92432745e-27 
