epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1201.33,1.22757,0.78984,1.20102,0.83392,0.77583,0.80322,0.55504,1.3503,0.84827,1.36128,0.00016516,0.00016516,0.00016516
43,1229.35,1.22989,0.7871,1.21269,0.86451,0.75743,0.83116,0.57123,1.36677,0.83374,1.3644,0.000162408,0.000162408,0.000162408
44,1257.96,1.20733,0.77318,1.19711,0.83754,0.79998,0.83235,0.56733,1.3497,0.8456,1.34954,0.000159655,0.000159655,0.000159655
45,1285.52,1.2057,0.76002,1.18081,0.8619,0.80551,0.83027,0.57027,1.34021,0.83049,1.342,0.000156903,0.000156903,0.000156903
46,1312.56,1.20209,0.7556,1.19648,0.86679,0.80322,0.83345,0.55868,1.35353,0.80708,1.3567,0.000154151,0.000154151,0.000154151
47,1339.8,1.17882,0.74931,1.192,0.85316,0.78749,0.82577,0.56338,1.33892,0.8315,1.35538,0.000151399,0.000151399,0.000151399
48,1367.33,1.21306,0.77756,1.19323,0.83673,0.79528,0.82748,0.56606,1.35723,0.83455,1.36428,0.000148647,0.000148647,0.000148647
49,1394.86,1.18681,0.76385,1.19341,0.87441,0.7909,0.83593,0.56628,1.37,0.84615,1.37235,0.000145894,0.000145894,0.000145894
50,1422.3,1.18266,0.73234,1.18654,0.84865,0.80142,0.8235,0.55885,1.34188,0.81411,1.35816,0.000143142,0.000143142,0.000143142
51,1449.17,1.17686,0.72802,1.18191,0.773,0.82198,0.82612,0.56811,1.34798,0.81925,1.3679,0.00014039,0.00014039,0.00014039
52,1476.09,1.17714,0.73729,1.19255,0.86458,0.7639,0.81649,0.55671,1.35941,0.86305,1.36829,0.000137638,0.000137638,0.000137638
53,1504.04,1.17811,0.74986,1.1819,0.79288,0.80104,0.81425,0.5675,1.34813,0.82064,1.36778,0.000134886,0.000134886,0.000134886
54,1531.75,1.16416,0.6905,1.17219,0.87164,0.78338,0.83263,0.56055,1.35566,0.80878,1.36631,0.000132133,0.000132133,0.000132133
55,1559.21,1.16109,0.70094,1.15246,0.8579,0.79241,0.83732,0.56795,1.33871,0.82087,1.35692,0.000129381,0.000129381,0.000129381
56,1585.76,1.15329,0.7259,1.1793,0.81738,0.82413,0.84681,0.58065,1.34489,0.82257,1.35413,0.000126629,0.000126629,0.000126629
57,1614.05,1.15244,0.69418,1.15502,0.83106,0.81889,0.84516,0.56832,1.36471,0.82193,1.36952,0.000123877,0.000123877,0.000123877
58,1641.08,1.15304,0.70321,1.17137,0.86522,0.79692,0.83937,0.56724,1.34814,0.81272,1.35915,0.000121125,0.000121125,0.000121125
59,1668.41,1.14134,0.68066,1.15448,0.85785,0.78762,0.83592,0.57104,1.36777,0.81015,1.3735,0.000118372,0.000118372,0.000118372
60,1696.73,1.12825,0.67202,1.1517,0.85301,0.80911,0.84234,0.5746,1.37375,0.82647,1.38003,0.00011562,0.00011562,0.00011562
61,1725.01,1.12911,0.67768,1.14991,0.84831,0.81628,0.84035,0.57443,1.35354,0.81863,1.36055,0.000112868,0.000112868,0.000112868
62,1753.85,1.1462,0.69316,1.16419,0.88958,0.78494,0.84663,0.57611,1.36405,0.80489,1.36864,0.000110116,0.000110116,0.000110116
63,1780.7,1.13015,0.68284,1.15914,0.81088,0.82491,0.84192,0.56979,1.36147,0.81877,1.37371,0.000107364,0.000107364,0.000107364
64,1808.79,1.11678,0.66544,1.14514,0.87137,0.82364,0.85945,0.57494,1.35184,0.8074,1.36911,0.000104611,0.000104611,0.000104611
65,1836.31,1.14953,0.67151,1.15509,0.88365,0.81753,0.86024,0.57633,1.34886,0.80799,1.36831,0.000101859,0.000101859,0.000101859
66,1863.69,1.10872,0.65689,1.13247,0.85348,0.82091,0.84945,0.57132,1.3475,0.80921,1.36537,9.9107e-05,9.9107e-05,9.9107e-05
67,31.1677,1.12411,0.66207,1.15082,0.85303,0.80067,0.85527,0.56533,1.38224,0.81656,1.39247,9.63548e-05,9.63548e-05,9.63548e-05
68,60.2255,1.11555,0.66474,1.15133,0.84275,0.81169,0.8506,0.57175,1.35476,0.81691,1.37793,9.36026e-05,9.36026e-05,9.36026e-05
69,89.0691,1.09788,0.66344,1.13464,0.83597,0.82212,0.85058,0.57565,1.35403,0.8032,1.37312,9.08504e-05,9.08504e-05,9.08504e-05
70,116.882,1.09259,0.65349,1.13554,0.83263,0.82829,0.84657,0.58269,1.36367,0.79532,1.37788,8.80982e-05,8.80982e-05,8.80982e-05
71,149.881,1.09218,0.63995,1.13873,0.86925,0.81309,0.8477,0.58168,1.3549,0.80415,1.37648,8.5346e-05,8.5346e-05,8.5346e-05
72,178.458,1.06507,0.61926,1.11553,0.87141,0.81403,0.84871,0.57374,1.3615,0.80975,1.37901,8.25938e-05,8.25938e-05,8.25938e-05
73,206.628,1.07852,0.6377,1.11788,0.89114,0.81177,0.84557,0.58173,1.36907,0.79732,1.38013,7.98416e-05,7.98416e-05,7.98416e-05
74,235.111,1.07011,0.6342,1.13123,0.86618,0.81083,0.83784,0.5749,1.36591,0.81716,1.38741,7.70894e-05,7.70894e-05,7.70894e-05
75,264.567,1.08122,0.63906,1.1299,0.87812,0.81592,0.84881,0.5797,1.3616,0.80552,1.37943,7.43372e-05,7.43372e-05,7.43372e-05
76,294.143,1.06924,0.63322,1.12873,0.86706,0.81683,0.84586,0.57616,1.37242,0.79655,1.38288,7.1585e-05,7.1585e-05,7.1585e-05
77,323.804,1.05986,0.59314,1.1008,0.84855,0.81417,0.84373,0.57068,1.37039,0.81734,1.38658,6.88328e-05,6.88328e-05,6.88328e-05
78,353.231,1.07181,0.64338,1.12332,0.86428,0.8251,0.84806,0.58289,1.35577,0.80301,1.37964,6.60806e-05,6.60806e-05,6.60806e-05
79,384.293,1.0595,0.62234,1.11787,0.85566,0.83005,0.84477,0.58376,1.366,0.81474,1.38622,6.33284e-05,6.33284e-05,6.33284e-05
80,414.885,1.0575,0.61156,1.11436,0.88465,0.81667,0.8553,0.58562,1.3732,0.80007,1.38517,6.05762e-05,6.05762e-05,6.05762e-05
81,445.555,1.03333,0.60008,1.11281,0.87951,0.81498,0.84921,0.5791,1.36303,0.80983,1.38563,5.7824e-05,5.7824e-05,5.7824e-05
82,474.757,1.0532,0.61264,1.11171,0.85795,0.82559,0.84342,0.57488,1.37344,0.82386,1.38837,5.50718e-05,5.50718e-05,5.50718e-05
83,503.012,1.04474,0.62653,1.1262,0.84934,0.81883,0.84272,0.56957,1.3679,0.82498,1.38882,5.23196e-05,5.23196e-05,5.23196e-05
84,531.194,1.02919,0.5872,1.10714,0.85529,0.8208,0.83473,0.56711,1.36219,0.81632,1.39222,4.95674e-05,4.95674e-05,4.95674e-05
85,560.263,1.04168,0.62821,1.12973,0.8769,0.81134,0.83156,0.5667,1.36213,0.81496,1.3912,4.68152e-05,4.68152e-05,4.68152e-05
86,589.026,1.01806,0.59631,1.1045,0.86554,0.82136,0.84695,0.56946,1.36653,0.81348,1.39445,4.4063e-05,4.4063e-05,4.4063e-05
87,618.428,1.02007,0.57781,1.09433,0.8496,0.82768,0.85232,0.58095,1.36495,0.79861,1.38521,4.13108e-05,4.13108e-05,4.13108e-05
88,647.289,1.00968,0.60538,1.11066,0.86287,0.82355,0.84236,0.57041,1.36907,0.81389,1.39207,3.85586e-05,3.85586e-05,3.85586e-05
89,675.981,1.03595,0.57805,1.10034,0.85287,0.8242,0.84363,0.57888,1.37016,0.81112,1.39403,3.58064e-05,3.58064e-05,3.58064e-05
90,703.622,1.00666,0.58886,1.09937,0.85578,0.83019,0.85127,0.58108,1.37224,0.80796,1.39852,3.30542e-05,3.30542e-05,3.30542e-05
91,732.936,1.00506,0.54045,1.10684,0.82195,0.81097,0.82791,0.56948,1.36746,0.80184,1.39527,3.0302e-05,3.0302e-05,3.0302e-05
92,760.604,0.9937,0.53958,1.1183,0.82199,0.82414,0.83071,0.56986,1.37528,0.80295,1.40301,2.75498e-05,2.75498e-05,2.75498e-05
93,789.283,0.99001,0.52341,1.11509,0.83986,0.80407,0.83549,0.57036,1.36683,0.80555,1.3979,2.47976e-05,2.47976e-05,2.47976e-05
94,817.96,0.98587,0.53034,1.12139,0.8359,0.81902,0.83543,0.57238,1.36487,0.80563,1.39819,2.20454e-05,2.20454e-05,2.20454e-05
95,846.919,0.97403,0.51566,1.10075,0.83895,0.82701,0.83673,0.57264,1.36603,0.79986,1.3953,1.92932e-05,1.92932e-05,1.92932e-05
96,874.854,0.96559,0.51678,1.10637,0.84835,0.82797,0.84382,0.57742,1.36603,0.79476,1.39433,1.6541e-05,1.6541e-05,1.6541e-05
97,902.679,0.95813,0.51209,1.10486,0.8566,0.8267,0.83999,0.57644,1.3695,0.79231,1.39729,1.37888e-05,1.37888e-05,1.37888e-05
98,930.739,0.96758,0.52293,1.10416,0.84695,0.82541,0.83871,0.57519,1.37121,0.79883,1.40028,1.10366e-05,1.10366e-05,1.10366e-05
99,959.408,0.96515,0.50458,1.09608,0.84022,0.83099,0.84143,0.57535,1.37186,0.80068,1.39953,8.2844e-06,8.2844e-06,8.2844e-06
100,988.34,0.96264,0.50837,1.09032,0.84071,0.83102,0.83844,0.5774,1.36804,0.79977,1.40007,5.5322e-06,5.5322e-06,5.5322e-06
