     40/99     10.7G   0.02753   0.02975  0.005857   0.06314       102      1024    0.8818    0.7527    0.7849    0.5245   0.05021   0.07894   0.01986
     41/99     10.7G   0.02746   0.02889  0.006136   0.06248        28      1024    0.8317    0.7813    0.7879    0.5335   0.04995   0.07942   0.01961
     42/99     10.7G   0.02646   0.02999  0.005781   0.06224        19      1024      0.87    0.7781    0.7838     0.532   0.04916   0.08255   0.01951
     43/99     10.7G   0.02622   0.02902  0.004979   0.06022        65      1024    0.8669    0.7738    0.7859     0.526   0.04891   0.08031   0.01926
     44/99     10.7G   0.02586    0.0287  0.004928   0.05949        92      1024    0.8745    0.7694    0.7935    0.5218   0.04902   0.08127   0.01928
     45/99     10.7G   0.02642   0.02843  0.005205   0.06006        18      1024     0.887    0.7699    0.7984    0.5303   0.04904   0.08372   0.01901
     46/99     10.7G   0.02657    0.0289  0.006068   0.06154        85      1024    0.8769    0.7657    0.7964    0.5318    0.0487   0.08279   0.01906
     47/99     10.7G   0.02636   0.02921  0.005377   0.06095        21      1024    0.8958    0.7791    0.8074     0.546   0.04894   0.08302   0.01923
     48/99     10.7G    0.0256   0.02986  0.005004   0.06046        19      1024    0.8792     0.772    0.7954    0.5373   0.04883   0.08348   0.01874
     49/99     10.7G   0.02559   0.02884  0.005289   0.05972        44      1024    0.8971    0.7728    0.7931    0.5332   0.04872   0.08309   0.01891
     50/99     10.7G   0.02517    0.0289   0.00497   0.05904        47      1024    0.8849    0.7862    0.7986    0.5373   0.04949   0.08316   0.01916
     51/99     10.7G   0.02488   0.02833  0.005537   0.05874        15      1024     0.874    0.7985    0.8109    0.5431   0.04889   0.08502   0.01873
     52/99     10.7G    0.0249   0.02785   0.00455    0.0573        35      1024    0.8923    0.7688    0.8008    0.5417   0.04857   0.08335   0.01873
     53/99     10.7G   0.02458   0.02877  0.004608   0.05795        30      1024    0.8911    0.7833    0.8074    0.5455   0.04794   0.08412   0.01838
     54/99     10.7G   0.02455   0.02894  0.004876   0.05837        67      1024    0.8746     0.785    0.8134    0.5543   0.04809   0.08339   0.01856
     55/99     10.7G   0.02457   0.02946  0.005161   0.05919        12      1024     0.888    0.7745    0.8181    0.5507   0.04762    0.0838   0.01853
     56/99     10.7G   0.02431   0.02905  0.005245    0.0586        30      1024    0.9032    0.7661    0.8174    0.5547    0.0478   0.08754   0.01832
     57/99     10.7G   0.02389   0.02823  0.004646   0.05676        23      1024       0.9    0.7699    0.8256    0.5637   0.04705   0.08523   0.01823
     58/99     10.7G   0.02451   0.02825  0.004816   0.05757        61      1024    0.8914    0.7724     0.832    0.5641   0.04774    0.0839   0.01817
     59/99     10.7G   0.02412   0.02815  0.004349   0.05661        37      1024    0.8783    0.7738    0.8277    0.5654    0.0469   0.08631   0.01845
     60/99     10.7G   0.02388   0.02844  0.004755   0.05708        27      1024    0.7923    0.8294     0.819     0.552   0.04706    0.0859   0.01808
     61/99     10.7G   0.02454   0.02875  0.005145   0.05843        15      1024    0.8041    0.8364    0.8347    0.5646   0.04775   0.08467   0.01786
     62/99     10.7G   0.02353   0.02841  0.004777   0.05671         2      1024    0.8379    0.8352    0.8497    0.5722   0.04833   0.08318   0.01776
     63/99     10.7G   0.02345   0.02778  0.004335   0.05556        26      1024    0.8223    0.8345     0.841    0.5658   0.04747   0.08517   0.01787
     64/99     10.7G   0.02364   0.02733  0.003959   0.05493        25      1024    0.7932    0.8487    0.8405     0.566   0.04758   0.08445   0.01781
     65/99     10.7G   0.02358   0.02712  0.004706   0.05541        42      1024    0.8452    0.8385    0.8549    0.5724   0.04797   0.08666    0.0177
