 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)        
 1.57500000e-02  1.57500000e-02  7.07187440e-01  5.00000000e+00  4.56526422e+00  7.06845422e-01  2.65229740e-01 
 1.62500000e-02  1.62500000e-02  7.28597604e-01  5.00000000e+00  4.54942567e+00  7.27923380e-01  2.65327213e-01 
 1.67500000e-02  1.67500000e-02  7.49900656e-01  5.00000000e+00  4.52496231e+00  7.48663865e-01  2.65540613e-01 
 1.72500000e-02  1.72500000e-02  7.71096854e-01  5.00000000e+00  4.50851318e+00  7.68775795e-01  2.65991089e-01 
 1.77500000e-02  1.77500000e-02  7.92186098e-01  5.00000000e+00  4.48958475e+00  7.87574551e-01  2.67155050e-01 
 1.82500000e-02  1.82500000e-02  8.13168182e-01  5.00000000e+00  4.47351906e+00  8.05458305e-01  2.68878511e-01 
 1.87500000e-02  1.87500000e-02  8.34042909e-01  5.00000000e+00  4.45961581e+00  8.22044580e-01  2.71520511e-01 
 1.92500000e-02  1.92500000e-02  8.54809947e-01  5.00000000e+00  4.44796225e+00  8.37352369e-01  2.75135901e-01 
 1.97500000e-02  1.97500000e-02  8.75469064e-01  5.00000000e+00  4.43826095e+00  8.51622435e-01  2.79670882e-01 
 2.02500000e-02  2.02500000e-02  8.96020185e-01  5.00000000e+00  4.43018494e+00  8.65042152e-01  2.84983663e-01 
 2.07500000e-02  2.07500000e-02  9.16463390e-01  5.00000000e+00  4.42337305e+00  8.77847862e-01  2.90949635e-01 
 2.12500000e-02  2.12500000e-02  9.36798957e-01  5.00000000e+00  4.41713107e+00  8.90338763e-01  2.97171589e-01 
 2.17500000e-02  2.17500000e-02  9.57027163e-01  5.00000000e+00  4.41225700e+00  9.02225565e-01  3.04160430e-01 
 2.22500000e-02  2.22500000e-02  9.77148305e-01  5.00000000e+00  4.40791545e+00  9.13849888e-01  3.11420295e-01 
 2.27500000e-02  2.27500000e-02  9.97162824e-01  5.00000000e+00  4.40406748e+00  9.25268009e-01  3.18968748e-01 
 2.32500000e-02  2.32500000e-02  1.01707118e+00  5.00000000e+00  4.40062991e+00  9.36483586e-01  3.26725737e-01 
 2.37500000e-02  2.37500000e-02  1.03687385e+00  5.00000000e+00  4.39752004e+00  9.47566068e-01  3.34678182e-01 
 2.42500000e-02  2.42500000e-02  1.05657135e+00  5.00000000e+00  4.39469826e+00  9.58498000e-01  3.42768635e-01 
 2.47500000e-02  2.47500000e-02  1.07616418e+00  5.00000000e+00  4.39210982e+00  9.69335388e-01  3.50998511e-01 
 2.52500000e-02  2.52500000e-02  1.09565286e+00  5.00000000e+00  4.38973210e+00  9.80052439e-01  3.59319122e-01 
 2.57500000e-02  2.57500000e-02  1.11503792e+00  5.00000000e+00  4.38752734e+00  9.90697671e-01  3.67741349e-01 
 2.62500000e-02  2.62500000e-02  1.13431989e+00  5.00000000e+00  4.38548239e+00  1.00124086e+00  3.76221618e-01 
 2.67500000e-02  2.67500000e-02  1.15349929e+00  5.00000000e+00  4.38356988e+00  1.01172627e+00  3.84776924e-01 
 2.72500000e-02  2.72500000e-02  1.17257667e+00  5.00000000e+00  4.38178222e+00  1.02212120e+00  3.93366825e-01 
 2.77500000e-02  2.77500000e-02  1.19155254e+00  5.00000000e+00  4.38009871e+00  1.03246739e+00  4.02012442e-01 
 2.82500000e-02  2.82500000e-02  1.21042745e+00  5.00000000e+00  4.37851517e+00  1.04273067e+00  4.10675313e-01 
 2.87500000e-02  2.87500000e-02  1.22920193e+00  5.00000000e+00  4.37701539e+00  1.05295121e+00  4.19379454e-01 
 2.92500000e-02  2.92500000e-02  1.24787650e+00  5.00000000e+00  4.37559730e+00  1.06309398e+00  4.28087690e-01 
 2.97500000e-02  2.97500000e-02  1.26645169e+00  5.00000000e+00  4.37424783e+00  1.07319812e+00  4.36826140e-01 
 3.02500000e-02  3.02500000e-02  1.28492804e+00  5.00000000e+00  4.37296629e+00  1.08322808e+00  4.45558483e-01 
 3.07500000e-02  3.07500000e-02  1.30330606e+00  5.00000000e+00  4.37174187e+00  1.09322231e+00  4.54312410e-01 
 3.12500000e-02  3.12500000e-02  1.32158629e+00  5.00000000e+00  4.37057477e+00  1.10314492e+00  4.63052179e-01 
 3.17500000e-02  3.17500000e-02  1.33976923e+00  5.00000000e+00  4.36945586e+00  1.11303391e+00  4.71806684e-01 
 3.22500000e-02  3.22500000e-02  1.35785541e+00  5.00000000e+00  4.36838594e+00  1.12285318e+00  4.80540582e-01 
 3.27500000e-02  3.27500000e-02  1.37584535e+00  5.00000000e+00  4.36735717e+00  1.13264037e+00  4.89283707e-01 
 3.32500000e-02  3.32500000e-02  1.39373955e+00  5.00000000e+00  4.36637073e+00  1.14235928e+00  4.98000995e-01 
 3.37500000e-02  3.37500000e-02  1.41153854e+00  5.00000000e+00  4.36541977e+00  1.15204730e+00  5.06723025e-01 
 3.42500000e-02  3.42500000e-02  1.42924281e+00  5.00000000e+00  4.36450575e+00  1.16166816e+00  5.15414932e-01 
