time,v(N001),v(N002),v(N003),v(N004),v(N005)
0.104172466,1.30135408,5.0,4.37186976,1.0921591,0.453378774
0.104672466,1.31964469,5.0,4.37069634,1.10209269,0.462123192
0.105172466,1.33783797,5.0,4.36957291,1.11198182,0.470873284
0.105672466,1.35593443,5.0,4.36849754,1.12181187,0.479612512
0.106172466,1.37393459,5.0,4.36746492,1.13159905,0.488351759
0.106672466,1.39183896,5.0,4.36647374,1.14132859,0.497074931
0.107172466,1.40964806,5.0,4.36551948,1.15101649,0.505793518
0.107672466,1.42736239,5.0,4.3646013,1.16064786,0.514491766
0.108172466,1.44498246,5.0,4.36371531,1.17023854,0.523181646
0.108672466,1.46250878,5.0,4.36286098,1.17977359,0.531847663
0.109172466,1.47994184,5.0,4.36203495,1.18926872,0.540502179
0.109672466,1.49728215,5.0,4.36123694,1.19870894,0.549129902
0.110172466,1.51453019,5.0,4.36046397,1.2081099,0.557743511
0.110672466,1.53168647,5.0,4.35971595,1.21745655,0.566327874
0.111172466,1.54875147,5.0,4.35899024,1.22676449,0.574895933
0.111672466,1.56572568,5.0,4.3582869,1.23601865,0.583432685
0.112172466,1.5826096,5.0,4.35760354,1.24523459,0.591951289
0.112672466,1.59940369,5.0,4.35694034,1.25439723,0.600436848
0.113172466,1.61610844,5.0,4.35629514,1.26352207,0.608902702
0.113672466,1.63272433,5.0,4.3556682,1.27259405,0.61733404
0.114172466,1.64925183,5.0,4.35505755,1.28162863,0.625744359
0.114672466,1.66569142,5.0,4.3544635,1.29061075,0.634118917
0.115172466,1.68204357,5.0,4.35388426,1.29955585,0.642471341
0.115672466,1.69830873,5.0,4.3533202,1.30844888,0.650786952
0.116172466,1.71448739,5.0,4.35276964,1.31730523,0.659079486
0.116672466,1.73058,5.0,4.352233,1.32610988,0.667334316
0.117172466,1.74658701,5.0,4.35170874,1.33487821,0.675565273
0.117672466,1.7625089,5.0,4.35119728,1.34359519,0.683757774
0.118172466,1.7783461,5.0,4.35069719,1.35227618,0.691925733
0.118672466,1.79409909,5.0,4.35020892,1.36090617,0.700054604
0.119172466,1.80976829,5.0,4.34973114,1.36950051,0.708158371
0.119672466,1.82535417,5.0,4.34926431,1.3780442,0.716222523
0.120172466,1.84085717,5.0,4.34880716,1.38655256,0.724261102
0.120672466,1.85627772,5.0,4.34836019,1.39501062,0.732259631
0.121172466,1.87161628,5.0,4.34792219,1.40343367,0.7402322
0.121672466,1.88687327,5.0,4.34749367,1.41180676,0.748164361
0.122172466,1.90204914,5.0,4.34707349,1.42014516,0.756070249
0.122672466,1.91714431,5.0,4.34666215,1.42843395,0.763935439
0.123172466,1.93215922,5.0,4.34625858,1.43668838,0.771774105
0.123672466,1.94709429,5.0,4.34586328,1.44489354,0.779571846
0.124172466,1.96194996,5.0,4.34547524,1.45306466,0.787342867
0.124672466,1.97672664,5.0,4.34509495,1.46118686,0.795072789
0.125172466,1.99142476,5.0,4.34472144,1.46927534,0.802775844
0.125672466,2.00604473,5.0,4.34435521,1.47731524,0.810437674
0.126172466,2.02058698,5.0,4.34399534,1.48532174,0.818072533
0.126672466,2.03505191,5.0,4.34364233,1.49328001,0.825666083
0.127172466,2.04943995,5.0,4.34329529,1.50120522,0.833232596
0.127672466,2.06375149,5.0,4.34295471,1.50908253,0.840757756
0.128172466,2.07798695,5.0,4.34261974,1.51692711,0.848255846
0.128672466,2.09214673,5.0,4.34229087,1.52472414,0.85571257
0.129172466,2.10623124,5.0,4.34196729,1.53248876,0.863142224
0.129672466,2.12024088,5.0,4.34164948,1.54020619,0.870530529
0.130172466,2.13417604,5.0,4.34133666,1.54789153,0.87789179
0.130672466,2.14803713,5.0,4.34102931,1.55553002,0.885211747
0.131172466,2.16182454,5.0,4.34072667,1.56313676,0.892504709
0.131672466,2.17553865,5.0,4.34042922,1.570697,0.899756435
0.132172466,2.18917987,5.0,4.34013623,1.5782258,0.906981239
0.132672466,2.20274858,5.0,4.33984816,1.58570847,0.914164897
0.133172466,2.21624517,5.0,4.33956432,1.59316003,0.921321724
0.133672466,2.22967002,5.0,4.33928516,1.60056579,0.928437514
0.134172466,2.24302351,5.0,4.33901,1.60794078,0.93552658
0.134672466,2.25630603,5.0,4.33873932,1.61527032,0.942574738
0.135172466,2.26951794,5.0,4.33847243,1.62256942,0.949596295
0.135672466,2.28265964,5.0,4.3382098,1.62982342,0.956577086
0.136172466,2.29573148,5.0,4.33795077,1.6370473,0.963531415
0.136672466,2.30873385,5.0,4.33769582,1.64422644,0.970445132
0.137172466,2.32166711,5.0,4.3374443,1.65137578,0.977332539
0.137672466,2.33453164,5.0,4.33719666,1.65848073,0.984179504
0.138172466,2.34732779,5.0,4.3369523,1.66555621,0.991000319
0.138672466,2.36005593,5.0,4.33671165,1.67258765,0.997780872
0.139172466,2.37271643,5.0,4.33647412,1.67958994,1.00453545
0.139672466,2.38530964,5.0,4.33624014,1.68654854,1.01124995
0.140172466,2.39783593,5.0,4.33600915,1.69347832,1.01793866
0.140672466,2.41029564,5.0,4.33578156,1.70036475,1.02458749
0.141172466,2.42268913,5.0,4.33555681,1.70722269,1.03121072
0.141672466,2.43501676,5.0,4.33533534,1.71403763,1.03779428
0.142172466,2.44727888,5.0,4.33511658,1.72082439,1.04435243
0.142672466,2.45947583,5.0,4.33490096,1.72756851,1.05087113
0.143172466,2.47160796,5.0,4.33468794,1.73428477,1.05736463
0.143672466,2.48367562,5.0,4.33447794,1.74095872,1.06381889
0.144172466,2.49567915,5.0,4.33427042,1.74760514,1.07024815
0.144672466,2.50761889,5.0,4.33406581,1.7542096,1.07663841
0.145172466,2.51949518,5.0,4.33386358,1.76078684,1.08300389
0.145672466,2.53130835,5.0,4.33366414,1.76732246,1.08933059
0.146172466,2.54305876,5.0,4.33346698,1.77383119,1.09563273
0.146672466,2.55474671,5.0,4.33327252,1.78029863,1.10189633
0.147172466,2.56637256,5.0,4.33308024,1.78673949,1.10813559
0.147672466,2.57793663,5.0,4.33289056,1.79313941,1.11433655
0.148172466,2.58943925,5.0,4.33270298,1.79951307,1.12051339
0.148672466,2.60088074,5.0,4.3325179,1.80584612,1.12665219
0.149172466,2.61226144,5.0,4.33233484,1.81215321,1.1327671
0.149672466,2.62358166,5.0,4.3321542,1.81842003,1.1388442
0.150172466,2.63484172,5.0,4.33197549,1.82466121,1.14489764
0.150586233,2.64411454,5.0,4.33182959,1.82979472,1.14987782
0.151,2.65334657,5.0,4.33168471,1.83491306,1.15484388
0.15105,2.65433363,4.75,4.08151351,1.82784657,1.14750979
0.15115,2.65605578,4.25,3.58115488,1.81435111,1.13346169
0.15135,2.65798976,3.25,2.58047757,1.78631708,1.1043607
0.151675,2.65678771,1.625,0.962058102,1.48883399,0.812903486
0.152,2.65003708,0.0,0.0390059649,0.605589659,0.0159437744
0.152045539,2.64869406,0.0,0.0389948409,0.605559517,0.0159335358
0.152136618,2.64600942,0.0,0.0389742665,0.605505124,0.0159130236
0.152318774,2.64064851,0.0,0.0389331539,0.605396438,0.0158720638
0.152683088,2.62996016,0.0,0.0388512173,0.605179344,0.0157904029
0.153183088,2.6153633,0.0,0.0387393019,0.604881733,0.0156788891
0.153683088,2.60084969,0.0,0.0386280544,0.604584231,0.0155680238
0.154183088,2.58641888,0.0,0.0385174299,0.604287157,0.0154578008
0.154683088,2.57207037,0.0,0.0384074642,0.60399048,0.0153482166
0.155183088,2.5578037,0.0,0.0382981138,0.603694222,0.0152392673
0.155683088,2.54361841,0.0,0.0381894152,0.603398348,0.0151309496
0.156183088,2.52951402,0.0,0.0380813245,0.603102884,0.0150232597
0.156683088,2.51549008,0.0,0.0379738787,0.602807792,0.0149161943
0.157183088,2.50154612,0.0,0.0378670334,0.602513098,0.0148097495
0.157683088,2.4876817,0.0,0.0377608262,0.602218766,0.0147039221
0.158183088,2.47389634,0.0,0.0376552123,0.60192482,0.0145987083
0.158683088,2.46018961,0.0,0.0375502296,0.601631225,0.014494105
0.159183088,2.44656105,0.0,0.037445833,0.601338006,0.0143901083
0.159683088,2.43301021,0.0,0.037342061,0.601045126,0.0142867152
0.160183088,2.41953666,0.0,0.037238868,0.60075261,0.0141839219
0.160683088,2.40613994,0.0,0.037136293,0.600460422,0.0140817253
0.161183088,2.39281963,0.0,0.03703429,0.600168588,0.0139801217
0.161683088,2.37957528,0.0,0.0369328984,0.59987707,0.0138791081
0.162183088,2.36640646,0.0,0.0368320718,0.599585895,0.0137786808
0.162683088,2.35331273,0.0,0.0367318502,0.599295025,0.0136788368
0.163183088,2.34029368,0.0,0.0366321868,0.599004486,0.0135795725
0.163683088,2.32734886,0.0,0.036533122,0.598714241,0.0134808849
0.164183088,2.31447787,0.0,0.0364346086,0.598424316,0.0133827705
0.164683088,2.30168027,0.0,0.0363366876,0.598134674,0.0132852263
0.165183088,2.28895564,0.0,0.0362393111,0.597845341,0.0131882487
0.165683088,2.27630357,0.0,0.0361425208,0.597556279,0.0130918349
0.166183088,2.26372365,0.0,0.0360462684,0.597267515,0.0129959814
0.166683088,2.25121546,0.0,0.0359505961,0.59697901,0.0129006853
0.167183088,2.23877859,0.0,0.0358554551,0.596690793,0.0128059431
0.167683088,2.22641264,0.0,0.0357608882,0.596402824,0.0127117521
0.168183088,2.21411719,0.0,0.035666846,0.59611513,0.0126181087
