 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)         v(N012)         v(N013)         v(N014)         v(N015)         v(N016)         v(N017)         @ddiode7_1[id]  @ddiode7_2[id]  @ddiode7_3[id]  @ddiode7_4[id]  @ddiode7_5[id]  @ddiode7_6[id]  @ddiode7_7[id]  @dled12_1[id]   @dled12_2[id]   @dled12_3[id]  
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.16483470e+00  8.46526125e+00  1.31294873e-03  9.58628177e+00  9.79314089e+00  9.99983607e+00  9.99999990e+00  9.99991799e+00  8.37918518e+00  1.16482868e+00  8.31458903e-01  1.41123231e-01  1.31297641e-03  8.38967903e+00  9.99999984e+00 -6.00729797e-09 -3.97854864e-07  3.97854866e-07  3.97854864e-07 -1.00098361e-11  1.00093712e-11  1.00098361e-11  8.23806194e-03  7.55882254e-05  6.01627340e-09 
 1.00000000e-05  1.00000000e-05  0.00000000e+00  1.00000200e+01  1.16484496e+00  8.46528111e+00  1.31314031e-03  9.58628838e+00  9.79315419e+00  9.99985607e+00  1.00000199e+01  9.99993798e+00  8.37920485e+00  1.16483894e+00  8.31458970e-01  1.41123230e-01  1.31316799e-03  8.38969870e+00  1.00000198e+01 -6.00863084e-09 -3.97912924e-07  3.97912926e-07  3.97912924e-07 -1.00098561e-11  1.00134884e-11  1.00098561e-11  8.23808162e-03  7.55884227e-05  6.01746673e-09 
 2.00000000e-05  2.00000000e-05  0.00000000e+00  1.00000400e+01  1.16485054e+00  8.46530098e+00  1.31332525e-03  9.58629476e+00  9.79316738e+00  9.99987607e+00  1.00000399e+01  9.99995799e+00  8.37922453e+00  1.16484452e+00  8.31459037e-01  1.41123230e-01  1.31335292e-03  8.38971837e+00  1.00000398e+01 -6.00928057e-09 -3.97968964e-07  3.97968963e-07  3.97968964e-07 -1.00098761e-11  1.00080191e-11  1.00098761e-11  8.23810130e-03  7.55886193e-05  6.01811609e-09 
 4.00000000e-05  4.00000000e-05  0.00000000e+00  1.00000800e+01  1.16485662e+00  8.46534070e+00  1.31369491e-03  9.58630751e+00  9.79319375e+00  9.99991607e+00  1.00000799e+01  9.99999799e+00  8.37926389e+00  1.16485060e+00  8.31459170e-01  1.41123228e-01  1.31372259e-03  8.38975770e+00  1.00000798e+01 -6.00998736e-09 -3.98080996e-07  3.98080996e-07  3.98080995e-07 -1.00099161e-11  1.00096225e-11  1.00099161e-11  8.23814067e-03  7.55890121e-05  6.01882293e-09 
 8.00000000e-05  8.00000000e-05  0.00000000e+00  1.00001600e+01  1.16485736e+00  8.46542016e+00  1.31443446e-03  9.58633300e+00  9.79324650e+00  9.99999608e+00  1.00001599e+01  1.00000780e+01  8.37934261e+00  1.16485134e+00  8.31459437e-01  1.41123225e-01  1.31446214e-03  8.38983637e+00  1.00001598e+01 -6.01007334e-09 -3.98305149e-07  3.98305147e-07  3.98305148e-07 -1.00099961e-11  1.00076711e-11  1.00099961e-11  8.23821939e-03  7.55897962e-05  6.01890862e-09 
 1.60000000e-04  1.60000000e-04  0.00000000e+00  1.00003200e+01  1.16485713e+00  8.46557907e+00  1.31591449e-03  9.58638398e+00  9.79335199e+00  1.00001561e+01  1.00003199e+01  1.00002380e+01  8.37950005e+00  1.16485111e+00  8.31459970e-01  1.41123218e-01  1.31594217e-03  8.38999372e+00  1.00003198e+01 -6.01004648e-09 -3.98753833e-07  3.98753828e-07  3.98753829e-07 -1.00101561e-11  1.00134351e-11  1.00101561e-11  8.23837683e-03  7.55913643e-05  6.01888255e-09 
 3.20000000e-04  3.20000000e-04  0.00000000e+00  1.00006400e+01  1.16485728e+00  8.46589689e+00  1.31887822e-03  9.58648595e+00  9.79356298e+00  1.00004761e+01  1.00006399e+01  1.00005580e+01  8.37981492e+00  1.16485126e+00  8.31461037e-01  1.41123206e-01  1.31890590e-03  8.39030840e+00  1.00006398e+01 -6.01006342e-09 -3.99652690e-07  3.99652675e-07  3.99652675e-07 -1.00104761e-11  1.00084260e-11  1.00104761e-11  8.23869172e-03  7.55945006e-05  6.01889963e-09 
 6.40000000e-04  6.40000000e-04  0.00000000e+00  1.00012800e+01  1.16485718e+00  8.46653254e+00  1.32482042e-03  9.58668990e+00  9.79398495e+00  1.00011160e+01  1.00012799e+01  1.00011980e+01  8.38044467e+00  1.16485116e+00  8.31463170e-01  1.41123180e-01  1.32484810e-03  8.39093777e+00  1.00012798e+01 -6.01005070e-09 -4.01456404e-07  4.01456344e-07  4.01456344e-07 -1.00111160e-11  1.00150983e-11  1.00111160e-11  8.23932152e-03  7.56007731e-05  6.01888777e-09 
 1.28000000e-03  1.28000000e-03  0.00000000e+00  1.00025600e+01  1.16485729e+00  8.46780383e+00  1.33676397e-03  9.58709782e+00  9.79482891e+00  1.00023960e+01  1.00025599e+01  1.00024779e+01  8.38170417e+00  1.16485128e+00  8.31467436e-01  1.41123129e-01  1.33679165e-03  8.39219652e+00  1.00025598e+01 -6.01006361e-09 -4.05087928e-07  4.05087688e-07  4.05087688e-07 -1.00123960e-11  1.00148946e-11  1.00123960e-11  8.24058113e-03  7.56133187e-05  6.01890156e-09 
 2.28000000e-03  2.28000000e-03  0.00000000e+00  1.00045600e+01  1.16485723e+00  8.46979022e+00  1.35562343e-03  9.58773525e+00  9.79614763e+00  1.00043960e+01  1.00045599e+01  1.00044780e+01  8.38367213e+00  1.16485121e+00  8.31474100e-01  1.41123050e-01  1.35565112e-03  8.39416331e+00  1.00045598e+01 -6.01005412e-09 -4.10826860e-07  4.10826274e-07  4.10826274e-07 -1.00143960e-11  1.00137184e-11  1.00143960e-11  8.24254932e-03  7.56329215e-05  6.01889428e-09 
