time,v(N001),v(N002),v(N004),@dled12_1[id]
0.0,0.0,5.0,0.702803197,0.00631942759
1e-06,0.0015707963,5.0,0.702803114,0.00631940719
2e-06,0.00314159245,5.0,0.702803114,0.00631940719
4e-06,0.00628318365,5.0,0.702803114,0.00631940719
8e-06,0.0125663574,5.0,0.702803114,0.00631940719
1.6e-05,0.0251326354,5.0,0.702803114,0.00631940719
3.2e-05,0.0502646358,5.0,0.702803114,0.00631940719
6.4e-05,0.100524192,5.0,0.702803114,0.00631940719
0.000128,0.201007747,5.0,0.702803114,0.00631940719
0.000228,0.357835393,5.0,0.702803114,0.00631940719
0.000328,0.514309899,5.0,0.702803114,0.00631940719
0.000428,0.670276844,5.0,0.702803114,0.00631940719
0.000528,0.825582306,5.0,0.702803114,0.00631940719
0.000628,0.980073018,5.0,0.702803114,0.00631940719
0.000728,1.13359652,5.0,0.702803114,0.00631940719
0.000828,1.28600129,5.0,0.702803114,0.00631940719
0.000928,1.43713694,5.0,0.702803114,0.00631940719
0.001028,1.58685431,5.0,0.702803114,0.00631940719
0.001128,1.73500564,5.0,0.702803114,0.00631940719
0.001228,1.88144473,5.0,0.702803114,0.00631940719
0.001328,2.02602706,5.0,0.702803114,0.00631940719
0.001428,2.16860995,5.0,0.702803114,0.00631940719
0.001528,2.30905269,5.0,0.702803114,0.00631940719
0.001628,2.44721666,5.0,0.702803114,0.00631940719
0.001728,2.58296553,5.0,0.702803114,0.00631940719
0.001828,2.71616533,5.0,0.702803114,0.00631940719
0.001928,2.84668459,5.0,0.702803114,0.00631940719
0.002028,2.97439453,5.0,0.702803114,0.00631940719
0.002128,3.09916909,5.0,0.702803114,0.00631940719
0.002228,3.22088515,5.0,0.702803114,0.00631940719
0.002328,3.33942258,5.0,0.702803114,0.00631940719
0.002428,3.45466441,5.0,0.702803114,0.00631940719
0.002528,3.5664969,5.0,0.702803114,0.00631940719
0.002628,3.67480969,5.0,0.702803114,0.00631940719
0.002728,3.77949588,5.0,0.702803114,0.00631940719
0.002828,3.88045217,5.0,0.702803114,0.00631940719
0.002928,3.97757892,5.0,0.702803114,0.00631940719
0.003028,4.07078029,5.0,0.702803114,0.00631940719
0.003128,4.15996428,5.0,0.702803114,0.00631940719
0.003228,4.24504289,5.0,0.702803114,0.00631940719
0.003328,4.32593215,5.0,0.702803114,0.00631940719
0.003428,4.40255224,5.0,0.702803114,0.00631940719
0.003528,4.47482755,5.0,0.702803114,0.00631940719
0.003628,4.54268674,5.0,0.702803114,0.00631940719
0.003728,4.60606285,5.0,0.702803114,0.00631940719
0.003828,4.66489333,5.0,0.702803114,0.00631940719
0.003928,4.71912012,5.0,0.702803114,0.00631940719
0.004028,4.76868971,5.0,0.702803114,0.00631940719
0.004128,4.81355318,5.0,0.702803114,0.00631940719
0.004228,4.85366625,5.0,0.702803114,0.00631940719
0.004328,4.88898934,5.0,0.702803114,0.00631940719
0.004428,4.91948759,5.0,0.702803114,0.00631940719
0.004528,4.9451309,5.0,0.702803114,0.00631940719
0.004628,4.96589396,5.0,0.702803114,0.00631940719
0.004728,4.98175628,5.0,0.702803114,0.00631940719
0.004828,4.99270222,5.0,0.702803114,0.00631940719
0.004928,4.99872095,5.0,0.702803114,0.00631940719
0.005028,4.99980656,5.0,0.702803114,0.00631940719
0.005128,4.99595795,5.0,0.702803114,0.00631940719
0.005228,4.98717895,5.0,0.702803114,0.00631940719
0.005328,4.97347819,5.0,0.702803114,0.00631940719
0.005428,4.95486922,5.0,0.702803114,0.00631940719
0.005528,4.93137038,5.0,0.702803114,0.00631940719
0.005628,4.90300488,5.0,0.702803114,0.00631940719
0.005728,4.86980071,5.0,0.702803114,0.00631940719
0.005828,4.83179063,5.0,0.702803114,0.00631940719
0.005928,4.78901215,5.0,0.702803114,0.00631940719
0.006028,4.7415075,5.0,0.702803114,0.00631940719
0.006128,4.68932356,5.0,0.702803114,0.00631940719
0.006228,4.63251182,5.0,0.702803114,0.00631940719
0.006328,4.57112834,5.0,0.702803114,0.00631940719
0.006428,4.50523372,5.0,0.702803114,0.00631940719
0.006528,4.43489297,5.0,0.702803114,0.00631940719
0.006628,4.36017552,5.0,0.702803114,0.00631940719
0.006728,4.28115511,5.0,0.702803114,0.00631940719
0.006828,4.19790971,5.0,0.702803114,0.00631940719
0.006928,4.11052148,5.0,0.702803114,0.00631940719
0.007028,4.01907666,5.0,0.702803114,0.00631940719
0.007128,3.9236655,5.0,0.702803114,0.00631940719
0.007228,3.82438215,5.0,0.702803114,0.00631940719
0.007328,3.7213246,5.0,0.702803114,0.00631940719
0.007428,3.61459456,5.0,0.702803114,0.00631940719
0.007528,3.50429734,5.0,0.702803114,0.00631940719
0.007628,3.39054181,5.0,0.702803114,0.00631940719
0.007728,3.27344022,5.0,0.702803114,0.00631940719
0.007828,3.15310814,5.0,0.702803114,0.00631940719
0.007928,3.02966432,5.0,0.702803114,0.00631940719
0.008028,2.90323059,5.0,0.702803114,0.00631940719
0.008128,2.77393172,5.0,0.702803114,0.00631940719
0.008228,2.64189532,5.0,0.702803114,0.00631940719
0.008328,2.50725168,5.0,0.702803114,0.00631940719
0.008428,2.37013369,5.0,0.702803114,0.00631940719
0.008528,2.23067667,5.0,0.702803114,0.00631940719
0.008628,2.08901823,5.0,0.702803114,0.00631940719
0.008728,1.94529819,5.0,0.702803114,0.00631940719
0.008828,1.79965837,5.0,0.702803114,0.00631940719
0.008928,1.65224251,5.0,0.702803114,0.00631940719
0.009028,1.50319608,5.0,0.702803114,0.00631940719
0.009128,1.35266618,5.0,0.702803114,0.00631940719
0.009228,1.20080137,5.0,0.702803114,0.00631940719
0.009328,1.0477515,5.0,0.702803114,0.00631940719
0.009428,0.893667633,5.0,0.702803114,0.00631940719
0.009528,0.738701822,5.0,0.702803114,0.00631940719
0.009628,0.583007002,5.0,0.702803114,0.00631940719
0.009728,0.426736825,5.0,0.702803114,0.00631940719
0.009828,0.270045509,5.0,0.702803114,0.00631940719
0.009928,0.113087692,5.0,0.702803114,0.00631940719
0.010028,-0.0439817299,5.0,0.702803114,0.00631940719
0.010128,-0.201007747,5.0,0.702803114,0.00631940719
0.010228,-0.357835393,5.0,0.702803114,0.00631940719
0.010328,-0.514309899,5.0,0.702803114,0.00631940719
0.010428,-0.670276844,5.0,0.702803114,0.00631940719
0.010528,-0.825582306,5.0,0.702803114,0.00631940719
0.010628,-0.980073018,5.0,0.702803114,0.00631940719
0.010728,-1.13359652,5.0,0.702803114,0.00631940719
0.010828,-1.28600129,5.0,0.702803114,0.00631940719
0.010928,-1.43713694,5.0,0.702803114,0.00631940719
0.011028,-1.58685431,5.0,0.702803114,0.00631940719
0.011128,-1.73500564,5.0,0.702803114,0.00631940719
0.011228,-1.88144473,5.0,0.702803114,0.00631940719
0.011328,-2.02602706,5.0,0.702803114,0.00631940719
0.011428,-2.16860995,5.0,0.702803114,0.00631940719
0.011528,-2.30905269,5.0,0.702803114,0.00631940719
0.011628,-2.44721666,5.0,0.702803114,0.00631940719
