time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011)
0.000291167267,-24.99993,-25.0,24.99993,25.0,0.0227111205,0.0224794504,0.185444517,0.018483888,0.00418263429,0.185519993,0.0193346639
0.000301167267,-24.99993,-25.0,24.99993,25.0,0.0223598233,0.0221304442,0.181596444,0.0181408338,0.00418345801,0.181689509,0.0189752916
0.000311167267,-24.99993,-25.0,24.99993,25.0,0.0219371321,0.0217100349,0.176963218,0.0177262097,0.00418426421,0.177073268,0.0185410324
0.000321167267,-24.99993,-25.0,24.99993,25.0,0.0214447149,0.021219862,0.171562728,0.0172416515,0.00418504968,0.171689561,0.0180336003
0.000331167267,-24.99993,-25.0,24.99993,25.0,0.0208845157,0.0206618741,0.165416622,0.016689072,0.00418581129,0.16555951,0.0174549977
0.000341167267,-24.99993,-25.0,24.99993,25.0,0.020258745,0.0200382651,0.158548885,0.0160706514,0.00418654601,0.158707485,0.0168075083
0.000351167267,-24.99993,-25.0,24.99993,25.0,0.0195698732,0.0193514998,0.150986844,0.0153888309,0.00418725092,0.151160319,0.0160936873
0.000361167267,-24.99993,-25.0,24.99993,25.0,0.0188206188,0.0186042896,0.142760174,0.0146463008,0.0041879232,0.142948039,0.0153163519
0.000371167267,-24.99993,-25.0,24.99993,25.0,0.0180139393,0.0177995791,0.133901473,0.013845992,0.00418856019,0.134102798,0.0144785698
0.000381167267,-24.99993,-25.0,24.99993,25.0,0.0171530182,0.0169405523,0.124445614,0.0129910625,0.00418915934,0.124659782,0.0135836475
0.000391167267,-24.99993,-25.0,24.99993,25.0,0.0162412537,0.0160305885,0.114429977,0.0120848868,0.00418971825,0.114655976,0.0126351167
0.000401167267,-24.99993,-25.0,24.99993,25.0,0.015282244,0.0150732929,0.10389406,0.0111310406,0.0041902347,0.104131152,0.0116367208
0.000411167267,-24.99993,-25.0,24.99993,25.0,0.0142797746,0.0140724277,0.092879452,0.0101332887,0.00419070663,0.0931265615,0.0105924001
0.000421167267,-24.99993,-25.0,24.99993,25.0,0.0132378014,0.0130319612,0.0814296432,0.00909556847,0.00419113214,0.0816859218,0.00950627611
0.000431167267,-24.99993,-25.0,24.99993,25.0,0.0121604373,0.0119559799,0.0695897856,0.00802197565,0.00419150954,0.0698541069,0.00838263515
0.000441167267,-24.99993,-25.0,24.99993,25.0,0.011051934,0.0108487519,0.0574066636,0.00691674679,0.0041918373,0.0576780872,0.00722591175
0.000451167267,-24.99993,-25.0,24.99993,25.0,0.00991666692,0.00971462445,0.0449282907,0.00578424416,0.0041921141,0.0452056542,0.00604067099
0.000461167267,-24.99993,-25.0,24.99993,25.0,0.00875911619,0.00855809738,0.0322039996,0.00462893677,0.00419233883,0.0324862882,0.00483159045
0.000471167267,-24.99993,-25.0,24.99993,25.0,0.00758385081,0.0073837106,0.0192839151,0.00345538453,0.00419251058,0.0195699455,0.00360344184
0.000481167267,-24.99993,-25.0,24.99993,25.0,0.0063955088,0.00619612445,0.00621913415,0.00226821845,0.00419262864,0.00650783652,0.00236107209
0.000491167267,-24.99993,-25.0,24.99993,25.0,0.00519878066,0.00500000002,-0.00693889273,0.00107212418,0.00419269253,-0.00664870718,0.00110938426
0.000501167267,-24.99993,-25.0,24.99993,25.0,0.00399838911,0.00380008462,-0.0201381141,-0.000128178307,0.00419270195,-0.0198475506,-0.0001466818
0.000511167267,-24.99993,-25.0,24.99993,25.0,0.00279907222,0.00260108701,-0.033326562,-0.00132795153,0.00419265686,-0.0330367987,-0.00140216897
0.000521167267,-24.99993,-25.0,24.99993,25.0,0.00160556291,0.00140776665,-0.0464520539,-0.00252246098,0.00419255739,-0.0461642111,-0.00265212242
0.000531167267,-24.99993,-25.0,24.99993,25.0,0.000422572089,0.000224805631,-0.059462922,-0.00370699205,0.00419240393,-0.0591781514,-0.00389160916
0.000541167267,-24.99993,-25.0,24.99993,25.0,-0.000745231734,-0.000943099404,-0.0723076771,-0.00487687037,0.00419219705,-0.0720270942,-0.0051157375
0.000551167267,-24.99993,-25.0,24.99993,25.0,-0.00189323912,-0.00209136699,-0.0849357653,-0.00602747856,0.00419193753,-0.0846604793,-0.00631967635
0.000561167267,-24.99993,-25.0,24.99993,25.0,-0.00301691961,-0.00321543719,-0.0972972033,-0.00715427612,0.00419162639,-0.097028305,-0.00749867433
0.000571167267,-24.99993,-25.0,24.99993,25.0,-0.00411183792,-0.00431090165,-0.109343349,-0.0082528157,0.00419126481,-0.109081889,-0.00864807847
0.000581167267,-24.99993,-25.0,24.99993,25.0,-0.00517367309,-0.0053734088,-0.121026511,-0.00931876227,0.00419085421,-0.120773538,-0.00976335259
0.000591167267,-24.99993,-25.0,24.99993,25.0,-0.0061982339,-0.00639879321,-0.132300728,-0.0103479086,0.00419039618,-0.132057219,-0.0108400952
0.000601167267,-24.99993,-25.0,24.99993,25.0,-0.00718147709,-0.00738297998,-0.143121354,-0.0113361937,0.0041898925,-0.142888296,-0.0118740569
0.000611167267,-24.99993,-25.0,24.99993,25.0,-0.00811952159,-0.0083221126,-0.153445831,-0.0122797166,0.00418934513,-0.153224113,-0.0128611572
0.000621167267,-24.99993,-25.0,24.99993,25.0,-0.00900866558,-0.00921245681,-0.163233262,-0.0131747542,0.0041887562,-0.163023793,-0.0137975003
0.000631167267,-24.99993,-25.0,24.99993,25.0,-0.00984539937,-0.0100505262,-0.172445164,-0.0140177739,0.00418812802,-0.172248735,-0.014679391
0.000641167267,-24.99993,-25.0,24.99993,25.0,-0.010626421,-0.0108329856,-0.181045035,-0.0148054489,0.00418746304,-0.18086246,-0.0155033489
0.000651167267,-24.99993,-25.0,24.99993,25.0,-0.0113486474,-0.011556774,-0.188999077,-0.0155346704,0.00418676386,-0.188831034,-0.0162661221
0.000661167267,-24.99993,-25.0,24.99993,25.0,-0.0120092285,-0.0122190078,-0.196275751,-0.0162025608,0.00418603321,-0.196122949,-0.0169647004
0.000671167267,-24.99993,-25.0,24.99993,25.0,-0.0126055566,-0.0128171,-0.202846481,-0.0168064838,0.00418527395,-0.202709476,-0.0175963267
0.000681167267,-24.99993,-25.0,24.99993,25.0,-0.0131352787,-0.0133486634,-0.20868519,-0.0173440566,0.00418448905,-0.208564572,-0.0181585084
0.000691167267,-24.99993,-25.0,24.99993,25.0,-0.0135963033,-0.0138116263,-0.213768975,-0.017813157,0.00418368159,-0.213665168,-0.0186490268
0.000701167267,-24.99993,-25.0,24.99993,25.0,-0.0139868113,-0.0142041351,-0.218077628,-0.0182119343,0.00418285472,-0.217991094,-0.0190659459
