 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)        
 0.00000000e+00  0.00000000e+00 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.39999957e-03  4.16539923e-03 -1.58345983e-02  0.00000000e+00  4.16539919e-03 -1.58345983e-02  0.00000000e+00 
 1.00000000e-07  1.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.41188513e-03  4.16777485e-03 -1.58070419e-02  1.18856294e-05  4.16539919e-03 -1.58259869e-02  1.25663698e-05 
 2.00000000e-07  2.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.42389439e-03  4.17241453e-03 -1.57535274e-02  2.38950089e-05  4.16539919e-03 -1.58033433e-02  2.51327346e-05 
 4.00000000e-07  4.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.44791467e-03  4.18550314e-03 -1.56053628e-02  4.79156419e-05  4.16539920e-03 -1.57259069e-02  5.02654295e-05 
 8.00000000e-07  8.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.49595019e-03  4.22567519e-03 -1.51599635e-02  9.59525195e-05  4.16539928e-03 -1.53990081e-02  1.00530542e-04 
 1.60000000e-06  1.60000000e-06 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.59201090e-03  4.32083338e-03 -1.41126605e-02  1.92018555e-04  4.16539967e-03 -1.44148841e-02  2.01058543e-04 
 3.20000000e-06  3.20000000e-06 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.78410418e-03  4.51347540e-03 -1.19938631e-02  3.84132983e-04  4.16540150e-03 -1.22790060e-02  4.02096767e-04 
 5.85575571e-06  5.85575571e-06 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  5.10282548e-03  4.83170366e-03 -8.49329240e-03  7.02920205e-04  4.16540762e-03 -8.78674067e-03  7.35689954e-04 
 1.11672671e-05  1.11672671e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  5.73948168e-03  5.46850897e-03 -1.48877510e-03  1.33982358e-03  4.16543139e-03 -1.77608236e-03  1.40216897e-03 
 2.11672671e-05  2.11672671e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  6.93310451e-03  6.66166726e-03  1.16350901e-02  2.53432775e-03  4.16551774e-03  1.13450668e-02  2.65212242e-03 
 3.11672671e-05  3.11672671e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  8.11620907e-03  7.84499222e-03  2.46500793e-02  3.71885379e-03  4.16565809e-03  2.43671318e-02  3.89160916e-03 
 4.11672671e-05  4.11672671e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  9.28412631e-03  9.01278375e-03  3.74937197e-02  4.88872682e-03  4.16585187e-03  3.72115145e-02  5.11573750e-03 
 5.11672671e-05  5.11672671e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.04322473e-02  1.01613702e-02  5.01254538e-02  6.03933000e-03  4.16609829e-03  4.98514997e-02  6.31967635e-03 
 6.11672671e-05  6.11672671e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.15560411e-02  1.12853683e-02  6.24862133e-02  7.16612226e-03  4.16639634e-03  6.22161239e-02  7.49867433e-03 
 7.11672671e-05  7.11672671e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.26510730e-02  1.23811134e-02  7.45356002e-02  8.26465684e-03  4.16674482e-03  7.42750949e-02  8.64807847e-03 
 8.11672671e-05  8.11672671e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.37130214e-02  1.34435833e-02  8.62184539e-02  9.33059810e-03  4.16714234e-03  8.59646201e-02  9.76335259e-03 
 9.11672671e-05  9.11672671e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.47376957e-02  1.44692162e-02  9.74955707e-02  1.03597395e-02  4.16758730e-03  9.72527277e-02  1.08400952e-02 
 1.01167267e-04  1.01167267e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.57210519e-02  1.54533951e-02  1.08316199e-01  1.13480192e-02  4.16807791e-03  1.08082531e-01  1.18740569e-02 
 1.11167267e-04  1.11167267e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.66592098e-02  1.63927490e-02  1.18643288e-01  1.22915372e-02  4.16861221e-03  1.18422019e-01  1.28611572e-02 
 1.21167267e-04  1.21167267e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.75484668e-02  1.72831100e-02  1.28430982e-01  1.31865695e-02  4.16918808e-03  1.28221092e-01  1.37975003e-02 
 1.31167267e-04  1.31167267e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.83853139e-02  1.81213780e-02  1.37645256e-01  1.40295842e-02  4.16980320e-03  1.37449114e-01  1.46793910e-02 
 1.41167267e-04  1.41167267e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.91664483e-02  1.89038746e-02  1.46245608e-01  1.48172539e-02  4.17045514e-03  1.46062751e-01  1.55033489e-02 
 1.51167267e-04  1.51167267e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.98887879e-02  1.96278429e-02  1.54201820e-01  1.55464704e-02  4.17114127e-03  1.54033945e-01  1.62661221e-02 
 1.61167267e-04  1.61167267e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.05494818e-02  2.02901309e-02  1.61479156e-01  1.62143555e-02  4.17185889e-03  1.61326173e-01  1.69647004e-02 
 1.71167267e-04  1.71167267e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.11459231e-02  2.08883873e-02  1.68051890e-01  1.68182736e-02  4.17260512e-03  1.67914966e-01  1.75963267e-02 
 1.81167267e-04  1.81167267e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.16757578e-02  2.14200188e-02  1.73891410e-01  1.73558410e-02  4.17337699e-03  1.73770683e-01  1.81585084e-02 
