diagram_id,n_component_nodes,n_connected_to_edges,n_diagram_nodes,n_edges_total,n_has_component_edges,n_has_net_edges,n_has_terminal_edges,n_implicit_supply_nets,n_implicit_supply_terminal_matches,n_net_nodes,n_nodes_total,n_suspicious_terminal_matches,n_terminal_nodes,n_terminals_matched,n_terminals_unmatched,terminal_connection_status_counts,terminal_match_confidence_counts,terminal_match_status_counts
1,4,10,1,28,4,4,10,0,0,4,19,0,10,10,0,"{""matched_preferred"": 10}","{""ok"": 10, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 10}"
2,14,29,1,83,14,11,29,0,0,11,55,0,29,29,0,"{""matched_preferred"": 29}","{""ok"": 29, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 29}"
3,8,16,1,48,8,8,16,0,0,8,33,0,16,16,0,"{""matched_preferred"": 16}","{""ok"": 16, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 16}"
4,8,21,1,57,8,7,21,0,0,7,37,0,21,21,0,"{""matched_preferred"": 21}","{""ok"": 21, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 21}"
5,13,25,1,69,13,6,25,0,0,6,45,0,25,25,0,"{""matched_preferred"": 25}","{""ok"": 25, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 25}"
6,18,32,1,96,18,14,32,0,0,14,65,0,32,32,0,"{""matched_preferred"": 32}","{""ok"": 32, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 32}"
7,10,26,1,69,10,7,26,0,0,7,44,0,26,26,0,"{""matched_preferred"": 26}","{""ok"": 26, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 26}"
