 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N009)         v(N010)         @ddiode7_1[id] 
 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.00000000e+00  0.00000000e+00 -1.22428978e-16  6.60106380e-01  1.28178949e+00  8.99999914e+00  0.00000000e+00  0.00000000e+00  1.69058345e-28 
 1.00000000e-08  1.00000000e-08  3.64099387e-22  9.00000000e+00  3.86656205e-06  9.59610169e-12  6.60106380e-01  1.28178980e+00  8.99999914e+00  3.86658402e-06  3.14159265e-07 -1.33061862e-23 
 1.08400020e-08  1.08400020e-08  3.97297877e-22  9.00000000e+00  4.19135393e-06  1.04163345e-11  6.60106380e-01  1.28178983e+00  8.99999914e+00  4.19137790e-06  3.40548705e-07 -1.44435408e-23 
 1.25200059e-08  1.25200059e-08  4.68949601e-22  9.00000000e+00  4.84093748e-06  1.20654597e-11  6.60106380e-01  1.28178988e+00  8.99999914e+00  4.84096576e-06  3.93327585e-07 -1.67302572e-23 
 1.58800137e-08  1.58800137e-08  6.43959024e-22  9.00000000e+00  6.14010345e-06  1.53926316e-11  6.60106380e-01  1.28178999e+00  8.99999914e+00  6.14014222e-06  4.98885344e-07 -2.13437934e-23 
 2.26000294e-08  2.26000294e-08  1.12239025e-21  9.00000000e+00  8.73843080e-06  2.21510033e-11  6.60106380e-01  1.28179020e+00  8.99999914e+00  8.73849797e-06  7.10000861e-07 -3.07151149e-23 
 3.60400608e-08  3.60400608e-08  2.60514979e-21  9.00000000e+00  1.39350671e-05  3.60941832e-11  6.60106380e-01  1.28179062e+00  8.99999914e+00  1.39352209e-05  1.13223189e-06 -5.00490638e-23 
 6.29201235e-08  6.29201235e-08  7.76556162e-21  9.00000000e+00  2.43282662e-05  6.56780186e-11  6.60106380e-01  1.28179146e+00  8.99999914e+00  2.43287121e-05  1.97669393e-06 -9.10707232e-23 
 1.16680249e-07  1.16680249e-07  2.74793601e-20  9.00000000e+00  4.51143689e-05  1.31639422e-10  6.60106380e-01  1.28179315e+00  8.99999914e+00  4.51158754e-05  3.66561780e-06 -1.82534393e-22 
 2.24200500e-07  2.24200500e-07  1.07380250e-19  9.00000000e+00  8.66853844e-05  2.90721947e-10  6.60106380e-01  1.28179653e+00  8.99999914e+00  8.66909168e-05  7.04346410e-06 -4.03122055e-22 
 4.39241002e-07  4.39241002e-07  4.20728808e-19  9.00000000e+00  1.69822589e-04  7.17453263e-10  6.60106381e-01  1.28180328e+00  8.99999914e+00  1.69843792e-04  1.37991455e-05 -9.94837974e-22 
 8.69322005e-07  8.69322005e-07  1.30285802e-18  9.00000000e+00  3.36077166e-04  2.00451922e-09  6.60106384e-01  1.28181678e+00  8.99999914e+00  3.36160180e-04  2.73104205e-05 -2.77951460e-21 
 1.72948401e-06  1.72948401e-06  2.18398585e-18  9.00000000e+00  6.68502750e-04  6.30780583e-09  6.60106393e-01  1.28184376e+00  8.99999914e+00  6.68831248e-04  5.43322734e-05 -8.74655522e-21 
 2.72948401e-06  2.72948401e-06  2.48724326e-18  9.00000000e+00  1.05482045e-03  1.41970768e-08  6.60106408e-01  1.28187508e+00  8.99999914e+00  1.05563853e-03  8.57450659e-05 -1.96860072e-20 
 3.72948401e-06  3.72948401e-06  3.97198169e-18  9.00000000e+00  1.44096145e-03  2.51730279e-08  6.60106430e-01  1.28190635e+00  8.99999914e+00  1.44248856e-03  1.17154473e-04 -3.49055222e-20 
