 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         @dled12_1[id]  
 5.00000000e-08  5.00000000e-08  9.99959876e-01  2.57310304e-05  9.00000000e+00  7.82911845e-02  1.31847384e-02  1.31847384e-02  1.98335500e-14 
 5.01034529e-08  5.01034529e-08  9.99959788e-01  2.57831239e-05  9.00000000e+00  7.97065932e-02  1.23529386e-02  1.23529386e-02  1.84748525e-14 
 5.03103586e-08  5.03103586e-08  9.99959606e-01  2.58851260e-05  9.00000000e+00  8.00154456e-02  1.02135639e-02  1.02135639e-02  1.50556393e-14 
 5.06715421e-08  5.06715421e-08  9.99959267e-01  2.60539861e-05  9.00000000e+00  7.68170957e-02  6.66668198e-03  6.66668197e-03  9.60683451e-15 
 5.09487443e-08  5.09487443e-08  9.99958999e-01  2.61772008e-05  9.00000000e+00  7.51091827e-02  4.95422957e-03  4.95422956e-03  7.06539200e-15 
 5.12695491e-08  5.12695491e-08  9.99958687e-01  2.63149161e-05  9.00000000e+00  7.36639294e-02  3.49177604e-03  3.49177604e-03  4.93714930e-15 
 5.16428070e-08  5.16428070e-08  9.99958323e-01  2.64702124e-05  9.00000000e+00  7.25107561e-02  2.32243659e-03  2.32243659e-03  3.26189277e-15 
 5.20023392e-08  5.20023392e-08  9.99957973e-01  2.66160316e-05  9.00000000e+00  7.17669601e-02  1.56861469e-03  1.56861468e-03  2.19384632e-15 
 5.23644586e-08  5.23644586e-08  9.99957622e-01  2.67601308e-05  9.00000000e+00  7.12619162e-02  1.05665236e-03  1.05665236e-03  1.47363915e-15 
 5.27135753e-08  5.27135753e-08  9.99957283e-01  2.68970568e-05  9.00000000e+00  7.09319844e-02  7.22237212e-04  7.22237211e-04  1.00540665e-15 
 5.30721399e-08  5.30721399e-08  9.99956936e-01  2.70361303e-05  9.00000000e+00  7.07014014e-02  4.88512764e-04  4.88512763e-04  6.79178457e-16 
 5.34247070e-08  5.34247070e-08  9.99956595e-01  2.71716886e-05  9.00000000e+00  7.05476367e-02  3.32657351e-04  3.32657351e-04  4.62101323e-16 
 5.37833805e-08  5.37833805e-08  9.99956249e-01  2.73086638e-05  9.00000000e+00  7.04414158e-02  2.24992343e-04  2.24992342e-04  3.12359242e-16 
 5.41367540e-08  5.41367540e-08  9.99955908e-01  2.74429037e-05  9.00000000e+00  7.03704645e-02  1.53077888e-04  1.53077888e-04  2.12436967e-16 
 5.44942958e-08  5.44942958e-08  9.99955564e-01  2.75781717e-05  9.00000000e+00  7.03217152e-02  1.03667078e-04  1.03667078e-04  1.43827696e-16 
 5.48725938e-08  5.48725938e-08  9.99955200e-01  2.77208265e-05  9.00000000e+00  7.02871101e-02  6.85935105e-05  6.85935104e-05  9.51486102e-17 
 5.53210424e-08  5.53210424e-08  9.99954770e-01  2.78894732e-05  9.00000000e+00  7.02607912e-02  4.19193836e-05  4.19193835e-05  5.81395675e-17 
 5.58276723e-08  5.58276723e-08  9.99954284e-01  2.80795670e-05  9.00000000e+00  7.02430662e-02  2.39567102e-05  2.39567101e-05  3.32232421e-17 
 5.64336051e-08  5.64336051e-08  9.99953703e-01  2.83065181e-05  9.00000000e+00  7.02314376e-02  1.21739060e-05  1.21739060e-05  1.68817392e-17 
 5.71423049e-08  5.71423049e-08  9.99953025e-01  2.85716147e-05  9.00000000e+00  7.02248003e-02  5.45117234e-06  5.45117233e-06  7.55894898e-18 
 5.80319772e-08  5.80319772e-08  9.99952174e-01  2.89041162e-05  9.00000000e+00  7.02213118e-02  1.92120372e-06  1.92120372e-06  2.66401494e-18 
 5.91548218e-08  5.91548218e-08  9.99951102e-01  2.93235535e-05  9.00000000e+00  7.02198763e-02  4.73899501e-07  4.73899500e-07  6.57122142e-19 
