diagram_id,n_component_nodes,n_connected_to_edges,n_diagram_nodes,n_edges_total,n_has_component_edges,n_has_net_edges,n_has_terminal_edges,n_net_nodes,n_nodes_total,n_suspicious_terminal_matches,n_terminal_nodes,terminal_match_confidence_counts
1,17,29,1,81,17,6,29,6,53,2,29,"{""high"": 27, ""medium"": 0, ""low"": 2, ""none"": 0}"
2,7,10,1,31,7,4,10,4,22,0,10,"{""high"": 10, ""medium"": 0, ""low"": 0, ""none"": 0}"
3,12,20,1,56,12,4,20,4,37,0,20,"{""high"": 20, ""medium"": 0, ""low"": 0, ""none"": 0}"
4,10,12,1,41,10,7,12,7,30,0,12,"{""high"": 12, ""medium"": 0, ""low"": 0, ""none"": 0}"
5,17,24,1,76,17,11,24,11,53,4,24,"{""high"": 18, ""medium"": 2, ""low"": 4, ""none"": 0}"
6,17,25,1,80,17,13,25,13,56,0,25,"{""high"": 25, ""medium"": 0, ""low"": 0, ""none"": 0}"
