 time            time            v(H1_GATE)      v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)         @ddiode7_1[id]  @ddiode7_3[id]  @ddiode7_4[id]  @ddiode7_5[id] 
 0.00000000e+00  0.00000000e+00  9.98968686e+00  6.04258257e-06  1.80425896e-02  0.00000000e+00  9.98968826e+00  3.08219724e-07  1.02958358e+00  5.23579035e-01  9.99998970e+00  1.00000000e+01  0.00000000e+00  1.54453212e+00 -4.30086854e-09 -1.40099874e-08 -1.40099874e-08  3.13514037e-06 
 1.00000000e-06  1.00000000e-06  9.98969194e+00  6.60406504e-03  1.86810416e-02  6.66432322e-03  9.98968837e+00  6.66352597e-03  1.02958698e+00  5.23894235e-01  9.99998970e+00  1.00000000e+01  0.00000000e+00  1.54453533e+00  1.47330621e-07  3.57169824e-08  3.62462794e-08  3.09757345e-06 
 1.51835868e-06  1.51835868e-06  9.98969199e+00  1.00531807e-02  1.87481594e-02  1.01188328e-02  9.98968837e+00  1.01180350e-02  1.02958731e+00  5.23927272e-01  9.99998970e+00  1.00000000e+01  0.00000000e+00  1.54453564e+00  1.63009921e-07  3.61876486e-08  3.62669854e-08  3.09365906e-06 
 2.55507604e-06  2.55507604e-06  9.98969200e+00  1.69596010e-02  1.87808556e-02  1.70278510e-02  9.98968837e+00  1.70270530e-02  1.02958748e+00  5.23943404e-01  9.99998970e+00  1.00000000e+01  0.00000000e+00  1.54453581e+00  1.71650914e-07  3.63317555e-08  3.62907459e-08  3.09175056e-06 
 4.62851077e-06  4.62851077e-06  9.98969200e+00  3.07765451e-02  1.87949740e-02  3.08458814e-02  9.98968838e+00  3.08450825e-02  1.02958755e+00  5.23950370e-01  9.99998970e+00  1.00000000e+01  0.00000000e+00  1.54453588e+00  1.73844770e-07  3.62652770e-08  3.63144826e-08  3.09092687e-06 
 8.77538021e-06  8.77538021e-06  9.98969202e+00  5.84050108e-02  1.88910118e-02  5.84818970e-02  9.98968838e+00  5.84810965e-02  1.02958806e+00  5.23997753e-01  9.99998970e+00  1.00000000e+01  0.00000000e+00  1.54453635e+00  1.96581273e-07  3.64071645e-08  3.63858700e-08  3.08532967e-06 
 1.70691191e-05  1.70691191e-05  9.98969204e+00  1.13650447e-01  1.92269087e-02  1.13753583e-01  9.98968840e+00  1.13752780e-01  1.02958981e+00  5.24163454e-01  9.99998970e+00  1.00000000e+01  0.00000000e+00  1.54453800e+00  2.76102126e-07  3.64356261e-08  3.65052775e-08  3.06583471e-06 
 3.36565969e-05  3.36565969e-05  9.98969210e+00  2.23901388e-01  2.29330727e-02  2.24294264e-01  9.98968845e+00  2.24293456e-01  1.02960836e+00  5.25988482e-01  9.99998970e+00  1.00000000e+01  0.00000000e+00  1.54455549e+00  1.15396108e-06  3.65726121e-08  3.67696454e-08  2.85901503e-06 
 5.57879729e-05  5.57879729e-05  9.98969216e+00  3.68642256e-01  5.55830808e-02  3.71770056e-01  9.98968862e+00  3.71769240e-01  1.02972452e+00  5.41691998e-01  9.99998970e+00  1.00000000e+01  0.00000000e+00  1.54466498e+00  9.45453405e-06  3.54072882e-08  3.71081144e-08  1.56491654e-06 
 7.72450460e-05  7.72450460e-05  9.98969210e+00  5.03704860e-01  1.26170655e-01  5.14735437e-01  9.98968875e+00  5.14734613e-01  1.02981355e+00  5.67829066e-01  9.99998970e+00  1.00000000e+01  0.00000000e+00  1.54474891e+00  3.33928641e-05  3.34545922e-08  3.74568161e-08  5.71639396e-07 
