 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         @dled12_1[id]  
 6.09722331e-04  6.09722331e-04  8.58126789e-03  3.04861166e+00  8.23720033e+01 -1.59707273e-02  1.52440688e+00 -7.93333917e-11 
 6.53476005e-04  6.53476005e-04  9.95897036e-03  3.26738003e+00  8.24105480e+01  3.51102855e-02  1.63358640e+00 -7.91531679e-11 
 7.25840850e-04  7.25840850e-04  1.24462889e-02  3.62920425e+00  8.23434018e+01 -1.13128869e-02  1.81469991e+00 -7.87241976e-11 
 8.61964569e-04  8.61964569e-04  1.78292236e-02  4.30982285e+00  8.23583533e+01  4.25000424e-02  2.15480979e+00 -7.80585305e-11 
 1.00000000e-03  1.00000000e-03  2.42257452e-02  5.00000000e+00  8.22773024e+01  7.36931720e-04  2.50009667e+00 -7.72873024e-11 
 1.02722474e-03  1.02722474e-03  2.55800103e-02  5.00000000e+00  8.22942152e+01  2.53794756e-02  2.50000078e+00 -7.73042152e-11 
 1.08167423e-03  1.08167423e-03  2.82878175e-02  5.00000000e+00  8.22818147e+01  2.84436009e-02  2.49999931e+00 -7.72918147e-11 
 1.19057321e-03  1.19057321e-03  3.36990115e-02  5.00000000e+00  8.22559538e+01  3.35024209e-02  2.50000076e+00 -7.72659538e-11 
 1.39239633e-03  1.39239633e-03  4.37120445e-02  5.00000000e+00  8.22090473e+01  4.38657712e-02  2.49999932e+00 -7.72190473e-11 
 1.79604257e-03  1.79604257e-03  6.36776070e-02  5.00000000e+00  8.21142478e+01  6.34821778e-02  2.50000076e+00 -7.71242478e-11 
 2.29604257e-03  2.29604257e-03  8.82976533e-02  5.00000000e+00  8.19977339e+01  8.84508156e-02  2.49999932e+00 -7.70077339e-11 
 2.79604257e-03  2.79604257e-03  1.12794907e-01  5.00000000e+00  8.18806911e+01  1.12600161e-01  2.50000076e+00 -7.68906911e-11 
 3.29604257e-03  3.29604257e-03  1.37169979e-01  5.00000000e+00  8.17645159e+01  1.37322642e-01  2.49999933e+00 -7.67745159e-11 
 3.79604257e-03  3.79604257e-03  1.61423480e-01  5.00000000e+00  8.16478167e+01  1.61229413e-01  2.50000075e+00 -7.66578167e-11 
 4.29604257e-03  4.29604257e-03  1.85556016e-01  5.00000000e+00  8.15319783e+01  1.85708178e-01  2.49999933e+00 -7.65419783e-11 
 4.79604257e-03  4.79604257e-03  2.09568190e-01  5.00000000e+00  8.14156199e+01  2.09374801e-01  2.50000075e+00 -7.64256199e-11 
 5.29604257e-03  5.29604257e-03  2.33460603e-01  5.00000000e+00  8.13001274e+01  2.33612265e-01  2.49999933e+00 -7.63101274e-11 
 5.79604257e-03  5.79604257e-03  2.57233852e-01  5.00000000e+00  8.11841164e+01  2.57041140e-01  2.50000075e+00 -7.61941164e-11 
 6.29604257e-03  6.29604257e-03  2.80888530e-01  5.00000000e+00  8.10689609e+01  2.81039689e-01  2.49999933e+00 -7.60789609e-11 
 6.79604257e-03  6.79604257e-03  3.04425231e-01  5.00000000e+00  8.09532889e+01  3.04233197e-01  2.50000075e+00 -7.59632889e-11 
 7.29604257e-03  7.29604257e-03  3.27844541e-01  5.00000000e+00  8.08384773e+01  3.27995198e-01  2.49999934e+00 -7.58484773e-11 
 7.79604257e-03  7.79604257e-03  3.51147047e-01  5.00000000e+00  8.07231515e+01  3.50955691e-01  2.50000074e+00 -7.57331515e-11 
 8.29604257e-03  8.29604257e-03  3.74333331e-01  5.00000000e+00  8.06086811e+01  3.74483484e-01  2.49999934e+00 -7.56186811e-11 
 8.79604257e-03  8.79604257e-03  3.97403973e-01  5.00000000e+00  8.04937022e+01  3.97213295e-01  2.50000074e+00 -7.55037022e-11 
 9.29604257e-03  9.29604257e-03  4.20359549e-01  5.00000000e+00  8.03795741e+01  4.20509196e-01  2.49999934e+00 -7.53895741e-11 
 9.79604257e-03  9.79604257e-03  4.43200634e-01  5.00000000e+00  8.02649371e+01  4.43010633e-01  2.50000074e+00 -7.52749371e-11 
 1.02960426e-02  1.02960426e-02  4.65927798e-01  5.00000000e+00  8.01511472e+01  4.66076938e-01  2.49999934e+00 -7.51611472e-11 
 1.07960426e-02  1.07960426e-02  4.88541610e-01  5.00000000e+00  8.00368504e+01  4.88352285e-01  2.50000074e+00 -7.50468504e-11 
 1.12960426e-02  1.12960426e-02  5.11042634e-01  5.00000000e+00  7.99234036e+01  5.11191267e-01  2.49999934e+00 -7.49334036e-11 
 1.17960426e-02  1.17960426e-02  5.33431434e-01  5.00000000e+00  7.98094507e+01  5.33242786e-01  2.50000073e+00 -7.48194507e-11 
 1.22960426e-02  1.22960426e-02  5.55708569e-01  5.00000000e+00  7.96963425e+01  5.55856694e-01  2.49999935e+00 -7.47063425e-11 
 1.27960426e-02  1.27960426e-02  5.77874597e-01  5.00000000e+00  7.95827289e+01  5.77686624e-01  2.50000073e+00 -7.45927289e-11 
 1.32960426e-02  1.32960426e-02  5.99930070e-01  5.00000000e+00  7.94699572e+01  6.00077685e-01  2.49999935e+00 -7.44799572e-11 
 1.37960426e-02  1.37960426e-02  6.21875542e-01  5.00000000e+00  7.93566876e+01  6.21688246e-01  2.50000073e+00 -7.43666876e-11 
 1.42960426e-02  1.42960426e-02  6.43711559e-01  5.00000000e+00  7.92442559e+01  6.43858663e-01  2.49999935e+00 -7.42542559e-11 
 1.47960426e-02  1.47960426e-02  6.65438669e-01  5.00000000e+00  7.91313259e+01  6.65252049e-01  2.50000073e+00 -7.41413259e-11 
 1.52960426e-02  1.52960426e-02  6.87057414e-01  5.00000000e+00  7.90192349e+01  6.87204006e-01  2.49999935e+00 -7.40292349e-11 
 1.57960426e-02  1.57960426e-02  7.08568335e-01  5.00000000e+00  7.89066459e+01  7.08382391e-01  2.50000072e+00 -7.39166459e-11 
 1.62960426e-02  1.62960426e-02  7.29971970e-01  5.00000000e+00  7.87948908e+01  7.30118049e-01  2.49999936e+00 -7.38048908e-11 
 1.67960426e-02  1.67960426e-02  7.51268853e-01  5.00000000e+00  7.86826438e+01  7.51083585e-01  2.50000072e+00 -7.36926438e-11 
 1.72960426e-02  1.72960426e-02  7.72459518e-01  5.00000000e+00  7.85712265e+01  7.72605082e-01  2.49999936e+00 -7.35812265e-11 
 1.77960426e-02  1.77960426e-02  7.93544493e-01  5.00000000e+00  7.84593171e+01  7.93359900e-01  2.50000072e+00 -7.34693171e-11 
 1.82960426e-02  1.82960426e-02  8.14524307e-01  5.00000000e+00  7.83482386e+01  8.14669357e-01  2.49999936e+00 -7.33582386e-11 
 1.87960426e-02  1.87960426e-02  8.35399483e-01  5.00000000e+00  7.82366684e+01  8.35215565e-01  2.50000071e+00 -7.32466684e-11 
 1.92960426e-02  1.92960426e-02  8.56170544e-01  5.00000000e+00  7.81259242e+01  8.56315077e-01  2.49999936e+00 -7.31359242e-11 
 1.97960426e-02  1.97960426e-02  8.76838008e-01  5.00000000e+00  7.80146943e+01  8.76654765e-01  2.50000071e+00 -7.30246943e-11 
 2.02960426e-02  2.02960426e-02  8.97402393e-01  5.00000000e+00  7.79042861e+01  8.97546408e-01  2.49999936e+00 -7.29142861e-11 
 2.07960426e-02  2.07960426e-02  9.17864212e-01  5.00000000e+00  7.77933919e+01  9.17681644e-01  2.50000071e+00 -7.28033919e-11 
 2.12960426e-02  2.12960426e-02  9.38223977e-01  5.00000000e+00  7.76833206e+01  9.38367474e-01  2.49999937e+00 -7.26933206e-11 
 2.17960426e-02  2.17960426e-02  9.58482197e-01  5.00000000e+00  7.75727688e+01  9.58300305e-01  2.50000071e+00 -7.25827688e-11 
 2.22960426e-02  2.22960426e-02  9.78639379e-01  5.00000000e+00  7.74630334e+01  9.78782355e-01  2.49999937e+00 -7.24730334e-11 
 2.27960426e-02  2.27960426e-02  9.98696027e-01  5.00000000e+00  7.73528158e+01  9.98514809e-01  2.50000070e+00 -7.23628158e-11 
 2.32960426e-02  2.32960426e-02  1.01865264e+00  5.00000000e+00  7.72434155e+01  1.01879510e+00  2.49999937e+00 -7.22534155e-11 
 2.37960426e-02  2.37960426e-02  1.03850972e+00  5.00000000e+00  7.71335339e+01  1.03832918e+00  2.50000070e+00 -7.21435339e-11 
 2.42960426e-02  2.42960426e-02  1.05826776e+00  5.00000000e+00  7.70244647e+01  1.05840970e+00  2.49999937e+00 -7.20344647e-11 
 2.47960426e-02  2.47960426e-02  1.07792726e+00  5.00000000e+00  7.69149202e+01  1.07774739e+00  2.50000070e+00 -7.19249202e-11 
 2.52960426e-02  2.52960426e-02  1.09748871e+00  5.00000000e+00  7.68061889e+01  1.09763012e+00  2.49999938e+00 -7.18161889e-11 
 2.57960426e-02  2.57960426e-02  1.11695259e+00  5.00000000e+00  7.66969804e+01  1.11677340e+00  2.50000070e+00 -7.17069804e-11 
 2.62960426e-02  2.62960426e-02  1.13631940e+00  5.00000000e+00  7.65885787e+01  1.13646028e+00  2.49999938e+00 -7.15985787e-11 
 2.67960426e-02  2.67960426e-02  1.15558961e+00  5.00000000e+00  7.64797055e+01  1.15541109e+00  2.50000069e+00 -7.14897055e-11 
 2.72960426e-02  2.72960426e-02  1.17476371e+00  5.00000000e+00  7.63716398e+01  1.17490407e+00  2.49999938e+00 -7.13816398e-11 
 2.77960426e-02  2.77960426e-02  1.19384218e+00  5.00000000e+00  7.62631061e+01  1.19366434e+00  2.50000069e+00 -7.12731061e-11 
 2.82960426e-02  2.82960426e-02  1.21282550e+00  5.00000000e+00  7.61553722e+01  1.21296533e+00  2.49999938e+00 -7.11653722e-11 
 2.87960426e-02  2.87960426e-02  1.23171414e+00  5.00000000e+00  7.60471684e+01  1.23153697e+00  2.50000069e+00 -7.10571684e-11 
 2.92960426e-02  2.92960426e-02  1.25050857e+00  5.00000000e+00  7.59397655e+01  1.25064787e+00  2.49999939e+00 -7.09497655e-11 
 2.97960426e-02  2.97960426e-02  1.26920926e+00  5.00000000e+00  7.58318985e+01  1.26903276e+00  2.50000069e+00 -7.08418985e-11 
 3.02960426e-02  3.02960426e-02  1.28781668e+00  5.00000000e+00  7.57248309e+01  1.28795545e+00  2.49999939e+00 -7.07348309e-11 
 3.07960426e-02  3.07960426e-02  1.30633130e+00  5.00000000e+00  7.56173012e+01  1.30615547e+00  2.50000068e+00 -7.06273012e-11 
 3.12960426e-02  3.12960426e-02  1.32475357e+00  5.00000000e+00  7.55105628e+01  1.32489181e+00  2.49999939e+00 -7.05205628e-11 
 3.17960426e-02  3.17960426e-02  1.34308396e+00  5.00000000e+00  7.54033606e+01  1.34290881e+00  2.50000068e+00 -7.04133606e-11 
 3.22960426e-02  3.22960426e-02  1.36132293e+00  5.00000000e+00  7.52969511e+01  1.36146064e+00  2.49999939e+00 -7.03069511e-11 
 3.27960426e-02  3.27960426e-02  1.37947093e+00  5.00000000e+00  7.51900836e+01  1.37929646e+00  2.50000068e+00 -7.02000836e-11 
 3.32960426e-02  3.32960426e-02  1.39752842e+00  5.00000000e+00  7.50840074e+01  1.39766560e+00  2.49999939e+00 -7.00940074e-11 
 3.37960426e-02  3.37960426e-02  1.41549585e+00  5.00000000e+00  7.49774704e+01  1.41532205e+00  2.50000068e+00 -6.99874704e-11 
 3.42960426e-02  3.42960426e-02  1.43337366e+00  5.00000000e+00  7.48717180e+01  1.43351030e+00  2.49999940e+00 -6.98817180e-11 
 3.47960426e-02  3.47960426e-02  1.45116231e+00  5.00000000e+00  7.47655106e+01  1.45098918e+00  2.50000067e+00 -6.97755106e-11 
 3.52960426e-02  3.52960426e-02  1.46886223e+00  5.00000000e+00  7.46600887e+01  1.46899833e+00  2.49999940e+00 -6.96700887e-11 
 3.57960426e-02  3.57960426e-02  1.48647388e+00  5.00000000e+00  7.45542152e+01  1.48630143e+00  2.50000067e+00 -6.95642152e-11 
 3.62960426e-02  3.62960426e-02  1.50399769e+00  5.00000000e+00  7.44491241e+01  1.50413325e+00  2.49999940e+00 -6.94591241e-11 
 3.67960426e-02  3.67960426e-02  1.52143409e+00  5.00000000e+00  7.43435831e+01  1.52126232e+00  2.50000067e+00 -6.93535831e-11 
 3.72960426e-02  3.72960426e-02  1.53878354e+00  5.00000000e+00  7.42388213e+01  1.53891856e+00  2.49999940e+00 -6.92488213e-11 
 3.77960426e-02  3.77960426e-02  1.55604645e+00  5.00000000e+00  7.41336116e+01  1.55587534e+00  2.50000066e+00 -6.91436116e-11 
 3.82960426e-02  3.82960426e-02  1.57322326e+00  5.00000000e+00  7.40291784e+01  1.57335774e+00  2.49999941e+00 -6.90391784e-11 
 3.87960426e-02  3.87960426e-02  1.59031440e+00  5.00000000e+00  7.39242993e+01  1.59014397e+00  2.50000066e+00 -6.89342993e-11 
 3.92960426e-02  3.92960426e-02  1.60732030e+00  5.00000000e+00  7.38201894e+01  1.60745424e+00  2.49999941e+00 -6.88301894e-11 
 3.97960426e-02  3.97960426e-02  1.62424138e+00  5.00000000e+00  7.37156325e+01  1.62407163e+00  2.50000066e+00 -6.87256325e-11 
 4.02960426e-02  4.02960426e-02  1.64107807e+00  5.00000000e+00  7.36118458e+01  1.64121147e+00  2.49999941e+00 -6.86218458e-11 
 4.07960426e-02  4.07960426e-02  1.65783079e+00  5.00000000e+00  7.35076179e+01  1.65766171e+00  2.50000066e+00 -6.85176179e-11 
 4.12960426e-02  4.12960426e-02  1.67449995e+00  5.00000000e+00  7.34041587e+01  1.67463280e+00  2.49999941e+00 -6.84141587e-11 
 4.17960426e-02  4.17960426e-02  1.69108597e+00  5.00000000e+00  7.33002600e+01  1.69091756e+00  2.50000065e+00 -6.83102600e-11 
 4.22960426e-02  4.22960426e-02  1.70758927e+00  5.00000000e+00  7.31971267e+01  1.70772157e+00  2.49999942e+00 -6.82071267e-11 
 4.27960426e-02  4.27960426e-02  1.72401026e+00  5.00000000e+00  7.30935556e+01  1.72384253e+00  2.50000065e+00 -6.81035556e-11 
 4.32960426e-02  4.32960426e-02  1.74034934e+00  5.00000000e+00  7.29907471e+01  1.74048110e+00  2.49999942e+00 -6.80007471e-11 
 4.37960426e-02  4.37960426e-02  1.75660694e+00  5.00000000e+00  7.28875029e+01  1.75643989e+00  2.50000065e+00 -6.78975029e-11 
 4.42960426e-02  4.42960426e-02  1.77278345e+00  5.00000000e+00  7.27850185e+01  1.77291465e+00  2.49999942e+00 -6.77950185e-11 
 4.47960426e-02  4.47960426e-02  1.78887928e+00  5.00000000e+00  7.26821005e+01  1.78871290e+00  2.50000065e+00 -6.76921005e-11 
