 time            time            v(H1_GATE)      v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)         @ddiode7_1[id]  @ddiode7_3[id]  @ddiode7_4[id]  @ddiode7_5[id] 
 8.31784223e-04  8.31784223e-04  1.19874082e+01  4.26410949e+00  3.65041919e+00  5.48040752e+00  1.19874039e+01  5.48040659e+00  1.25492996e+00  6.88253750e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.67013704e+00  3.68608601e-03  4.49940672e-08  4.47184554e-08  3.27330999e-05 
 9.31784223e-04  9.31784223e-04  1.19874073e+01  4.89073113e+00  4.27655378e+00  6.12140544e+00  1.19874040e+01  6.12140447e+00  1.25492998e+00  6.88253758e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.67013706e+00  3.72946937e-03  3.50483460e-08  4.68539893e-08  3.27331089e-05 
 1.03178422e-03  1.03178422e-03  1.19874088e+01  5.51144356e+00  4.89661165e+00  6.75636227e+00  1.19874042e+01  6.75636126e+00  1.25492999e+00  6.88253766e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.67013709e+00  3.77277649e-03  4.81828854e-08  4.92344985e-08  3.27331192e-05 
 1.13178422e-03  1.13178422e-03  1.19874080e+01  6.12564144e+00  5.51033072e+00  7.38465139e+00  1.19874043e+01  7.38465032e+00  1.25493001e+00  6.88253774e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.67013711e+00  3.81532986e-03  3.85285804e-08  5.19477061e-08  3.27331281e-05 
 1.23178422e-03  1.23178422e-03  1.19874094e+01  6.73271071e+00  6.11678486e+00  8.00565275e+00  1.19874045e+01  8.00565163e+00  1.25493003e+00  6.88253782e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.67013713e+00  3.85765923e-03  5.20181625e-08  5.50734584e-08  3.27331383e-05 
 1.33178422e-03  1.33178422e-03  1.19874086e+01  7.33206079e+00  6.71566803e+00  8.61875350e+00  1.19874047e+01  8.61875231e+00  1.25493004e+00  6.88253790e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.67013715e+00  3.89920816e-03  4.28140345e-08  5.87712430e-08  3.27331470e-05 
 1.43178422e-03  1.43178422e-03  1.19874102e+01  7.92309110e+00  7.30612082e+00  9.22334858e+00  1.19874048e+01  9.22334731e+00  1.25493006e+00  6.88253798e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.67013717e+00  3.94039841e-03  5.68706517e-08  6.32370386e-08  3.27331571e-05 
 1.53178422e-03  1.53178422e-03  1.19874094e+01  8.50522796e+00  7.88780568e+00  9.81884132e+00  1.19874050e+01  9.81883996e+00  1.25493007e+00  6.88253805e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.67013719e+00  3.98077354e-03  4.84098062e-08  6.88299452e-08  3.27331657e-05 
 1.63178422e-03  1.63178422e-03  1.19874110e+01  9.07788675e+00  8.45992311e+00  1.04046441e+01  1.19874051e+01  1.04046426e+01  1.25493009e+00  6.88253814e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.67013721e+00  4.02066685e-03  6.34485830e-08  7.61159163e-08  3.27331756e-05 
 1.73178422e-03  1.73178422e-03  1.19874103e+01  9.64051280e+00  9.02211461e+00  1.09801787e+01  1.19874053e+01  1.09801770e+01  1.25493010e+00  6.88253821e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.67013723e+00  4.05970435e-03  5.63453435e-08  8.62150583e-08  3.27331841e-05 
 1.83178422e-03  1.83178422e-03  1.19874121e+01  1.01925399e+01  9.57363533e+00  1.15448772e+01  1.19874054e+01  1.15448753e+01  1.25493012e+00  6.88253829e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.67013725e+00  4.09814722e-03  7.33167843e-08  1.01525485e-07  3.27331941e-05 
 1.93178422e-03  1.93178422e-03  1.19874116e+01  1.07334344e+01  1.01141148e+01  1.20981823e+01  1.19874056e+01  1.20981800e+01  1.25493013e+00  6.88253837e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.67013727e+00  4.13568934e-03  6.91437038e-08  2.67275408e-07  3.27332030e-05 
 2.03178422e-03  2.03178422e-03  1.19899623e+01  1.12562736e+01  1.06362641e+01  1.26395479e+01  1.19899536e+01  1.25834904e+01  1.25518313e+00  6.88380337e-01  1.19999900e+01  1.20000000e+01  0.00000000e+00  1.67047906e+00  4.19165282e-03  8.74903296e-08  2.55062533e-03  3.28936863e-05 
 2.13178422e-03  2.13178422e-03  1.20083684e+01  1.17260108e+01  1.11040039e+01  1.31684399e+01  1.20083615e+01  1.27073858e+01  1.25700894e+00  6.89293243e-01  1.20000084e+01  1.20000000e+01  0.00000000e+00  1.67294638e+00  4.37092835e-03  6.89010982e-08  2.09791648e-02  3.40754051e-05 
 2.23178422e-03  2.23178422e-03  1.20292314e+01  1.21741670e+01  1.15498327e+01  1.36843361e+01  1.20291926e+01  1.27649834e+01  1.25907076e+00  6.90324150e-01  1.20000292e+01  1.20000000e+01  0.00000000e+00  1.67573432e+00  4.57588123e-03  3.88880995e-07  4.18209629e-02  3.54609908e-05 
 2.33178422e-03  2.33178422e-03  1.20694255e+01  1.25442630e+01  1.19177601e+01  1.41867276e+01  1.20502665e+01  1.28079344e+01  1.26115180e+00  6.91364669e-01  1.20000502e+01  1.20000000e+01  0.00000000e+00  1.67855014e+00  4.78557590e-03  2.28761358e-04  6.33571110e-02  3.69166331e-05 
 2.43178422e-03  2.43178422e-03  1.21657835e+01  1.27174837e+01  1.20888599e+01  1.46751185e+01  1.20715515e+01  1.28446200e+01  1.26324859e+00  6.92413064e-01  1.20000715e+01  1.20000000e+01  0.00000000e+00  1.68138926e+00  4.98990692e-03  1.07392366e-03  8.32079442e-02  3.84437333e-05 
 2.53178422e-03  2.53178422e-03  1.22687941e+01  1.28538323e+01  1.22232540e+01  1.51490269e+01  1.20923757e+01  1.28786462e+01  1.26529742e+00  6.93437481e-01  1.20000923e+01  1.20000000e+01  0.00000000e+00  1.68416446e+00  5.19504034e-03  2.08182824e-03  1.05806310e-01  3.99969069e-05 
 2.63178422e-03  2.63178422e-03  1.23724692e+01  1.29687071e+01  1.23361407e+01  1.56079850e+01  1.21130284e+01  1.29084602e+01  1.26731912e+00  6.94448333e-01  1.20001129e+01  1.20000000e+01  0.00000000e+00  1.68690694e+00  5.40340381e-03  2.59548551e-03  1.22715492e-01  4.15910131e-05 
 2.73178422e-03  2.73178422e-03  1.24719349e+01  1.30808387e+01  1.24462625e+01  1.60515398e+01  1.21348422e+01  1.29385388e+01  1.26945144e+00  6.95514492e-01  1.20001347e+01  1.20000000e+01  0.00000000e+00  1.68980067e+00  5.63121584e-03  3.37375364e-03  1.41507726e-01  4.33412308e-05 
 2.83178422e-03  2.83178422e-03  1.25675668e+01  1.31855952e+01  1.25482357e+01  1.64792538e+01  1.21649950e+01  1.29761503e+01  1.27238904e+00  6.96983293e-01  1.20001648e+01  1.20000000e+01  0.00000000e+00  1.69379115e+00  5.95544114e-03  4.02860650e-03  1.59239794e-01  4.58736913e-05 
 2.93178422e-03  2.93178422e-03  1.26573506e+01  1.32801271e+01  1.26385304e+01  1.68907047e+01  1.22126416e+01  1.30297164e+01  1.27700515e+00  6.99291346e-01  1.20002124e+01  1.20000000e+01  0.00000000e+00  1.70007198e+00  6.49406014e-03  4.44710254e-03  1.75499471e-01  5.01554251e-05 
 3.03178422e-03  3.03178422e-03  1.27386644e+01  1.33642127e+01  1.27174722e+01  1.72854865e+01  1.22703211e+01  1.30928138e+01  1.28254966e+00  7.02063598e-01  1.20002701e+01  1.20000000e+01  0.00000000e+00  1.70763343e+00  7.19921603e-03  4.68343572e-03  1.90576035e-01  5.58298496e-05 
 3.13178422e-03  3.13178422e-03  1.28112110e+01  1.34380755e+01  1.27862296e+01  1.76632097e+01  1.23288764e+01  1.31559492e+01  1.28812527e+00  7.04851403e-01  1.20003285e+01  1.20000000e+01  0.00000000e+00  1.71525866e+00  7.98009133e-03  4.82347075e-03  2.04876205e-01  6.21836391e-05 
 3.23178422e-03  3.23178422e-03  1.28755612e+01  1.35034631e+01  1.28467949e+01  1.80235014e+01  1.23845009e+01  1.32159527e+01  1.29336834e+00  7.07472940e-01  1.20003841e+01  1.20000000e+01  0.00000000e+00  1.72245084e+00  8.78649932e-03  4.91063625e-03  2.18525464e-01  6.88167289e-05 
 3.33178422e-03  3.33178422e-03  1.29328653e+01  1.35612365e+01  1.29002106e+01  1.83660060e+01  1.24358713e+01  1.32711305e+01  1.29816082e+00  7.09869181e-01  1.20004354e+01  1.20000000e+01  0.00000000e+00  1.72904529e+00  9.58999221e-03  4.96994965e-03  2.31585497e-01  7.54968801e-05 
 3.43178422e-03  3.43178422e-03  1.29839388e+01  1.36128471e+01  1.29478716e+01  1.86903857e+01  1.24827574e+01  1.33216743e+01  1.30249071e+00  7.12034122e-01  1.20004823e+01  1.20000000e+01  0.00000000e+00  1.73502154e+00  1.03746912e-02  5.01181776e-03  2.44032556e-01  8.20881106e-05 
 3.53178422e-03  3.53178422e-03  1.30296299e+01  1.36587321e+01  1.29902365e+01  1.89963202e+01  1.25253958e+01  1.33675143e+01  1.30638963e+00  7.13983584e-01  1.20005249e+01  1.20000000e+01  0.00000000e+00  1.74041918e+00  1.11321870e-02  5.04234306e-03  2.55854923e-01  8.85142996e-05 
