time,v(N001),v(N002),v(N004),@dled12_1[id]
0.0,0.0,5.0,0.702803197,0.00631942759
1e-06,0.00031415926,5.0,0.702803114,0.00631940719
2e-06,0.000628318489,5.0,0.702803114,0.00631940719
4e-06,0.00125663673,5.0,0.702803114,0.00631940719
8e-06,0.00251327148,5.0,0.702803114,0.00631940719
1.6e-05,0.00502652708,5.0,0.702803114,0.00631940719
3.2e-05,0.0100529272,5.0,0.702803114,0.00631940719
6.4e-05,0.0201048383,5.0,0.702803114,0.00631940719
0.000128,0.0402015494,5.0,0.702803114,0.00631940719
0.000228,0.0715670787,5.0,0.702803114,0.00631940719
0.000328,0.10286198,5.0,0.702803114,0.00631940719
0.000428,0.134055369,5.0,0.702803114,0.00631940719
0.000528,0.165116461,5.0,0.702803114,0.00631940719
0.000628,0.196014604,5.0,0.702803114,0.00631940719
0.000728,0.226719303,5.0,0.702803114,0.00631940719
0.000828,0.257200258,5.0,0.702803114,0.00631940719
0.000928,0.287427388,5.0,0.702803114,0.00631940719
0.001028,0.317370861,5.0,0.702803114,0.00631940719
0.001128,0.347001128,5.0,0.702803114,0.00631940719
0.001228,0.376288946,5.0,0.702803114,0.00631940719
0.001328,0.405205413,5.0,0.702803114,0.00631940719
0.001428,0.433721991,5.0,0.702803114,0.00631940719
0.001528,0.461810537,5.0,0.702803114,0.00631940719
0.001628,0.489443332,5.0,0.702803114,0.00631940719
0.001728,0.516593106,5.0,0.702803114,0.00631940719
0.001828,0.543233065,5.0,0.702803114,0.00631940719
0.001928,0.569336919,5.0,0.702803114,0.00631940719
0.002028,0.594878905,5.0,0.702803114,0.00631940719
0.002128,0.619833818,5.0,0.702803114,0.00631940719
0.002228,0.64417703,5.0,0.702803114,0.00631940719
0.002328,0.667884517,5.0,0.702803114,0.00631940719
0.002428,0.690932882,5.0,0.702803114,0.00631940719
0.002528,0.71329938,5.0,0.702803114,0.00631940719
0.002628,0.734961938,5.0,0.702803114,0.00631940719
0.002728,0.755899177,5.0,0.702803114,0.00631940719
0.002828,0.776090435,5.0,0.702803114,0.00631940719
0.002928,0.795515785,5.0,0.702803114,0.00631940719
0.003028,0.814156057,5.0,0.702803114,0.00631940719
0.003128,0.831992856,5.0,0.702803114,0.00631940719
0.003228,0.849008578,5.0,0.702803114,0.00631940719
0.003328,0.865186431,5.0,0.702803114,0.00631940719
0.003428,0.880510449,5.0,0.702803114,0.00631940719
0.003528,0.89496551,5.0,0.702803114,0.00631940719
0.003628,0.908537348,5.0,0.702803114,0.00631940719
0.003728,0.921212569,5.0,0.702803114,0.00631940719
0.003828,0.932978665,5.0,0.702803114,0.00631940719
0.003928,0.943824024,5.0,0.702803114,0.00631940719
0.004028,0.953737942,5.0,0.702803114,0.00631940719
0.004128,0.962710636,5.0,0.702803114,0.00631940719
0.004228,0.97073325,5.0,0.702803114,0.00631940719
0.004328,0.977797869,5.0,0.702803114,0.00631940719
0.004428,0.983897518,5.0,0.702803114,0.00631940719
0.004528,0.98902618,5.0,0.702803114,0.00631940719
0.004628,0.993178792,5.0,0.702803114,0.00631940719
0.004728,0.996351257,5.0,0.702803114,0.00631940719
0.004828,0.998540443,5.0,0.702803114,0.00631940719
0.004928,0.999744191,5.0,0.702803114,0.00631940719
0.005028,0.999961311,5.0,0.702803114,0.00631940719
0.005128,0.999191591,5.0,0.702803114,0.00631940719
0.005228,0.997435789,5.0,0.702803114,0.00631940719
0.005328,0.994695638,5.0,0.702803114,0.00631940719
0.005428,0.990973843,5.0,0.702803114,0.00631940719
0.005528,0.986274077,5.0,0.702803114,0.00631940719
0.005628,0.980600977,5.0,0.702803114,0.00631940719
0.005728,0.973960142,5.0,0.702803114,0.00631940719
0.005828,0.966358126,5.0,0.702803114,0.00631940719
0.005928,0.957802431,5.0,0.702803114,0.00631940719
0.006028,0.948301501,5.0,0.702803114,0.00631940719
0.006128,0.937864712,5.0,0.702803114,0.00631940719
0.006228,0.926502363,5.0,0.702803114,0.00631940719
0.006328,0.914225669,5.0,0.702803114,0.00631940719
0.006428,0.901046744,5.0,0.702803114,0.00631940719
0.006528,0.886978595,5.0,0.702803114,0.00631940719
0.006628,0.872035105,5.0,0.702803114,0.00631940719
0.006728,0.856231022,5.0,0.702803114,0.00631940719
0.006828,0.839581942,5.0,0.702803114,0.00631940719
0.006928,0.822104296,5.0,0.702803114,0.00631940719
0.007028,0.803815332,5.0,0.702803114,0.00631940719
0.007128,0.7847331,5.0,0.702803114,0.00631940719
0.007228,0.764876431,5.0,0.702803114,0.00631940719
0.007328,0.744264921,5.0,0.702803114,0.00631940719
0.007428,0.722918911,5.0,0.702803114,0.00631940719
0.007528,0.700859468,5.0,0.702803114,0.00631940719
0.007628,0.678108361,5.0,0.702803114,0.00631940719
0.007728,0.654688044,5.0,0.702803114,0.00631940719
0.007828,0.630621628,5.0,0.702803114,0.00631940719
0.007928,0.605932864,5.0,0.702803114,0.00631940719
0.008028,0.580646118,5.0,0.702803114,0.00631940719
0.008128,0.554786345,5.0,0.702803114,0.00631940719
0.008228,0.528379064,5.0,0.702803114,0.00631940719
0.008328,0.501450337,5.0,0.702803114,0.00631940719
0.008428,0.474026739,5.0,0.702803114,0.00631940719
0.008528,0.446135334,5.0,0.702803114,0.00631940719
0.008628,0.417803647,5.0,0.702803114,0.00631940719
0.008728,0.389059638,5.0,0.702803114,0.00631940719
0.008828,0.359931675,5.0,0.702803114,0.00631940719
0.008928,0.330448502,5.0,0.702803114,0.00631940719
0.009028,0.300639217,5.0,0.702803114,0.00631940719
0.009128,0.270533237,5.0,0.702803114,0.00631940719
0.009228,0.240160273,5.0,0.702803114,0.00631940719
0.009328,0.2095503,5.0,0.702803114,0.00631940719
0.009428,0.178733527,5.0,0.702803114,0.00631940719
0.009528,0.147740364,5.0,0.702803114,0.00631940719
0.009628,0.1166014,5.0,0.702803114,0.00631940719
0.009728,0.0853473649,5.0,0.702803114,0.00631940719
0.009828,0.0540091018,5.0,0.702803114,0.00631940719
0.009928,0.0226175383,5.0,0.702803114,0.00631940719
0.010028,-0.00879634599,5.0,0.702803114,0.00631940719
0.010128,-0.0402015494,5.0,0.702803114,0.00631940719
0.010228,-0.0715670787,5.0,0.702803114,0.00631940719
0.010328,-0.10286198,5.0,0.702803114,0.00631940719
0.010428,-0.134055369,5.0,0.702803114,0.00631940719
0.010528,-0.165116461,5.0,0.702803114,0.00631940719
0.010628,-0.196014604,5.0,0.702803114,0.00631940719
0.010728,-0.226719303,5.0,0.702803114,0.00631940719
0.010828,-0.257200258,5.0,0.702803114,0.00631940719
0.010928,-0.287427388,5.0,0.702803114,0.00631940719
0.011028,-0.317370861,5.0,0.702803114,0.00631940719
0.011128,-0.347001128,5.0,0.702803114,0.00631940719
0.011228,-0.376288946,5.0,0.702803114,0.00631940719
0.011328,-0.405205413,5.0,0.702803114,0.00631940719
0.011428,-0.433721991,5.0,0.702803114,0.00631940719
0.011528,-0.461810537,5.0,0.702803114,0.00631940719
