 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)         v(N012)         v(N013)         v(N014)         v(N015)         v(N016)         v(N017)         @ddiode7_1[id]  @ddiode7_2[id]  @ddiode7_3[id]  @ddiode7_4[id]  @ddiode7_5[id]  @ddiode7_6[id]  @ddiode7_7[id]  @dled12_1[id]   @dled12_2[id]   @dled12_3[id]  
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.16483470e+00  8.46526125e+00  1.31294873e-03  9.58628177e+00  9.79314089e+00  9.99983607e+00  9.99999990e+00  9.99991799e+00  8.37918518e+00  1.16482868e+00  8.31458903e-01  1.41123231e-01  1.31297641e-03  8.38967903e+00  9.99999984e+00 -6.00729797e-09 -3.97854864e-07  3.97854866e-07  3.97854864e-07 -1.00098361e-11  1.00093712e-11  1.00098361e-11  8.23806194e-03  7.55882254e-05  6.01627340e-09 
 1.00000000e-05  1.00000000e-05  0.00000000e+00  1.00000133e+01  1.16484135e+00  8.46527449e+00  1.31307645e-03  9.58628618e+00  9.79314976e+00  9.99984940e+00  1.00000132e+01  9.99993132e+00  8.37919829e+00  1.16483534e+00  8.31458948e-01  1.41123231e-01  1.31310413e-03  8.38969214e+00  1.00000132e+01 -6.00821188e-09 -3.97893570e-07  3.97893572e-07  3.97893569e-07 -1.00098494e-11  1.00134818e-11  1.00098494e-11  8.23807506e-03  7.55883569e-05  6.01704771e-09 
 2.00000000e-05  2.00000000e-05  0.00000000e+00  1.00000267e+01  1.16484498e+00  8.46528773e+00  1.31319973e-03  9.58629043e+00  9.79315855e+00  9.99986274e+00  1.00000266e+01  9.99994465e+00  8.37921141e+00  1.16483896e+00  8.31458992e-01  1.41123230e-01  1.31322741e-03  8.38970525e+00  1.00000265e+01 -6.00863368e-09 -3.97930927e-07  3.97930929e-07  3.97930927e-07 -1.00098627e-11  1.00083492e-11  1.00098627e-11  8.23808818e-03  7.55884880e-05  6.01746887e-09 
 4.00000000e-05  4.00000000e-05  0.00000000e+00  1.00000533e+01  1.16484892e+00  8.46531422e+00  1.31344615e-03  9.58629893e+00  9.79317613e+00  9.99988940e+00  1.00000532e+01  9.99997132e+00  8.37923765e+00  1.16484290e+00  8.31459081e-01  1.41123229e-01  1.31347383e-03  8.38973148e+00  1.00000532e+01 -6.00909204e-09 -3.98005605e-07  3.98005605e-07  3.98005605e-07 -1.00098894e-11  1.00128475e-11  1.00098894e-11  8.23811443e-03  7.55887498e-05  6.01792738e-09 
 8.00000000e-05  8.00000000e-05  0.00000000e+00  1.00001067e+01  1.16484940e+00  8.46536719e+00  1.31393908e-03  9.58631592e+00  9.79321130e+00  9.99994273e+00  1.00001066e+01  1.00000246e+01  8.37929013e+00  1.16484338e+00  8.31459259e-01  1.41123227e-01  1.31396676e-03  8.38978393e+00  1.00001065e+01 -6.00914767e-09 -3.98154999e-07  3.98154999e-07  3.98154998e-07 -1.00099427e-11  1.00093683e-11  1.00099427e-11  8.23816691e-03  7.55892726e-05  6.01798350e-09 
 1.60000000e-04  1.60000000e-04  0.00000000e+00  1.00002133e+01  1.16484925e+00  8.46547313e+00  1.31492536e-03  9.58634991e+00  9.79328162e+00  1.00000494e+01  1.00002132e+01  1.00001313e+01  8.37939509e+00  1.16484324e+00  8.31459614e-01  1.41123223e-01  1.31495304e-03  8.38988882e+00  1.00002132e+01 -6.00913078e-09 -3.98453955e-07  3.98453955e-07  3.98453953e-07 -1.00100494e-11  1.00127101e-11  1.00100494e-11  8.23827187e-03  7.55903180e-05  6.01796641e-09 
 3.20000000e-04  3.20000000e-04  0.00000000e+00  1.00004267e+01  1.16484935e+00  8.46568501e+00  1.31689955e-03  9.58641789e+00  9.79342228e+00  1.00002627e+01  1.00004266e+01  1.00003446e+01  8.37960501e+00  1.16484333e+00  8.31460326e-01  1.41123214e-01  1.31692722e-03  8.39009861e+00  1.00004265e+01 -6.00914129e-09 -3.99052530e-07  3.99052521e-07  3.99052523e-07 -1.00102627e-11  1.00143537e-11  1.00102627e-11  8.23848180e-03  7.55924088e-05  6.01797692e-09 
 6.40000000e-04  6.40000000e-04  0.00000000e+00  1.00008533e+01  1.16484928e+00  8.46610877e+00  1.32085446e-03  9.58655386e+00  9.79370360e+00  1.00006894e+01  1.00008532e+01  1.00007713e+01  8.38002484e+00  1.16484327e+00  8.31461748e-01  1.41123197e-01  1.32088214e-03  8.39051819e+00  1.00008532e+01 -6.00913345e-09 -4.00252338e-07  4.00252314e-07  4.00252312e-07 -1.00106894e-11  1.00091256e-11  1.00106894e-11  8.23890165e-03  7.55965905e-05  6.01796971e-09 
 1.28000000e-03  1.28000000e-03  0.00000000e+00  1.00017067e+01  1.16484936e+00  8.46695630e+00  1.32879052e-03  9.58682579e+00  9.79426623e+00  1.00015427e+01  1.00017066e+01  1.00016247e+01  8.38086450e+00  1.16484334e+00  8.31464592e-01  1.41123163e-01  1.32881820e-03  8.39135736e+00  1.00017065e+01 -6.00914155e-09 -4.02662632e-07  4.02662525e-07  4.02662526e-07 -1.00115427e-11  1.00100643e-11  1.00115427e-11  8.23974138e-03  7.56049540e-05  6.01797866e-09 
 2.28000000e-03  2.28000000e-03  0.00000000e+00  1.00030400e+01  1.16484932e+00  8.46828056e+00  1.34127806e-03  9.58725072e+00  9.79514536e+00  1.00028760e+01  1.00030399e+01  1.00029579e+01  8.38217648e+00  1.16484331e+00  8.31469035e-01  1.41123110e-01  1.34130575e-03  8.39266855e+00  1.00030398e+01 -6.00913582e-09 -4.06457277e-07  4.06457017e-07  4.06457017e-07 -1.00128760e-11  1.00149809e-11  1.00128760e-11  8.24105347e-03  7.56180222e-05  6.01797445e-09 
