 time            time            v(N001)         v(N002)         v(N004)        
 5.22800000e-03  5.22800000e-03  4.98717895e+00  4.56862562e-51  4.56862562e-51 
 5.32800000e-03  5.32800000e-03  4.97347819e+00  1.27384251e-51  1.27384251e-51 
 5.42800000e-03  5.42800000e-03  4.95486922e+00  3.55177872e-52  3.55177872e-52 
 5.52800000e-03  5.52800000e-03  4.93137038e+00  9.90321177e-53  9.90321177e-53 
 5.62800000e-03  5.62800000e-03  4.90300488e+00  2.76125319e-53  2.76125319e-53 
 5.72800000e-03  5.72800000e-03  4.86980071e+00  7.69903681e-54  7.69903681e-54 
 5.82800000e-03  5.82800000e-03  4.83179063e+00  2.14667630e-54  2.14667630e-54 
 5.92800000e-03  5.92800000e-03  4.78901215e+00  5.98544888e-55  5.98544888e-55 
 6.02800000e-03  6.02800000e-03  4.74150750e+00  1.66888684e-55  1.66888684e-55 
 6.12800000e-03  6.12800000e-03  4.68932356e+00  4.65325718e-56  4.65325718e-56 
 6.22800000e-03  6.22800000e-03  4.63251182e+00  1.29743981e-56  1.29743981e-56 
 6.32800000e-03  6.32800000e-03  4.57112834e+00  3.61757368e-57  3.61757368e-57 
 6.42800000e-03  6.42800000e-03  4.50523372e+00  1.00866639e-57  1.00866639e-57 
 6.52800000e-03  6.52800000e-03  4.43489297e+00  2.81240406e-58  2.81240406e-58 
 6.62800000e-03  6.62800000e-03  4.36017552e+00  7.84165770e-59  7.84165770e-59 
 6.72800000e-03  6.72800000e-03  4.28115511e+00  2.18644242e-59  2.18644242e-59 
 6.82800000e-03  6.82800000e-03  4.19790971e+00  6.09632639e-60  6.09632639e-60 
 6.92800000e-03  6.92800000e-03  4.11052148e+00  1.69980215e-60  1.69980215e-60 
 7.02800000e-03  7.02800000e-03  4.01907666e+00  4.73945649e-61  4.73945649e-61 
 7.12800000e-03  7.12800000e-03  3.92366550e+00  1.32147425e-61  1.32147425e-61 
 7.22800000e-03  7.22800000e-03  3.82438215e+00  3.68458747e-62  3.68458747e-62 
 7.32800000e-03  7.32800000e-03  3.72132460e+00  1.02735144e-62  1.02735144e-62 
 7.42800000e-03  7.42800000e-03  3.61459456e+00  2.86450246e-63  2.86450246e-63 
 7.52800000e-03  7.52800000e-03  3.50429734e+00  7.98692057e-64  7.98692057e-64 
 7.62800000e-03  7.62800000e-03  3.39054181e+00  2.22694520e-64  2.22694520e-64 
 7.72800000e-03  7.72800000e-03  3.27344022e+00  6.20925785e-65  6.20925785e-65 
 7.82800000e-03  7.82800000e-03  3.15310814e+00  1.73129016e-65  1.73129016e-65 
 7.92800000e-03  7.92800000e-03  3.02966432e+00  4.82725260e-66  4.82725260e-66 
 8.02800000e-03  8.02800000e-03  2.90323059e+00  1.34595391e-66  1.34595391e-66 
 8.12800000e-03  8.12800000e-03  2.77393172e+00  3.75284264e-67  3.75284264e-67 
 8.22800000e-03  8.22800000e-03  2.64189532e+00  1.04638263e-67  1.04638263e-67 
 8.32800000e-03  8.32800000e-03  2.50725168e+00  2.91756597e-68  2.91756597e-68 
 8.42800000e-03  8.42800000e-03  2.37013369e+00  8.13487436e-69  8.13487436e-69 
 8.52800000e-03  8.52800000e-03  2.23067667e+00  2.26819827e-69  2.26819827e-69 
 8.62800000e-03  8.62800000e-03  2.08901823e+00  6.32428131e-70  6.32428131e-70 
 8.72800000e-03  8.72800000e-03  1.94529819e+00  1.76336146e-70  1.76336146e-70 
 8.82800000e-03  8.82800000e-03  1.79965837e+00  4.91667509e-71  4.91667509e-71 
 8.92800000e-03  8.92800000e-03  1.65224251e+00  1.37088705e-71  1.37088705e-71 
 9.02800000e-03  9.02800000e-03  1.50319608e+00  3.82236222e-72  3.82236222e-72 
 9.12800000e-03  9.12800000e-03  1.35266618e+00  1.06576635e-72  1.06576635e-72 
 9.22800000e-03  9.22800000e-03  1.20080137e+00  2.97161245e-73  2.97161245e-73 
 9.32800000e-03  9.32800000e-03  1.04775150e+00  8.28556892e-74  8.28556892e-74 
 9.42800000e-03  9.42800000e-03  8.93667633e-01  2.31021553e-74  2.31021553e-74 
 9.52800000e-03  9.52800000e-03  7.38701822e-01  6.44143552e-75  6.44143552e-75 
 9.62800000e-03  9.62800000e-03  5.83007002e-01  1.79602687e-75  1.79602687e-75 
 9.72800000e-03  9.72800000e-03  4.26736825e-01  5.00775409e-76  5.00775409e-76 
 9.82800000e-03  9.82800000e-03  2.70045509e-01  1.39628206e-76  1.39628206e-76 
 9.92800000e-03  9.92800000e-03  1.13087692e-01  3.89316960e-77  3.89316960e-77 
 1.00280000e-02  1.00280000e-02 -4.39817299e-02  1.08550915e-77  1.08550915e-77 
 1.01280000e-02  1.01280000e-02 -2.01007747e-01  3.02666012e-78  3.02666012e-78 
 1.02280000e-02  1.02280000e-02 -3.57835393e-01  8.43905503e-79  8.43905503e-79 
 1.03280000e-02  1.03280000e-02 -5.14309899e-01  2.35301114e-79  2.35301114e-79 
 1.04280000e-02  1.04280000e-02 -6.70276844e-01  6.56075996e-80  6.56075996e-80 
 1.05280000e-02  1.05280000e-02 -8.25582306e-01  1.82929739e-80  1.82929739e-80 
 1.06280000e-02  1.06280000e-02 -9.80073018e-01  5.10052028e-81  5.10052028e-81 
 1.07280000e-02  1.07280000e-02 -1.13359652e+00  1.42214750e-81  1.42214750e-81 
 1.08280000e-02  1.08280000e-02 -1.28600129e+00  3.96528866e-82  3.96528866e-82 
 1.09280000e-02  1.09280000e-02 -1.43713694e+00  1.10561768e-82  1.10561768e-82 
 1.10280000e-02  1.10280000e-02 -1.58685431e+00  3.08272751e-83  3.08272751e-83 
 1.11280000e-02  1.11280000e-02 -1.73500564e+00  8.59538439e-84  8.59538439e-84 
 1.12280000e-02  1.12280000e-02 -1.88144473e+00  2.39659952e-84  2.39659952e-84 
 1.13280000e-02  1.13280000e-02 -2.02602706e+00  6.68229483e-85  6.68229483e-85 
 1.14280000e-02  1.14280000e-02 -2.16860995e+00  1.86318422e-85  1.86318422e-85 
 1.15280000e-02  1.15280000e-02 -2.30905269e+00  5.19500492e-86  5.19500492e-86 
 1.16280000e-02  1.16280000e-02 -2.44721666e+00  1.44849209e-86  1.44849209e-86 
 1.17280000e-02  1.17280000e-02 -2.58296553e+00  4.03874369e-87  4.03874369e-87 
 1.18280000e-02  1.18280000e-02 -2.71616533e+00  1.12609870e-87  1.12609870e-87 
 1.19280000e-02  1.19280000e-02 -2.84668459e+00  3.13983353e-88  3.13983353e-88 
 1.20280000e-02  1.20280000e-02 -2.97439453e+00  8.75460967e-89  8.75460967e-89 
 1.21280000e-02  1.21280000e-02 -3.09916909e+00  2.44099535e-89  2.44099535e-89 
 1.22280000e-02  1.22280000e-02 -3.22088515e+00  6.80608107e-90  6.80608107e-90 
 1.23280000e-02  1.23280000e-02 -3.33942258e+00  1.89769880e-90  1.89769880e-90 
 1.24280000e-02  1.24280000e-02 -3.45466441e+00  5.29123984e-91  5.29123984e-91 
 1.25280000e-02  1.25280000e-02 -3.56649690e+00  1.47532470e-91  1.47532470e-91 
 1.26280000e-02  1.26280000e-02 -3.67480969e+00  4.11355944e-92  4.11355944e-92 
 1.27280000e-02  1.27280000e-02 -3.77949588e+00  1.14695913e-92  1.14695913e-92 
 1.28280000e-02  1.28280000e-02 -3.88045217e+00  3.19799741e-93  3.19799741e-93 
 1.29280000e-02  1.29280000e-02 -3.97757892e+00  8.91678453e-94  8.91678453e-94 
 1.30280000e-02  1.30280000e-02 -4.07078029e+00  2.48621360e-94  2.48621360e-94 
 1.31280000e-02  1.31280000e-02 -4.15996428e+00  6.93216039e-95  6.93216039e-95 
 1.32280000e-02  1.32280000e-02 -4.24504289e+00  1.93285274e-95  1.93285274e-95 
 1.33280000e-02  1.33280000e-02 -4.32593215e+00  5.38925747e-96  5.38925747e-96 
 1.34280000e-02  1.34280000e-02 -4.40255224e+00  1.50265436e-96  1.50265436e-96 
 1.35280000e-02  1.35280000e-02 -4.47482755e+00  4.18976112e-97  4.18976112e-97 
 1.36280000e-02  1.36280000e-02 -4.54268674e+00  1.16820599e-97  1.16820599e-97 
 1.37280000e-02  1.37280000e-02 -4.60606285e+00  3.25723874e-98  3.25723874e-98 
 1.38280000e-02  1.38280000e-02 -4.66489333e+00  9.08196360e-99  9.08196360e-99 
 1.39280000e-02  1.39280000e-02 -4.71912012e+00  2.53226949e-99  2.53226949e-99 
 1.40280000e-02  1.40280000e-02 -4.76868971e+00  7.06057526e-100  7.06057526e-100 
 1.41280000e-02  1.41280000e-02 -4.81355318e+00  1.96865789e-100  1.96865789e-100 
 1.42280000e-02  1.42280000e-02 -4.85366625e+00  5.48909082e-101  5.48909082e-101 
