time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),@dled12_1[id]
0.0,4.43177771,0.50117923,0.0416213957,11.9932044,12.0,10.7260965,8.69210583,5.38425884,9.18721843,2.92065864,-8.4240215e-05
5e-07,4.4439271,0.501269025,0.0416231948,11.9931729,12.0,10.7260958,8.69311402,5.38627514,9.18732749,2.92053953,0.000162338467
1e-06,4.45602784,0.501325381,0.0416249939,11.9931729,12.0,10.7260957,8.69412187,5.38829083,9.1874483,2.92043219,0.000162337715
2e-06,4.48013254,0.50141614,0.0416285922,11.9931729,12.0,10.7260957,8.69613696,5.39232097,9.18768991,2.9202175,0.000162336121
4e-06,4.52776671,0.501510186,0.0416357886,11.9931729,12.0,10.7260957,8.70016345,5.40037388,9.18817309,2.91978817,0.000162333194
8e-06,4.62078784,0.501567539,0.0416501813,11.9931729,12.0,10.7260957,8.70820171,5.41645028,9.18913919,2.91892967,0.000162331207
1.6e-05,4.79829157,0.501595963,0.0416789665,11.9931729,12.0,10.7260957,8.72421957,5.44848575,9.19107031,2.91721321,0.000162330669
3.13462105e-05,5.10971226,0.501651,0.0417341837,11.9931729,12.0,10.7260957,8.75472859,5.50950331,9.19477102,2.91392284,0.000162329863
6.20386315e-05,5.63589148,0.501760903,0.0418446156,11.9931729,12.0,10.7260957,8.8148982,5.62984158,9.20215762,2.90735092,0.000162328254
7.43056652e-05,5.81400758,0.501804872,0.0418887518,11.9931729,12.0,10.7260957,8.83863261,5.67731032,9.20510641,2.90472964,0.000162327611
8.1309239e-05,5.90881452,0.501829947,0.0419139501,11.9931729,12.0,10.7260957,8.85210392,5.70425257,9.2067858,2.90323118,0.000162327243
8.57256247e-05,5.96636806,0.501845769,0.0419298398,11.9931729,12.0,10.7260957,8.86056927,5.72118304,9.20784482,2.90228712,0.000162327012
9.19630557e-05,6.04472818,0.501868112,0.0419522814,11.9931729,12.0,10.7260957,8.8724864,5.7450171,9.20934046,2.90095484,0.000162326684
9.98840745e-05,6.13946754,0.501896485,0.0419807802,11.9931729,12.0,10.7260957,8.88755498,5.77515403,9.21123865,2.89926369,0.000162326269
0.000115726112,6.31422313,0.50195323,0.0420377774,11.9931729,12.0,10.7260957,8.91747483,5.8349933,9.21503134,2.89588395,0.000162325438
0.000147410188,6.61281952,0.50206672,0.04215177,11.9931729,12.0,10.7260957,8.97645573,5.95295423,9.22260163,2.88913448,0.000162323777
0.000197410188,6.97500157,0.502245811,0.0423316551,11.9931729,12.0,10.7260957,9.06724903,6.13453947,9.23450622,2.87850921,0.000162321154
0.000247410188,7.23803187,0.502424897,0.0425115356,11.9931729,12.0,10.7260957,9.15531574,6.31067153,9.24635667,2.86791271,0.000162318533
0.000297410188,7.43153325,0.50260398,0.0426914121,11.9931729,12.0,10.7260957,9.24073788,6.4815145,9.25815565,2.85734738,0.00016231591
0.000347410188,7.57476176,0.502783059,0.0428712849,11.9931729,12.0,10.7260957,9.3235949,6.64722729,9.26990336,2.84681322,0.000162313289
0.000397410188,7.68126906,0.502962134,0.0430511542,11.9931729,12.0,10.7260957,9.40396383,6.80796394,9.28160005,2.83631021,0.000162310667
0.000447410188,7.76074397,0.503141206,0.0432310203,11.9931729,12.0,10.7260957,9.48191939,6.96387389,9.29324594,2.82583833,0.000162308046
0.000497410188,7.82020139,0.503320275,0.0434108831,11.9931729,12.0,10.7260957,9.55753404,7.11510206,9.30484126,2.81539757,0.000162305423
0.000547410188,7.86476982,0.503499341,0.0435907429,11.9931729,12.0,10.7260957,9.63087808,7.26178906,9.31638623,2.80498791,0.000162302802
0.000597410188,7.89822656,0.503678404,0.0437705997,11.9931729,12.0,10.7260957,9.7020197,7.40407124,9.32788108,2.79460933,0.00016230018
0.000647410188,7.9233696,0.503857464,0.0439504535,11.9931729,12.0,10.7260957,9.77102502,7.54208088,9.33932603,2.78426182,0.000162297559
0.000697410188,7.94228047,0.504036521,0.0441303045,11.9931729,12.0,10.7260957,9.83795821,7.67594627,9.35072131,2.77394535,0.000162294937
0.000747410188,7.95651279,0.504215575,0.0443101525,11.9931729,12.0,10.7260957,9.90288147,7.80579186,9.36206714,2.76365991,0.000162292316
0.000797410188,7.96722908,0.504394626,0.0444899977,11.9931729,12.0,10.7260957,9.96585518,7.93173836,9.37336374,2.75340547,0.000162289694
