 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         @dled12_1[id]   @dled12_2[id]  
 1.38295289e-03  1.38295289e-03  5.00000000e+00  4.27387374e+00  4.27516797e+00  9.32367811e-01  6.99386185e-02  5.48187503e-01  2.76413310e-01  1.55701301e-02  1.48102025e-02 
 1.38359021e-03  1.38359021e-03  5.00000000e+00  4.27384925e+00  4.27533758e+00  9.58473742e-01  6.59306377e-02  5.44206981e-01  3.02719256e-01  1.55848837e-02  1.47134012e-02 
 1.38429085e-03  1.38429085e-03  5.00000000e+00  4.27386837e+00  4.27517200e+00  9.32656591e-01  6.90605424e-02  5.47367056e-01  2.77122024e-01  1.55733666e-02  1.48078947e-02 
 1.38521959e-03  1.38521959e-03  5.00000000e+00  4.27385063e+00  4.27534029e+00  9.58464756e-01  6.61590511e-02  5.44505579e-01  3.03221753e-01  1.55840466e-02  1.47118629e-02 
 1.38659626e-03  1.38659626e-03  5.00000000e+00  4.27386797e+00  4.27517664e+00  9.32652794e-01  6.89953415e-02  5.47401159e-01  2.77841948e-01  1.55736058e-02  1.48052384e-02 
 1.38919903e-03  1.38919903e-03  5.00000000e+00  4.27385080e+00  4.27534795e+00  9.58402747e-01  6.61862435e-02  5.44704179e-01  3.04408809e-01  1.55839462e-02  1.47075060e-02 
 1.39406834e-03  1.39406834e-03  5.00000000e+00  4.27386793e+00  4.27519119e+00  9.32563466e-01  6.89881595e-02  5.47715815e-01  2.80097396e-01  1.55736322e-02  1.47969143e-02 
 1.40380697e-03  1.40380697e-03  5.00000000e+00  4.27385085e+00  4.27537632e+00  9.58216619e-01  6.61948063e-02  5.45341896e-01  3.08804574e-01  1.55839147e-02  1.46913846e-02 
 1.42328422e-03  1.42328422e-03  5.00000000e+00  4.27386797e+00  4.27524794e+00  9.32196822e-01  6.89948859e-02  5.48980697e-01  2.88886056e-01  1.55736074e-02  1.47644845e-02 
 1.46223872e-03  1.46223872e-03  5.00000000e+00  4.27385097e+00  4.27548975e+00  9.57482639e-01  6.62130694e-02  5.47875868e-01  3.26347347e-01  1.55838474e-02  1.46270965e-02 
 1.54014772e-03  1.54014772e-03  5.00000000e+00  4.27386818e+00  4.27547456e+00  9.30732277e-01  6.90293251e-02  5.54044143e-01  3.23839843e-01  1.55734807e-02  1.46356867e-02 
 1.69596573e-03  1.69596573e-03  5.00000000e+00  4.27385140e+00  4.27594208e+00  9.54570468e-01  6.62837664e-02  5.57994937e-01  3.95734036e-01  1.55835871e-02  1.43735174e-02 
 2.00760174e-03  2.00760174e-03  5.00000000e+00  4.27386913e+00  4.27637684e+00  9.24714038e-01  6.91850572e-02  5.74257226e-01  4.60215111e-01  1.55729040e-02  1.41339324e-02 
 2.63087377e-03  2.63087377e-03  5.00000000e+00  4.27385326e+00  4.27772594e+00  9.43159887e-01  6.65879822e-02  5.98257851e-01  6.60613167e-01  1.55824669e-02  1.34156105e-02 
 3.63087377e-03  3.63087377e-03  5.00000000e+00  4.27387427e+00  4.27941133e+00  8.99787298e-01  7.00243222e-02  6.43976915e-01  8.85700301e-01  1.55698146e-02  1.25693051e-02 
 4.63087377e-03  4.63087377e-03  5.00000000e+00  4.27386127e+00  4.28137292e+00  9.11153571e-01  6.78982268e-02  6.83634161e-01  1.13552919e+00  1.55776409e-02  1.16513013e-02 
 4.75587377e-03  4.75587377e-03  5.00000000e+00  4.27387562e+00  4.28134227e+00  8.82843485e-01  7.02452376e-02  6.91143909e-01  1.13176066e+00  1.55690014e-02  1.16651172e-02 
 5.00587377e-03  5.00587377e-03  5.00000000e+00  4.27388321e+00  4.28158447e+00  8.67011920e-01  7.14861845e-02  7.02674918e-01  1.16135968e+00  1.55644335e-02  1.15563950e-02 
 5.24003017e-03  5.24003017e-03  5.00000000e+00  4.27560482e+00  4.27386432e+00 -2.39546903e-01  3.43824319e-01  9.43576499e-01  6.83973288e-02  1.45621656e-02  1.55758037e-02 
 5.40666565e-03  5.40666565e-03  5.00000000e+00  4.27593064e+00  4.27386386e+00 -2.31184954e-01  3.93393904e-01  9.41840234e-01  6.83221603e-02  1.43798758e-02  1.55760804e-02 
 5.56181699e-03  5.56181699e-03  5.00000000e+00  4.27623057e+00  4.27386500e+00 -2.23154217e-01  4.38426734e-01  9.39677591e-01  6.85095458e-02  1.42140888e-02  1.55753910e-02 
