time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006)
0.09656,6.01576344e-10,11.9998951,1.25849669,6.41283027e-10,5.92806026e-10,12.0
0.09856,5.79077897e-10,11.9998951,1.25849669,6.17251139e-10,5.59609026e-10,12.0
0.10056,6.62023325e-10,11.9998951,1.25849669,6.98499036e-10,6.3166028e-10,12.0
0.10256,6.37855324e-10,11.9998951,1.25849669,6.72470968e-10,5.96424909e-10,12.0
0.10456,7.1678774e-10,11.9998951,1.25849669,7.49383222e-10,6.64160504e-10,12.0
0.10656,6.90400181e-10,11.9998951,1.25849669,7.20817406e-10,6.26470875e-10,12.0
0.10856,7.64892816e-10,11.9998951,1.25849669,7.9297835e-10,6.89602375e-10,12.0
0.11056,7.35797867e-10,11.9998951,1.25849669,7.6140183e-10,6.49114318e-10,12.0
0.11256,8.05155498e-10,11.9998951,1.25849669,8.28132007e-10,7.07095937e-10,12.0
0.11456,7.72845121e-10,11.9998951,1.25849669,7.93053845e-10,6.63455735e-10,12.0
0.11656,8.36860581e-10,11.9998951,1.25849669,8.54166737e-10,7.16236404e-10,12.0
0.11856,8.00934874e-10,11.9998951,1.25849669,8.15210122e-10,6.69200473e-10,12.0
0.12056,8.59140536e-10,11.9998951,1.25849669,8.70263417e-10,7.16470439e-10,12.0
0.12256,8.19149859e-10,11.9998951,1.25849669,8.27007129e-10,6.65750566e-10,12.0
0.12456,8.71099193e-10,11.9998951,1.25849669,8.75585382e-10,7.07228498e-10,12.0
0.12656,8.26649416e-10,11.9998951,1.25849669,8.27668156e-10,6.52598198e-10,12.0
0.12856,8.72066197e-10,11.9998951,1.25849669,8.69530226e-10,6.88176405e-10,12.0
0.13056,8.2295637e-10,11.9998951,1.25849669,8.16787749e-10,6.29601038e-10,12.0
0.13256,8.61629879e-10,11.9998951,1.25849669,8.5176155e-10,6.5923289e-10,12.0
0.13456,8.07406586e-10,11.9998951,1.25849669,7.93781929e-10,5.96423577e-10,12.0
0.13656,8.39281755e-10,11.9998951,1.25849669,8.21855028e-10,6.20216323e-10,12.0
0.13856,7.79952325e-10,11.9998951,1.25849669,7.58690222e-10,5.53338264e-10,12.0
0.14056,8.0477025e-10,11.9998951,1.25849669,7.7965101e-10,5.71189318e-10,12.0
0.14256,7.40201234e-10,11.9998951,1.25849669,7.11215753e-10,5.0026383e-10,12.0
0.14456,7.57886864e-10,11.9998951,1.25849669,7.25038696e-10,5.12249576e-10,12.0
0.14656,6.87908397e-10,11.9998951,1.25849669,6.51214194e-10,4.37254455e-10,12.0
0.14856,6.98693103e-10,11.9998951,1.25849669,6.58183064e-10,4.43747039e-10,12.0
0.15056,6.23458618e-10,11.9998951,1.25849669,5.79176485e-10,3.64969166e-10,12.0
0.15256,6.27319752e-10,11.9998951,1.25849669,5.79321924e-10,3.66073838e-10,12.0
0.15456,5.47075052e-10,11.9998951,1.25849669,4.95432806e-10,2.83879587e-10,12.0
0.15656,5.44268186e-10,11.9998951,1.25849669,4.89067231e-10,2.79964718e-10,12.0
0.15856,4.59159821e-10,11.9998951,1.25849669,4.00499411e-10,1.94605443e-10,12.0
0.16056,4.50011139e-10,11.9998951,1.25849669,3.88004295e-10,1.86093585e-10,12.0
0.16256,3.60279806e-10,11.9998951,1.25849669,2.95053093e-10,9.78985781e-11,12.0
0.16456,3.45295348e-10,11.9998951,1.25849669,2.76990209e-10,8.53739301e-11,12.0
0.16656,2.51453747e-10,11.9998951,1.25849669,1.80224946e-10,-5.07882625e-12,12.0
0.16856,2.30946817e-10,11.9998951,1.25849669,1.56963331e-10,-2.12474482e-11,12.0
0.17056,1.33407729e-10,11.9998951,1.25849669,5.68514125e-11,-1.1349699e-10,12.0
0.17256,1.0805512e-10,11.9998951,1.25849669,2.91204838e-11,-1.32596378e-10,12.0
0.17456,7.46047668e-12,11.9998951,1.25849669,-7.3644868e-11,-2.25979679e-10,12.0
0.17656,-2.19795293e-11,11.9998951,1.25849669,-1.05035758e-10,-2.47244891e-10,12.0
0.17856,-1.24936284e-10,11.9998951,1.25849669,-2.09711137e-10,-3.4107428e-10,12.0
0.18056,-1.57969415e-10,11.9998951,1.25849669,-2.44219533e-10,-3.64026365e-10,12.0
0.18256,-2.6253999e-10,11.9998951,1.25849669,-3.50011131e-10,-4.5758064e-10,12.0
0.18456,-2.98174374e-10,11.9998951,1.25849669,-3.86602084e-10,-4.81271245e-10,12.0
0.18656,-4.03592493e-10,11.9998951,1.25849669,-4.92702545e-10,-5.73842085e-10,12.0
0.18856,-4.41062076e-10,11.9998951,1.25849669,-5.30571143e-10,-5.97574656e-10,12.0
0.19056,-5.46412693e-10,11.9998951,1.25849669,-6.36029451e-10,-6.88330504e-10,12.0
0.19256,-5.84603255e-10,11.9998951,1.25849669,-6.74028833e-10,-7.11090742e-10,12.0
0.19456,-6.89019952e-10,11.9998951,1.25849669,-7.77948816e-10,-7.99279087e-10,12.0
0.19656,-7.27214289e-10,11.9998951,1.25849669,-8.15334911e-10,-8.20474577e-10,12.0
0.19856,-8.29681879e-10,11.9998951,1.25849669,-9.16677179e-10,-9.05217012e-10,12.0
0.20056,-8.66721583e-10,11.9998951,1.25849669,-9.52272039e-10,-9.23841892e-10,12.0
0.20256,-9.66166036e-10,11.9998951,1.25849669,-1.04994879e-09,-1.00423359e-09,12.0
0.20456,-1.00098507e-09,11.9998951,1.25849669,-1.08267528e-09,-1.01940434e-09,12.0
0.20656,-1.09644716e-09,11.9998951,1.25849669,-1.17571908e-09,-1.09468079e-09,12.0
0.20856,-1.12800702e-09,11.9998951,1.25849669,-1.20453514e-09,-1.10556631e-09,12.0
0.21056,-1.21842691e-09,11.9998951,1.25849669,-1.2918866e-09,-1.17488663e-09,12.0
0.21256,-1.24577637e-09,11.9998951,1.25849669,-1.31584543e-09,-1.18076526e-09,12.0
0.21456,-1.33025124e-09,11.9998951,1.25849669,-1.39661149e-09,-1.24346666e-09,12.0
0.21656,-1.35223277e-09,11.9998951,1.25849669,-1.41457046e-09,-1.24343225e-09,12.0
0.21856,-1.42956025e-09,11.9998951,1.25849669,-1.4875674e-09,-1.29857591e-09,12.0
0.22056,-1.44527079e-09,11.9998951,1.25849669,-1.49864676e-09,-1.2919994e-09,12.0
0.22256,-1.51471258e-09,11.9998951,1.25849669,-1.56316471e-09,-1.33912792e-09,12.0
0.22456,-1.52302371e-09,11.9998951,1.25849669,-1.56626911e-09,-1.32516953e-09,12.0
0.22656,-1.58359881e-09,11.9998951,1.25849669,-1.62136438e-09,-1.3635999e-09,12.0
0.22856,-1.58380864e-09,11.9998951,1.25849669,-1.61583413e-09,-1.34186084e-09,12.0
0.23056,-1.63469327e-09,11.9998951,1.25849669,-1.66073044e-09,-1.37107614e-09,12.0
0.23256,-1.62579483e-09,11.9998951,1.25849669,-1.64560965e-09,-1.34086364e-09,12.0
0.23456,-1.66606617e-09,11.9998951,1.25849669,-1.67944036e-09,-1.36026257e-09,12.0
0.23656,-1.6474726e-09,11.9998951,1.25849669,-1.65420411e-09,-1.32131284e-09,12.0
0.23856,-1.67660796e-09,11.9998951,1.25849669,-1.67651226e-09,-1.33069533e-09,12.0
0.24056,-1.64759939e-09,11.9998951,1.25849669,-1.64051039e-09,-1.28261268e-09,12.0
0.24256,-1.66501168e-09,11.9998951,1.25849669,-1.65078262e-09,-1.2817154e-09,12.0
0.24456,-1.62511027e-09,11.9998951,1.25849669,-1.6036148e-09,-1.22434507e-09,12.0
0.24656,-1.63039293e-09,11.9998951,1.25849669,-1.60152558e-09,-1.21308319e-09,12.0
0.24856,-1.57933511e-09,11.9998951,1.25849669,-1.54301238e-09,-1.14647669e-09,12.0
0.25056,-1.57213353e-09,11.9998951,1.25849669,-1.52829616e-09,-1.12480536e-09,12.0
0.25256,-1.50955159e-09,11.9998951,1.25849669,-1.45816359e-09,-1.04890208e-09,12.0
0.25456,-1.48986401e-09,11.9998951,1.25849669,-1.43091405e-09,-1.01711883e-09,12.0
0.25656,-1.41569778e-09,11.9998951,1.25849669,-1.34919986e-09,-9.32148359e-10,12.0
0.25856,-1.38348377e-09,11.9998951,1.25849669,-1.30947719e-09,-8.90494123e-10,12.0
0.26056,-1.29768796e-09,11.9998951,1.25849669,-1.21623822e-09,-7.9668272e-10,12.0
