model,circuit,score_mean,n
gpt-4o-mini,ic7,15.5,2
gpt-4.1-mini,ic7,16.0,2
gpt-4.1-nano,ic7,17.0,2
gpt-5-nano,ic7,15.0,2
gpt-5-mini,ic7,16.0,2
gpt-5.4-nano,ic7,14.0,2
gpt-5.4-mini,ic7,18.5,2
gpt-5.4,ic7,15.5,2
