circuit,model,input_type,n,score_mean,score_median,score_std,top1_accuracy_pct,top3_accuracy_pct,major_errors_mean,hallucinations_mean,missed_points_mean,model_cost_mean_usd,model_cost_mean_usd_cached,model_latency_mean_seconds,quality_per_dollar,quality_per_second,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
,gpt-4o-mini,JSON + datasheet,1,16.0,16.0,0,100.0,100.0,2.0,2.0,3.0,0.00137895,0.00137895,22.063,11603.031291925015,0.7251960295517382,3.0,2.0,2.0,2.0,2.0,3.0,2.0
,gpt-4o-mini,JSON + immagine + datasheet,1,15.0,15.0,0,0.0,100.0,3.0,3.0,4.0,0.0053418,0.0053418,23.582,2808.042232955184,0.63607836485455,3.0,2.0,2.0,2.0,1.0,3.0,2.0
,gpt-4.1-mini,JSON + datasheet,1,14.0,14.0,0,0.0,100.0,3.0,2.0,3.0,0.005082,0.005082,29.774,2754.820936639119,0.4702089071001545,2.0,2.0,2.0,2.0,1.0,3.0,2.0
,gpt-4.1-mini,JSON + immagine + datasheet,1,18.0,18.0,0,100.0,100.0,2.0,2.0,2.0,0.004798,0.004798,21.172,3751.563151313047,0.8501794823351596,3.0,3.0,2.0,3.0,2.0,3.0,2.0
,gpt-4.1-nano,JSON + datasheet,1,17.0,17.0,0,100.0,100.0,2.0,3.0,3.0,0.0010937,0.0010937,18.344,15543.567705952273,0.9267335368512865,3.0,3.0,2.0,2.0,2.0,3.0,2.0
,gpt-4.1-nano,JSON + immagine + datasheet,1,17.0,17.0,0,100.0,100.0,2.0,2.0,3.0,0.0013132,0.0013132,13.243,12945.476698141943,1.2836970474967908,3.0,3.0,2.0,2.0,2.0,3.0,2.0
,gpt-5-nano,JSON + datasheet,1,12.0,12.0,0,0.0,100.0,3.0,3.0,3.0,0.0019218,0.0019218,41.511,6244.146113019045,0.2890800028908,2.0,2.0,2.0,1.0,1.0,3.0,1.0
,gpt-5-nano,JSON + immagine + datasheet,1,18.0,18.0,0,100.0,100.0,2.0,2.0,2.0,0.0015759,0.0015759,26.121,11422.04454597373,0.6891007235557598,3.0,3.0,2.0,3.0,2.0,3.0,2.0
,gpt-5-mini,JSON + datasheet,1,18.0,18.0,0,100.0,100.0,1.0,2.0,2.0,0.007415,0.007415,49.042,2427.5118004045853,0.36703233962725823,3.0,3.0,3.0,2.0,2.0,3.0,2.0
,gpt-5-mini,JSON + immagine + datasheet,1,14.0,14.0,0,0.0,100.0,3.0,3.0,3.0,0.0077547499999999995,0.0077547499999999995,44.329,1805.3451110609628,0.3158203433418304,3.0,2.0,2.0,2.0,1.0,3.0,1.0
,gpt-5.4-nano,JSON + datasheet,1,11.0,11.0,0,0.0,100.0,3.0,3.0,3.0,0.0038767,0.0038767,15.164,2837.4648541285114,0.7254022685307306,2.0,2.0,1.0,1.0,1.0,3.0,1.0
,gpt-5.4-nano,JSON + immagine + datasheet,1,17.0,17.0,0,100.0,100.0,2.0,2.0,2.0,0.0044564,0.0044564,18.003,3814.738353828202,0.9442870632672332,3.0,3.0,2.0,2.0,2.0,3.0,2.0
,gpt-5.4-mini,JSON + datasheet,1,17.0,17.0,0,100.0,100.0,3.0,2.0,3.0,0.016816499999999998,0.016816499999999998,23.651,1010.9119020010111,0.7187856750243119,3.0,2.0,3.0,2.0,2.0,3.0,2.0
,gpt-5.4-mini,JSON + immagine + datasheet,1,20.0,20.0,0,100.0,100.0,0.0,0.0,0.0,0.01624275,0.01624275,20.841,1231.3185882932385,0.959646849959215,3.0,3.0,3.0,3.0,2.0,3.0,3.0
,gpt-5.4,JSON + datasheet,1,14.0,14.0,0,0.0,0.0,4.0,3.0,3.0,0.06527999999999999,0.06527999999999999,53.559,214.46078431372553,0.26139397673593606,3.0,2.0,2.0,2.0,1.0,3.0,1.0
,gpt-5.4,JSON + immagine + datasheet,1,17.0,17.0,0,0.0,0.0,2.0,2.0,3.0,0.0654975,0.0654975,49.948,259.5518912935608,0.3403539681268519,3.0,3.0,3.0,2.0,1.0,3.0,2.0
