analysis_set,mode,n,score_mean,score_median,score_sample_sd,score_min,score_max,success_count,partial_success_count,failure_count,inconclusive_count,success_rate,mean_scenarios_proposed,mean_scenarios_executed,successful_spice_runs_total,failed_spice_runs_total,mean_critical_error_count,mean_user_turns,mean_agent_decisions
all,chat,17,87.9412,90,13.6998,50,100,11,6,0,0,0.6471,3.4706,2.0,34,0,0.2353,5.1765,0.0
all,agent,17,77.6471,80,18.8843,35,100,11,5,1,0,0.6471,1.7647,1.7647,29,1,0.8235,0.0,2.6471
