time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@ddiode7_1[id]
0.0,0.0,-9.0,-1.55293993,-8.9999962,-1.22428978e-16,0.0,-8.99999616,-0.808234113,1.69058345e-28
1e-08,2.3208354e-16,-9.0,-1.55293993,-8.9999962,6.2831853e-06,6.2831853e-06,-8.99999616,-0.808234113,-8.71212107e-18
2e-08,6.95732459e-16,-9.0,-1.55293993,-8.9999962,1.25663706e-05,1.25663706e-05,-8.99999616,-0.808234113,-1.74236521e-17
4e-08,2.08465594e-15,-9.0,-1.55293993,-8.9999962,2.5132741e-05,2.5132741e-05,-8.99999616,-0.808234113,-3.48449447e-17
8e-08,7.60250469e-15,-9.0,-1.55293993,-8.9999962,5.02654803e-05,5.02654803e-05,-8.99999616,-0.808234113,-6.96804544e-17
1.6e-07,2.90757923e-14,-9.0,-1.55293993,-8.9999962,0.000100530948,0.000100530948,-8.99999616,-0.808234113,-1.39323197e-16
3.2e-07,1.06104406e-13,-9.0,-1.55293993,-8.9999962,0.000201061794,0.000201061794,-8.99999616,-0.808234113,-2.7849577e-16
6.4e-07,3.06975165e-13,-9.0,-1.55293993,-8.9999962,0.000402122776,0.000402122776,-8.99999616,-0.808234113,-5.56390815e-16
1.28e-06,4.10393624e-13,-9.0,-1.55293993,-8.9999962,0.000804239049,0.000804239049,-8.99999616,-0.808234113,-1.11039283e-15
2.28e-06,3.90623284e-14,-9.0,-1.55293993,-8.9999962,0.00143251725,0.00143251725,-8.99999616,-0.808234113,-1.97130495e-15
3.28e-06,1.78731272e-13,-9.0,-1.55293993,-8.9999962,0.0020607389,0.0020607389,-8.99999616,-0.808234113,-2.82655755e-15
4.28e-06,4.18386325e-13,-9.0,-1.55293993,-8.9999962,0.00268887919,0.00268887919,-8.99999616,-0.808234113,-3.67625263e-15
5.28e-06,5.68445531e-14,-9.0,-1.55293993,-8.9999962,0.00331691333,0.00331691333,-8.99999616,-0.808234113,-4.5204897e-15
6.28e-06,1.41930733e-13,-9.0,-1.55293993,-8.9999962,0.00394481653,0.00394481653,-8.99999616,-0.808234113,-5.3593659e-15
7.28e-06,4.22258069e-13,-9.0,-1.55293993,-8.9999962,0.00457256399,0.00457256399,-8.99999616,-0.808234113,-6.19297594e-15
8.28e-06,7.85335123e-14,-9.0,-1.55293993,-8.9999962,0.00520013093,0.00520013093,-8.99999616,-0.808234113,-7.0214122e-15
9.28e-06,1.06954017e-13,-9.0,-1.55293993,-8.9999962,0.00582749258,0.00582749259,-8.99999616,-0.808234113,-7.84476471e-15
1.028e-05,4.21177358e-13,-9.0,-1.55293993,-8.9999962,0.00645462418,0.00645462418,-8.99999616,-0.808234113,-8.66312124e-15
1.128e-05,1.03497859e-13,-9.0,-1.55293993,-8.9999962,0.00708150095,0.00708150095,-8.99999616,-0.808234113,-9.47656726e-15
1.228e-05,7.45339992e-14,-9.0,-1.55293993,-8.9999962,0.00770809816,0.00770809816,-8.99999616,-0.808234113,-1.0285186e-14
1.328e-05,4.15063958e-13,-9.0,-1.55293993,-8.9999962,0.00833439106,0.00833439107,-8.99999616,-0.808234113,-1.10890586e-14
1.428e-05,1.31032962e-13,-9.0,-1.55293993,-8.9999962,0.00896035494,0.00896035495,-8.99999616,-0.808234113,-1.1888264e-14
1.528e-05,4.53474314e-14,-9.0,-1.55293993,-8.9999962,0.00958596508,0.00958596509,-8.99999616,-0.808234113,-1.26828789e-14
1.628e-05,4.03963856e-13,-9.0,-1.55293993,-8.9999962,0.0102111968,0.0102111968,-8.99999616,-0.808234113,-1.34729779e-14
1.728e-05,1.60377497e-13,-9.0,-1.55293993,-8.9999962,0.0108360254,0.0108360254,-8.99999616,-0.808234113,-1.42586338e-14
1.828e-05,1.99983199e-14,-9.0,-1.55293993,-8.9999962,0.0114604262,0.0114604262,-8.99999616,-0.808234113,-1.50399171e-14
1.928e-05,3.88047813e-13,-9.0,-1.55293993,-8.9999962,0.0120843745,0.0120843745,-8.99999616,-0.808234113,-1.58168964e-14
2.028e-05,1.907314e-13,-9.0,-1.55293993,-8.9999962,0.0127078458,0.0127078458,-8.99999616,-0.808234113,-1.65896383e-14
2.128e-05,-9.96934638e-16,-9.0,-1.55293993,-8.9999962,0.0133308154,0.0133308154,-8.99999616,-0.808234113,-1.73582076e-14
2.228e-05,3.67606916e-13,-9.0,-1.55293993,-8.9999962,0.0139532587,0.0139532587,-8.99999616,-0.808234113,-1.8122667e-14
2.328e-05,2.21274776e-13,-9.0,-1.55293993,-8.9999962,0.0145751512,0.0145751512,-8.99999616,-0.808234113,-1.88830774e-14
2.428e-05,-1.72222821e-14,-9.0,-1.55293993,-8.9999962,0.0151964683,0.0151964683,-8.99999616,-0.808234113,-1.96394981e-14
2.528e-05,3.43045258e-13,-9.0,-1.55293993,-8.9999962,0.0158171854,0.0158171854,-8.99999616,-0.808234113,-2.03919863e-14
2.628e-05,2.51187286e-13,-9.0,-1.55293993,-8.9999962,0.0164372781,0.0164372781,-8.99999616,-0.808234113,-2.11405975e-14
