time,v(N001),v(N002),v(N003),v(N004),v(N005)
0.063026118,1.34266977,0.0,0.0262042792,0.567532684,0.00319174093
0.063526118,1.27185755,0.0,0.0259194199,0.564855627,0.00291118436
0.064026118,1.20497404,0.0,0.0256510794,0.562115737,0.00264706356
0.064526118,1.14179971,0.0,0.0253980062,0.559302496,0.00239851792
0.065026118,1.08212719,0.0,0.0251597875,0.556403202,0.00216474583
0.065526118,1.02576058,0.0,0.0249352031,0.553403593,0.00194499935
0.066026118,0.972514781,0.0,0.0247240294,0.550286155,0.00173858845
0.066526118,0.922214875,0.0,0.0245250497,0.54703064,0.00154487625
0.067026118,0.874695541,0.0,0.0243382535,0.543611718,0.00136328632
0.067526118,0.829800475,0.0,0.0241623944,0.539999153,0.00119329954
0.068026118,0.78738184,0.0,0.0239977192,0.536154282,0.0010344664
0.068526118,0.747299734,0.0,0.0238429098,0.532029279,0.000886407744
0.069026118,0.70942166,0.0,0.0236985505,0.52756135,0.000748836554
0.069526118,0.673620493,0.0,0.0235641357,0.522250155,0.000623289615
0.070026118,0.639776683,0.0,0.0234397884,0.516731376,0.000506657133
0.070526118,0.607777813,0.0,0.0233223933,0.510501183,0.000400550817
0.071026118,0.577515146,0.0,0.0232173704,0.503338264,0.000305434203
0.071526118,0.548884168,0.0,0.0231179185,0.494950569,0.000222079513
0.072026118,0.521783743,0.0,0.0230337292,0.484943365,0.000151695659
0.072526118,0.496115393,0.0,0.0229511725,0.472878886,9.56797209e-05
0.073026118,0.471783345,0.0,0.0228900476,0.458413971,5.50503459e-05
0.073526118,0.448696318,0.0,0.0228098939,0.441656144,2.89889353e-05
0.074026118,0.426770927,0.0,0.022768059,0.42328199,1.43661971e-05
0.074526118,0.405934301,0.0,0.0226139646,0.404256598,6.90817673e-06
0.075026118,0.386123703,0.0,0.0225932717,0.38531305,3.33796901e-06
0.075526118,0.367284089,0.0,0.0221239608,0.366892833,1.61104156e-06
0.076026118,0.349365688,0.0,0.0221574326,0.349170267,8.04658098e-07
0.076526118,0.332322422,0.0,0.0208896386,0.332228842,3.85316313e-07
0.077026118,0.316111069,0.0,0.0207548364,0.316064206,1.92952472e-07
0.077526118,0.300690779,0.0,0.0185690027,0.300671456,7.95532947e-08
0.078026118,0.286022841,0.0,0.0171271833,0.286015455,3.04024093e-08
0.078526118,0.272070483,0.0,0.0144552769,0.272071254,-3.18372817e-09
0.079026118,0.258798767,0.0,0.0113795271,0.258802221,-1.42286961e-08
0.079526118,0.246174473,0.0,0.00776148844,0.246180827,-2.61697899e-08
0.080026118,0.234166007,0.0,0.00368274185,0.234172244,-2.56839448e-08
0.080526118,0.222743324,0.0,-0.000760176984,0.222750908,-3.12250773e-08
0.081026118,0.211877847,0.0,-0.00547699843,0.211884459,-2.72213532e-08
0.081526118,0.201542393,0.0,-0.0103705887,0.201549991,-3.12752606e-08
0.082026118,0.191711107,0.0,-0.0153735728,0.191717441,-2.60704838e-08
0.082526118,0.182359394,0.0,-0.0204224311,0.182366429,-2.89527982e-08
0.083026118,0.173463859,0.0,-0.0254612798,0.173469596,-2.36005737e-08
0.083526118,0.165002251,0.0,-0.0304406368,0.165008673,-2.64208439e-08
0.084026118,0.156953403,0.0,-0.0353298769,0.156958539,-2.11238066e-08
0.084526118,0.149297178,0.0,-0.0400991188,0.149303014,-2.39983604e-08
0.085026118,0.142014427,0.0,-0.0447333008,0.142019006,-1.88198836e-08
0.085526118,0.135086929,0.0,-0.0492149456,0.135092229,-2.17811558e-08
