 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N009)         v(N010)         @ddiode7_1[id] 
 1.23535612e-05  1.23535612e-05  1.42858600e-14  9.00000000e+00 -5.24747911e-01  3.87708983e-04  6.60460637e-01  1.23873362e+00  8.99999913e+00 -5.26642240e-01 -4.27304842e-02 -5.36488743e-16 
 1.33535612e-05  1.33535612e-05  1.41803212e-14  9.00000000e+00 -5.63208837e-01  4.19022460e-04  6.60486588e-01  1.23554006e+00  8.99999913e+00 -5.65412245e-01 -4.58708884e-02 -5.79721428e-16 
 1.43535612e-05  1.43535612e-05 -7.36629845e-17  9.00000000e+00 -6.01084723e-01  4.50319395e-04  6.60512150e-01  1.23238920e+00  8.99999913e+00 -6.03618897e-01 -4.89648424e-02 -6.22916864e-16 
 1.53535612e-05  1.53535612e-05  1.46532028e-14  9.00000000e+00 -6.38377185e-01  4.81598553e-04  6.60537327e-01  1.22928099e+00  8.99999913e+00 -6.41263478e-01 -5.20124609e-02 -6.66073386e-16 
 1.63535612e-05  1.63535612e-05  1.37481136e-14  9.00000000e+00 -6.75094002e-01  5.12858697e-04  6.60562123e-01  1.22621488e+00  8.99999913e+00 -6.78353441e-01 -5.50143596e-02 -7.09189335e-16 
 1.73535612e-05  1.73535612e-05 -7.63043901e-17  9.00000000e+00 -7.11237141e-01  5.44098595e-04  6.60586542e-01  1.22319077e+00  8.99999913e+00 -7.14890424e-01 -5.79706819e-02 -7.52263052e-16 
 1.83535612e-05  1.83535612e-05  1.50053950e-14  9.00000000e+00 -7.46813971e-01  5.75317012e-04  6.60610587e-01  1.22020813e+00  8.99999913e+00 -7.50881473e-01 -6.08820103e-02 -7.95292882e-16 
 1.93535612e-05  1.93535612e-05  1.33028207e-14  9.00000000e+00 -7.81826760e-01  6.06512717e-04  6.60634263e-01  1.21726685e+00  8.99999913e+00 -7.86328534e-01 -6.37485129e-02 -8.38277174e-16 
 2.03535612e-05  2.03535612e-05 -6.02773137e-17  9.00000000e+00 -8.16282508e-01  6.37684478e-04  6.60657572e-01  1.21436642e+00  8.99999913e+00 -8.21238291e-01 -6.65707429e-02 -8.81214281e-16 
 2.13535612e-05  2.13535612e-05  1.53415813e-14  9.00000000e+00 -8.50183741e-01  6.68831065e-04  6.60680519e-01  1.21150673e+00  8.99999913e+00 -8.55612952e-01 -6.93488895e-02 -9.24102558e-16 
 2.23535612e-05  2.23535612e-05  1.28454178e-14  9.00000000e+00 -8.83537129e-01  6.99951247e-04  6.60703106e-01  1.20868728e+00  8.99999913e+00 -8.89458874e-01 -7.20834790e-02 -9.66940363e-16 
 2.33535612e-05  2.33535612e-05 -2.56687525e-17  9.00000000e+00 -9.16345416e-01  7.31043796e-04  6.60725338e-01  1.20590792e+00  8.99999913e+00 -9.22778491e-01 -7.47747188e-02 -1.00972606e-15 
 2.43535612e-05  2.43535612e-05  1.56609369e-14  9.00000000e+00 -9.48614975e-01  7.62107484e-04  6.60747218e-01  1.20316821e+00  8.99999913e+00 -9.55577869e-01 -7.74231114e-02 -1.05245801e-15 
 2.53535612e-05  2.53535612e-05  1.23769016e-14  9.00000000e+00 -9.80348733e-01  7.93141086e-04  6.60768750e-01  1.20046797e+00  8.99999913e+00 -9.87859628e-01 -8.00288793e-02 -1.09513460e-15 
 2.63535612e-05  2.63535612e-05  2.73850785e-17  9.00000000e+00 -1.01155280e+00  8.24143377e-04  6.60789936e-01  1.19780677e+00  8.99999913e+00 -1.01962957e+00 -8.25925035e-02 -1.13775418e-15 
 2.73535612e-05  2.73535612e-05  1.59626690e-14  9.00000000e+00 -1.04223025e+00  8.55113131e-04  6.60810780e-01  1.19518443e+00  8.99999913e+00 -1.05089048e+00 -8.51142193e-02 -1.18031514e-15 
 2.83535612e-05  2.83535612e-05  1.18982877e-14  9.00000000e+00 -1.07238694e+00  8.86049127e-04  6.60831286e-01  1.19260054e+00  8.99999913e+00 -1.08164792e+00 -8.75944882e-02 -1.22281586e-15 
 2.93535612e-05  2.93535612e-05  9.86990891e-17  9.00000000e+00 -1.10202610e+00  9.16950143e-04  6.60851457e-01  1.19005490e+00  8.99999913e+00 -1.11190481e+00 -9.00335561e-02 -1.26525472e-15 
 3.03535612e-05  3.03535612e-05  1.62460189e-14  9.00000000e+00 -1.13115335e+00  9.47814960e-04  6.60871296e-01  1.18754711e+00  8.99999913e+00 -1.14166649e+00 -9.24318668e-02 -1.30763011e-15 
 3.13535612e-05  3.13535612e-05  1.14106085e-14  9.00000000e+00 -1.15977202e+00  9.78642359e-04  6.60890807e-01  1.18507696e+00  8.99999913e+00 -1.17093599e+00 -9.47896750e-02 -1.34994043e-15 
 3.23535612e-05  3.23535612e-05  1.88039772e-16  9.00000000e+00 -1.18788754e+00  1.00943112e-03  6.60909992e-01  1.18264409e+00  8.99999913e+00 -1.19971846e+00 -9.71074085e-02 -1.39218407e-15 
 3.33535612e-05  3.33535612e-05  1.65102637e-14  9.00000000e+00 -1.21550331e+00  1.04018003e-03  6.60928855e-01  1.18024828e+00  8.99999913e+00 -1.22801701e+00 -9.93853289e-02 -1.43435944e-15 
 3.43535612e-05  3.43535612e-05  1.09149108e-14  9.00000000e+00 -1.24262459e+00  1.07088788e-03  6.60947399e-01  1.17788915e+00  8.99999913e+00 -1.25583662e+00 -1.01623849e-01 -1.47646493e-15 
 3.53535612e-05  3.53535612e-05  2.95125774e-16  9.00000000e+00 -1.26925484e+00  1.10155345e-03  6.60965627e-01  1.17556650e+00  8.99999913e+00 -1.28318047e+00 -1.03823237e-01 -1.51849895e-15 
 3.63535612e-05  3.63535612e-05  1.67547180e-14  9.00000000e+00 -1.29539914e+00  1.13217554e-03  6.60983542e-01  1.17327996e+00  8.99999913e+00 -1.31005337e+00 -1.05983892e-01 -1.56045993e-15 
 3.73535612e-05  3.73535612e-05  1.04122534e-14  9.00000000e+00 -1.32106102e+00  1.16275293e-03  6.61001148e-01  1.17102931e+00  8.99999913e+00 -1.33645856e+00 -1.08106085e-01 -1.60234627e-15 
 3.83535612e-05  3.83535612e-05  4.19628579e-16  9.00000000e+00 -1.34624541e+00  1.19328441e-03  6.61018446e-01  1.16881421e+00  8.99999913e+00 -1.36240071e+00 -1.10190204e-01 -1.64415640e-15 
 3.93535612e-05  3.93535612e-05  1.69787354e-14  9.00000000e+00 -1.37095585e+00  1.22376879e-03  6.61035441e-01  1.16663444e+00  8.99999913e+00 -1.38788308e+00 -1.12236524e-01 -1.68588874e-15 
 4.03535612e-05  4.03535612e-05  9.90370481e-15  9.00000000e+00 -1.39519713e+00  1.25420485e-03  6.61052135e-01  1.16448965e+00  8.99999913e+00 -1.41291020e+00 -1.14245421e-01 -1.72754172e-15 
 4.13535612e-05  4.13535612e-05  5.61173303e-16  9.00000000e+00 -1.41897284e+00  1.28459140e-03  6.61068531e-01  1.16237962e+00  8.99999913e+00 -1.43748539e+00 -1.16217171e-01 -1.76911379e-15 
 4.23535612e-05  4.23535612e-05  1.71817104e-14  9.00000000e+00 -1.44228762e+00  1.31492723e-03  6.61084633e-01  1.16030403e+00  8.99999913e+00 -1.46161302e+00 -1.18152139e-01 -1.81060337e-15 
 4.33535612e-05  4.33535612e-05  9.39034069e-15  9.00000000e+00 -1.46514506e+00  1.34521116e-03  6.61100442e-01  1.15826265e+00  8.99999913e+00 -1.48529644e+00 -1.20050605e-01 -1.85200892e-15 
 4.43535612e-05  4.43535612e-05  7.19339594e-16  9.00000000e+00 -1.48754969e+00  1.37544198e-03  6.61115962e-01  1.15625515e+00  8.99999913e+00 -1.50853991e+00 -1.21912923e-01 -1.89332887e-15 
 4.53535612e-05  4.53535612e-05  1.73630792e-14  9.00000000e+00 -1.50950512e+00  1.40561849e-03  6.61131195e-01  1.15428131e+00  8.99999913e+00 -1.53134677e+00 -1.23739373e-01 -1.93456169e-15 
 4.63535612e-05  4.63535612e-05  8.87324153e-15  9.00000000e+00 -1.53101574e+00  1.43573952e-03  6.61146144e-01  1.15234082e+00  8.99999913e+00 -1.55372118e+00 -1.25530301e-01 -1.97570583e-15 
 4.73535612e-05  4.73535612e-05  8.93662645e-16  9.00000000e+00 -1.55208516e+00  1.46580387e-03  6.61160813e-01  1.15043344e+00  8.99999913e+00 -1.57566648e+00 -1.27285985e-01 -2.01675975e-15 
 4.83535612e-05  4.83535612e-05  1.75223216e-14  9.00000000e+00 -1.57271768e+00  1.49581035e-03  6.61175203e-01  1.14855889e+00  8.99999912e+00 -1.59718672e+00 -1.29006764e-01 -2.05772193e-15 
 4.93535612e-05  4.93535612e-05  8.35349014e-15  9.00000000e+00 -1.59291687e+00  1.52575777e-03  6.61189318e-01  1.14671692e+00  8.99999912e+00 -1.61828525e+00 -1.30692915e-01 -2.09859082e-15 
 5.03535612e-05  5.03535612e-05  1.08363430e-15  9.00000000e+00 -1.61268695e+00  1.55564496e-03  6.61203159e-01  1.14490724e+00  8.99999912e+00 -1.63896601e+00 -1.32344767e-01 -2.13936492e-15 
 5.13535612e-05  5.13535612e-05  1.76589622e-14  9.00000000e+00 -1.63203147e+00  1.58547074e-03  6.61216731e-01  1.14312963e+00  8.99999912e+00 -1.65923232e+00 -1.33962600e-01 -2.18004269e-15 
 5.23535612e-05  5.23535612e-05  7.83216928e-15  9.00000000e+00 -1.65095454e+00  1.61523393e-03  6.61230034e-01  1.14138379e+00  8.99999912e+00 -1.67908806e+00 -1.35546732e-01 -2.22062264e-15 
 5.33535612e-05  5.33535612e-05  1.28870430e-15  9.00000000e+00 -1.66945970e+00  1.64493335e-03  6.61243073e-01  1.13966949e+00  8.99999912e+00 -1.69853652e+00 -1.37097442e-01 -2.26110324e-15 
 5.43535612e-05  5.43535612e-05  1.77725711e-14  9.00000000e+00 -1.68755097e+00  1.67456783e-03  6.61255848e-01  1.13798647e+00  8.99999912e+00 -1.71758148e+00 -1.38615042e-01 -2.30148299e-15 
 5.53535612e-05  5.53535612e-05  7.31035915e-15  9.00000000e+00 -1.70523185e+00  1.70413620e-03  6.61268364e-01  1.13633447e+00  8.99999912e+00 -1.73622623e+00 -1.40099807e-01 -2.34176041e-15 
 5.63535612e-05  5.63535612e-05  1.50828152e-15  9.00000000e+00 -1.72250629e+00  1.73363730e-03  6.61280622e-01  1.13471324e+00  8.99999912e+00 -1.75447445e+00 -1.41552044e-01 -2.38193399e-15 
 5.73535612e-05  5.73535612e-05  1.78627654e-14  9.00000000e+00 -1.73937775e+00  1.76306995e-03  6.61292625e-01  1.13312255e+00  8.99999912e+00 -1.77232940e+00 -1.42972025e-01 -2.42200224e-15 
 5.83535612e-05  5.83535612e-05  6.78913501e-15  9.00000000e+00 -1.75585009e+00  1.79243300e-03  6.61304375e-01  1.13156212e+00  8.99999912e+00 -1.78979470e+00 -1.44360050e-01 -2.46196369e-15 
 5.93535612e-05  5.93535612e-05  1.74173549e-15  9.00000000e+00 -1.77192675e+00  1.82172529e-03  6.61315875e-01  1.13003174e+00  8.99999912e+00 -1.80687358e+00 -1.45716390e-01 -2.50181685e-15 
