time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N009),v(N010),@ddiode7_1[id]
2.33535612e-05,-2.56687525e-17,9.0,-0.916345416,0.000731043796,0.660725338,1.20590792,8.99999913,-0.922778491,-0.0747747188,-1.00972606e-15
2.43535612e-05,1.56609369e-14,9.0,-0.948614975,0.000762107484,0.660747218,1.20316821,8.99999913,-0.955577869,-0.0774231114,-1.05245801e-15
2.53535612e-05,1.23769016e-14,9.0,-0.980348733,0.000793141086,0.66076875,1.20046797,8.99999913,-0.987859628,-0.0800288793,-1.0951346e-15
2.63535612e-05,2.73850785e-17,9.0,-1.0115528,0.000824143377,0.660789936,1.19780677,8.99999913,-1.01962957,-0.0825925035,-1.13775418e-15
2.73535612e-05,1.5962669e-14,9.0,-1.04223025,0.000855113131,0.66081078,1.19518443,8.99999913,-1.05089048,-0.0851142193,-1.18031514e-15
2.83535612e-05,1.18982877e-14,9.0,-1.07238694,0.000886049127,0.660831286,1.19260054,8.99999913,-1.08164792,-0.0875944882,-1.22281586e-15
2.93535612e-05,9.86990891e-17,9.0,-1.1020261,0.000916950143,0.660851457,1.1900549,8.99999913,-1.11190481,-0.0900335561,-1.26525472e-15
3.03535612e-05,1.62460189e-14,9.0,-1.13115335,0.00094781496,0.660871296,1.18754711,8.99999913,-1.14166649,-0.0924318668,-1.30763011e-15
3.13535612e-05,1.14106085e-14,9.0,-1.15977202,0.000978642359,0.660890807,1.18507696,8.99999913,-1.17093599,-0.094789675,-1.34994043e-15
3.23535612e-05,1.88039772e-16,9.0,-1.18788754,0.00100943112,0.660909992,1.18264409,8.99999913,-1.19971846,-0.0971074085,-1.39218407e-15
3.33535612e-05,1.65102637e-14,9.0,-1.21550331,0.00104018003,0.660928855,1.18024828,8.99999913,-1.22801701,-0.0993853289,-1.43435944e-15
3.43535612e-05,1.09149108e-14,9.0,-1.24262459,0.00107088788,0.660947399,1.17788915,8.99999913,-1.25583662,-0.101623849,-1.47646493e-15
3.53535612e-05,2.95125774e-16,9.0,-1.26925484,0.00110155345,0.660965627,1.1755665,8.99999913,-1.28318047,-0.103823237,-1.51849895e-15
3.63535612e-05,1.6754718e-14,9.0,-1.29539914,0.00113217554,0.660983542,1.17327996,8.99999913,-1.31005337,-0.105983892,-1.56045993e-15
3.73535612e-05,1.04122534e-14,9.0,-1.32106102,0.00116275293,0.661001148,1.17102931,8.99999913,-1.33645856,-0.108106085,-1.60234627e-15
3.83535612e-05,4.19628579e-16,9.0,-1.34624541,0.00119328441,0.661018446,1.16881421,8.99999913,-1.36240071,-0.110190204,-1.6441564e-15
3.93535612e-05,1.69787354e-14,9.0,-1.37095585,0.00122376879,0.661035441,1.16663444,8.99999913,-1.38788308,-0.112236524,-1.68588874e-15
4.03535612e-05,9.90370481e-15,9.0,-1.39519713,0.00125420485,0.661052135,1.16448965,8.99999913,-1.4129102,-0.114245421,-1.72754172e-15
4.13535612e-05,5.61173303e-16,9.0,-1.41897284,0.0012845914,0.661068531,1.16237962,8.99999913,-1.43748539,-0.116217171,-1.76911379e-15
4.23535612e-05,1.71817104e-14,9.0,-1.44228762,0.00131492723,0.661084633,1.16030403,8.99999913,-1.46161302,-0.118152139,-1.81060337e-15
4.33535612e-05,9.39034069e-15,9.0,-1.46514506,0.00134521116,0.661100442,1.15826265,8.99999913,-1.48529644,-0.120050605,-1.85200892e-15
4.43535612e-05,7.19339594e-16,9.0,-1.48754969,0.00137544198,0.661115962,1.15625515,8.99999913,-1.50853991,-0.121912923,-1.89332887e-15
4.53535612e-05,1.73630792e-14,9.0,-1.50950512,0.00140561849,0.661131195,1.15428131,8.99999913,-1.53134677,-0.123739373,-1.93456169e-15
4.63535612e-05,8.87324153e-15,9.0,-1.53101574,0.00143573952,0.661146144,1.15234082,8.99999913,-1.55372118,-0.125530301,-1.97570583e-15
4.73535612e-05,8.93662645e-16,9.0,-1.55208516,0.00146580387,0.661160813,1.15043344,8.99999913,-1.57566648,-0.127285985,-2.01675975e-15
4.83535612e-05,1.75223216e-14,9.0,-1.57271768,0.00149581035,0.661175203,1.14855889,8.99999912,-1.59718672,-0.129006764,-2.05772193e-15
4.93535612e-05,8.35349014e-15,9.0,-1.59291687,0.00152575777,0.661189318,1.14671692,8.99999912,-1.61828525,-0.130692915,-2.09859082e-15
5.03535612e-05,1.0836343e-15,9.0,-1.61268695,0.00155564496,0.661203159,1.14490724,8.99999912,-1.63896601,-0.132344767,-2.13936492e-15
5.13535612e-05,1.76589622e-14,9.0,-1.63203147,0.00158547074,0.661216731,1.14312963,8.99999912,-1.65923232,-0.1339626,-2.18004269e-15
5.23535612e-05,7.83216928e-15,9.0,-1.65095454,0.00161523393,0.661230034,1.14138379,8.99999912,-1.67908806,-0.135546732,-2.22062264e-15
5.33535612e-05,1.2887043e-15,9.0,-1.6694597,0.00164493335,0.661243073,1.13966949,8.99999912,-1.69853652,-0.137097442,-2.26110324e-15
5.43535612e-05,1.77725711e-14,9.0,-1.68755097,0.00167456783,0.661255848,1.13798647,8.99999912,-1.71758148,-0.138615042,-2.30148299e-15
5.53535612e-05,7.31035915e-15,9.0,-1.70523185,0.0017041362,0.661268364,1.13633447,8.99999912,-1.73622623,-0.140099807,-2.34176041e-15
5.63535612e-05,1.50828152e-15,9.0,-1.72250629,0.0017336373,0.661280622,1.13471324,8.99999912,-1.75447445,-0.141552044,-2.38193399e-15
5.73535612e-05,1.78627654e-14,9.0,-1.73937775,0.00176306995,0.661292625,1.13312255,8.99999912,-1.7723294,-0.142972025,-2.42200224e-15
5.83535612e-05,6.78913501e-15,9.0,-1.75585009,0.001792433,0.661304375,1.13156212,8.99999912,-1.7897947,-0.14436005,-2.46196369e-15
5.93535612e-05,1.74173549e-15,9.0,-1.77192675,0.00182172529,0.661315875,1.13003174,8.99999912,-1.80687358,-0.14571639,-2.50181685e-15
6.03535612e-05,1.79292099e-14,9.0,-1.7876115,0.00185094566,0.661327127,1.12853114,8.99999912,-1.82356956,-0.147041337,-2.54156025e-15
6.13535612e-05,6.26956473e-15,9.0,-1.80290776,0.00188009296,0.661338133,1.12706009,8.99999912,-1.83988585,-0.14833516,-2.58119243e-15
6.23535612e-05,1.98839779e-15,9.0,-1.8178192,0.00190916603,0.661348896,1.12561834,8.99999912,-1.8558259,-0.149598145,-2.62071193e-15
6.33535612e-05,1.79716181e-14,9.0,-1.83234921,0.00193816374,0.661359417,1.12420567,8.99999912,-1.87139289,-0.150830557,-2.66011728e-15
6.43535612e-05,5.75270642e-15,9.0,-1.84650139,0.00196708493,0.6613697,1.12282183,8.99999912,-1.8865902,-0.152032678,-2.69940704e-15
6.53535612e-05,2.24756373e-15,9.0,-1.86027908,0.00199592846,0.661379747,1.1214666,8.99999912,-1.90142096,-0.153204769,-2.73857976e-15
6.63535612e-05,1.79897526e-14,9.0,-1.87368583,0.0020246932,0.661389559,1.12013973,8.99999912,-1.91588849,-0.154347107,-2.777634e-15
6.73535612e-05,5.23960603e-15,9.0,-1.88672492,0.002053378,0.66139914,1.11884101,8.99999912,-1.92999588,-0.155459948,-2.81656832e-15
6.83535612e-05,2.51849395e-15,9.0,-1.89939983,0.00208198174,0.66140849,1.11757019,8.99999912,-1.9437464,-0.156543565,-2.85538131e-15
6.93535612e-05,1.7983426e-14,9.0,-1.91171381,0.00211050329,0.661417613,1.11632706,8.99999912,-1.95714308,-0.157598211,-2.89407153e-15
7.03535612e-05,4.73129499e-15,9.0,-1.92367026,0.00213894152,0.66142651,1.11511138,8.99999912,-1.97018913,-0.158624152,-2.93263757e-15
7.13535612e-05,2.80041623e-15,9.0,-1.93527239,0.00216729531,0.661435183,1.11392295,8.99999912,-1.98288755,-0.15962164,-2.97107802e-15
7.23535612e-05,1.79525013e-14,9.0,-1.94652354,0.00219556353,0.661443635,1.11276152,8.99999912,-1.99524148,-0.160590934,-3.00939146e-15
7.33535612e-05,4.22878797e-15,9.0,-1.95742686,0.00222374508,0.661451868,1.1116269,8.99999912,-2.00725388,-0.161532283,-3.0475765e-15
7.43535612e-05,3.09252732e-15,9.0,-1.96798564,0.00225183884,0.661459884,1.11051885,8.99999912,-2.01892783,-0.162445943,-3.08563175e-15
7.53535612e-05,1.78968923e-14,9.0,-1.97820299,0.0022798437,0.661467684,1.10943717,8.99999912,-2.03026626,-0.163332157,-3.12355582e-15
7.63535612e-05,3.73308053e-15,9.0,-1.98808213,0.00230775856,0.661475271,1.10838164,8.99999912,-2.04127218,-0.164191175,-3.16134732e-15
7.73535612e-05,3.39399482e-15,9.0,-1.99762612,0.00233558231,0.661482646,1.10735205,8.99999912,-2.05194847,-0.16502324,-3.19900488e-15
7.83535612e-05,1.78165638e-14,9.0,-2.00683812,0.00236331385,0.661489812,1.10634818,8.99999912,-2.0622981,-0.165828596,-3.23652712e-15
7.93535612e-05,3.24514693e-15,9.0,-2.01572115,0.0023909521,0.661496771,1.10536983,8.99999912,-2.07232391,-0.166607481,-3.27391269e-15
8.03535612e-05,3.70395917e-15,9.0,-2.02427831,0.00241849595,0.661503524,1.1044168,8.99999912,-2.08202879,-0.167360137,-3.31116022e-15
8.13535612e-05,1.77115316e-14,9.0,-2.03251258,0.00244594433,0.661510073,1.10348887,8.99999912,-2.09141556,-0.168086796,-3.34826836e-15
8.23535612e-05,2.76593797e-15,9.0,-2.04042699,0.00247329614,0.661516421,1.10258585,8.99999912,-2.10048705,-0.168787696,-3.38523576e-15
8.33535612e-05,4.02153573e-15,9.0,-2.04802448,0.00250055032,0.661522568,1.10170752,8.99999912,-2.10924604,-0.169463067,-3.42206109e-15
8.43535612e-05,1.75818631e-14,9.0,-2.05530803,0.00252770577,0.661528518,1.1008537,8.99999912,-2.11769531,-0.170113141,-3.45874301e-15
8.53535612e-05,2.29637885e-15,9.0,-2.06228053,0.00255476144,0.661534271,1.10002419,8.99999912,-2.12583758,-0.170738145,-3.49528019e-15
8.63535612e-05,4.34581682e-15,9.0,-2.0689449,0.00258171625,0.661539829,1.09921878,8.99999912,-2.13367559,-0.171338308,-3.53167131e-15
