 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)        
 3.52800000e-03  3.52800000e-03  5.00000000e+00  7.98551473e-03  1.51975999e+00  8.77423097e-01  3.14786868e+00  6.66054668e-02 
 3.62800000e-03  3.62800000e-03  5.00000000e+00  7.59180435e-03  1.51964861e+00  8.77390263e-01  3.15295319e+00  7.14807525e-02 
 3.72800000e-03  3.72800000e-03  5.00000000e+00  7.16813258e-03  1.51953902e+00  8.77355057e-01  3.15775652e+00  7.60605370e-02 
 3.82800000e-03  3.82800000e-03  5.00000000e+00  6.71617147e-03  1.51943167e+00  8.77317623e-01  3.16226117e+00  8.03282386e-02 
 3.92800000e-03  3.92800000e-03  5.00000000e+00  6.23770470e-03  1.51932701e+00  8.77278113e-01  3.16645029e+00  8.42679708e-02 
 4.02800000e-03  4.02800000e-03  5.00000000e+00  5.73462056e-03  1.51922547e+00  8.77236688e-01  3.17030867e+00  8.78655393e-02 
 4.12800000e-03  4.12800000e-03  5.00000000e+00  5.20890449e-03  1.51912748e+00  8.77193514e-01  3.17382183e+00  9.11075303e-02 
 4.22800000e-03  4.22800000e-03  5.00000000e+00  4.66263125e-03  1.51903343e+00  8.77148766e-01  3.17697704e+00  9.39822997e-02 
 4.32800000e-03  4.32800000e-03  5.00000000e+00  4.09795674e-03  1.51894373e+00  8.77102622e-01  3.17976237e+00  9.64790572e-02 
 4.42800000e-03  4.42800000e-03  5.00000000e+00  3.51710946e-03  1.51885876e+00  8.77055268e-01  3.18216772e+00  9.85888463e-02 
 4.52800000e-03  4.52800000e-03  5.00000000e+00  2.92238177e-03  1.51877885e+00  8.77006891e-01  3.18418385e+00  1.00303625e-01 
 4.62800000e-03  4.62800000e-03  5.00000000e+00  2.31612076e-03  1.51870435e+00  8.76957685e-01  3.18580340e+00  1.01617236e-01 
 4.72800000e-03  4.72800000e-03  5.00000000e+00  1.70071909e-03  1.51863557e+00  8.76907846e-01  3.18701996e+00  1.02524484e-01 
 4.82800000e-03  4.82800000e-03  5.00000000e+00  1.07860545e-03  1.51857279e+00  8.76857573e-01  3.18782901e+00  1.03022099e-01 
 4.92800000e-03  4.92800000e-03  5.00000000e+00  4.52235051e-04  1.51851626e+00  8.76807065e-01  3.18822703e+00  1.03107805e-01 
 5.02800000e-03  5.02800000e-03  5.00000000e+00 -1.75920113e-04  1.51846624e+00  8.76756523e-01  3.18821246e+00  1.02781278e-01 
