 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @ddiode7_1[id] 
 0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00 -1.22428978e-16 -7.91174109e-01 -1.20767573e-01  0.00000000e+00  1.69058345e-28 
 1.00000000e-08  1.00000000e-08  5.50662298e-18 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.49080510e-07 -7.91173960e-01 -1.20767264e-01  3.14159265e-07 -2.06718461e-19 
 2.00000000e-08  2.00000000e-08  1.64174533e-17 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  2.95706382e-07 -7.91173813e-01 -1.20766960e-01  6.28318529e-07 -4.10032939e-19 
 4.00000000e-08  4.00000000e-08  4.88343438e-17 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  5.84128191e-07 -7.91173525e-01 -1.20766362e-01  1.25663705e-06 -8.09963672e-19 
 8.00000000e-08  8.00000000e-08  1.74491281e-16 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.13293196e-06 -7.91172976e-01 -1.20765225e-01  2.51327402e-06 -1.57094115e-18 
 1.60000000e-07  1.60000000e-07  6.38253542e-16 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  2.12718038e-06 -7.91171982e-01 -1.20763164e-01  5.02654740e-06 -2.94956575e-18 
 3.20000000e-07  3.20000000e-07  2.12731741e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  3.76328872e-06 -7.91170346e-01 -1.20759773e-01  1.00530897e-05 -5.21816094e-18 
 6.40000000e-07  6.40000000e-07  5.05636474e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  5.99824556e-06 -7.91168111e-01 -1.20755142e-01  2.01061388e-05 -8.31704289e-18 
 1.28000000e-06  1.28000000e-06  3.17034329e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.12855314e-06 -7.91165980e-01 -1.20750728e-01  4.02119525e-05 -1.12707538e-17 
 2.28000000e-06  2.28000000e-06 -4.57623097e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.96878812e-06 -7.91165140e-01 -1.20748988e-01  7.16258625e-05 -1.24357365e-17 
 3.28000000e-06  3.28000000e-06  1.45056916e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  9.04234293e-06 -7.91165067e-01 -1.20748835e-01  1.03036945e-04 -1.25377195e-17 
 4.28000000e-06  4.28000000e-06  3.29735394e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  9.04777636e-06 -7.91165061e-01 -1.20748824e-01  1.34443960e-04 -1.25452529e-17 
 5.28000000e-06  5.28000000e-06 -4.44588495e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  9.04686259e-06 -7.91165062e-01 -1.20748826e-01  1.65845667e-04 -1.25439860e-17 
 6.28000000e-06  6.28000000e-06  7.42991143e-16 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  9.04506202e-06 -7.91165064e-01 -1.20748830e-01  1.97240826e-04 -1.25414895e-17 
 7.28000000e-06  7.28000000e-06  3.76841915e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  9.04285746e-06 -7.91165066e-01 -1.20748834e-01  2.28628200e-04 -1.25384329e-17 
 8.28000000e-06  8.28000000e-06 -4.17123182e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  9.04029171e-06 -7.91165069e-01 -1.20748839e-01  2.60006547e-04 -1.25348755e-17 
 9.28000000e-06  9.28000000e-06  2.08424284e-17 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  9.03736863e-06 -7.91165072e-01 -1.20748845e-01  2.91374629e-04 -1.25308227e-17 
 1.02800000e-05  1.02800000e-05  4.14915673e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  9.03408869e-06 -7.91165075e-01 -1.20748852e-01  3.22731209e-04 -1.25262751e-17 
 1.12800000e-05  1.12800000e-05 -3.79629030e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  9.03045202e-06 -7.91165079e-01 -1.20748860e-01  3.54075048e-04 -1.25212329e-17 
 1.22800000e-05  1.22800000e-05 -7.01830562e-16 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  9.02645879e-06 -7.91165083e-01 -1.20748868e-01  3.85404908e-04 -1.25156963e-17 
 1.32800000e-05  1.32800000e-05  4.43011178e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  9.02210914e-06 -7.91165087e-01 -1.20748877e-01  4.16719553e-04 -1.25096656e-17 
 1.42800000e-05  1.42800000e-05 -3.33010938e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  9.01740326e-06 -7.91165092e-01 -1.20748887e-01  4.48017747e-04 -1.25031409e-17 
 1.52800000e-05  1.52800000e-05 -1.40766433e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  9.01234133e-06 -7.91165097e-01 -1.20748897e-01  4.79298254e-04 -1.24961226e-17 
 1.62800000e-05  1.62800000e-05  4.60452058e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  9.00692354e-06 -7.91165102e-01 -1.20748909e-01  5.10559839e-04 -1.24886109e-17 
 1.72800000e-05  1.72800000e-05 -2.78390583e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  9.00115011e-06 -7.91165108e-01 -1.20748920e-01  5.41801268e-04 -1.24806061e-17 
 1.82800000e-05  1.82800000e-05 -2.07969795e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.99502128e-06 -7.91165114e-01 -1.20748933e-01  5.73021308e-04 -1.24721086e-17 
 1.92800000e-05  1.92800000e-05  4.66818121e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.98853727e-06 -7.91165120e-01 -1.20748947e-01  6.04218726e-04 -1.24631185e-17 
 2.02800000e-05  2.02800000e-05 -2.17082028e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.98169834e-06 -7.91165127e-01 -1.20748961e-01  6.35392290e-04 -1.24536364e-17 
 2.12800000e-05  2.12800000e-05 -2.70178309e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.97450480e-06 -7.91165135e-01 -1.20748976e-01  6.66540770e-04 -1.24436627e-17 
 2.22800000e-05  2.22800000e-05  4.61955440e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.96695688e-06 -7.91165142e-01 -1.20748991e-01  6.97662936e-04 -1.24331975e-17 
 2.32800000e-05  2.32800000e-05 -1.50560132e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.95905490e-06 -7.91165150e-01 -1.20749008e-01  7.28757560e-04 -1.24222415e-17 
 2.42800000e-05  2.42800000e-05 -3.25897228e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.95079918e-06 -7.91165158e-01 -1.20749025e-01  7.59823414e-04 -1.24107950e-17 
 2.52800000e-05  2.52800000e-05  4.45980049e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.94219003e-06 -7.91165167e-01 -1.20749043e-01  7.90859271e-04 -1.23988585e-17 
 2.62800000e-05  2.62800000e-05 -8.04250903e-16 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.93322781e-06 -7.91165176e-01 -1.20749061e-01  8.21863906e-04 -1.23864325e-17 
 2.72800000e-05  2.72800000e-05 -3.73787826e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.92391285e-06 -7.91165185e-01 -1.20749081e-01  8.52836095e-04 -1.23735174e-17 
 2.82800000e-05  2.82800000e-05  4.19275160e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.91424556e-06 -7.91165195e-01 -1.20749101e-01  8.83774616e-04 -1.23601138e-17 
 2.92800000e-05  2.92800000e-05 -8.36396600e-17 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.90422627e-06 -7.91165205e-01 -1.20749121e-01  9.14678247e-04 -1.23462221e-17 
 3.02800000e-05  3.02800000e-05 -4.12699582e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.89385541e-06 -7.91165215e-01 -1.20749143e-01  9.45545769e-04 -1.23318430e-17 
 3.12800000e-05  3.12800000e-05  3.82481945e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.88313337e-06 -7.91165226e-01 -1.20749165e-01  9.76375961e-04 -1.23169770e-17 
 3.22800000e-05  3.22800000e-05  6.38898740e-16 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.87206058e-06 -7.91165237e-01 -1.20749188e-01  1.00716761e-03 -1.23016247e-17 
 3.32800000e-05  3.32800000e-05 -4.41697842e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.86063750e-06 -7.91165248e-01 -1.20749212e-01  1.03791949e-03 -1.22857867e-17 
 3.42800000e-05  3.42800000e-05  3.36484124e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.84886455e-06 -7.91165260e-01 -1.20749236e-01  1.06863040e-03 -1.22694636e-17 
 3.52800000e-05  3.52800000e-05  1.34598434e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.83674221e-06 -7.91165272e-01 -1.20749261e-01  1.09929913e-03 -1.22526561e-17 
 3.62800000e-05  3.62800000e-05 -4.60086294e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.82427095e-06 -7.91165285e-01 -1.20749287e-01  1.12992445e-03 -1.22353648e-17 
 3.72800000e-05  3.72800000e-05  2.82386718e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.81145129e-06 -7.91165298e-01 -1.20749314e-01  1.16050517e-03 -1.22175904e-17 
 3.82800000e-05  3.82800000e-05  2.02060873e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.79828370e-06 -7.91165311e-01 -1.20749341e-01  1.19104007e-03 -1.21993336e-17 
 3.92800000e-05  3.92800000e-05 -4.67423700e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.78476871e-06 -7.91165324e-01 -1.20749369e-01  1.22152795e-03 -1.21805952e-17 
 4.02800000e-05  4.02800000e-05  2.21489481e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.77090687e-06 -7.91165338e-01 -1.20749398e-01  1.25196761e-03 -1.21613759e-17 
 4.12800000e-05  4.12800000e-05  2.64654395e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.75669873e-06 -7.91165352e-01 -1.20749427e-01  1.28235784e-03 -1.21416764e-17 
 4.22800000e-05  4.22800000e-05 -4.63534508e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.74214483e-06 -7.91165367e-01 -1.20749457e-01  1.31269745e-03 -1.21214975e-17 
 4.32800000e-05  4.32800000e-05  1.55255654e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.72724575e-06 -7.91165382e-01 -1.20749488e-01  1.34298523e-03 -1.21008400e-17 
 4.42800000e-05  4.42800000e-05  3.20873269e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.71200208e-06 -7.91165397e-01 -1.20749520e-01  1.37322000e-03 -1.20797048e-17 
 4.52800000e-05  4.52800000e-05 -4.48513077e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.69641444e-06 -7.91165413e-01 -1.20749552e-01  1.40340055e-03 -1.20580926e-17 
 4.62800000e-05  4.62800000e-05  8.52767854e-16 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  8.68048343e-06 -7.91165429e-01 -1.20749585e-01  1.43352570e-03 -1.20360043e-17 
