time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@ddiode7_1[id]
2.928e-05,-8.363966e-17,-9.0,-8.99999801,-8.99999803,8.90422627e-06,-0.791165205,-0.120749121,0.000914678247,-1.23462221e-17
3.028e-05,-4.12699582e-15,-9.0,-8.99999801,-8.99999803,8.89385541e-06,-0.791165215,-0.120749143,0.000945545769,-1.2331843e-17
3.128e-05,3.82481945e-15,-9.0,-8.99999801,-8.99999803,8.88313337e-06,-0.791165226,-0.120749165,0.000976375961,-1.2316977e-17
3.228e-05,6.3889874e-16,-9.0,-8.99999801,-8.99999803,8.87206058e-06,-0.791165237,-0.120749188,0.00100716761,-1.23016247e-17
3.328e-05,-4.41697842e-15,-9.0,-8.99999801,-8.99999803,8.8606375e-06,-0.791165248,-0.120749212,0.00103791949,-1.22857867e-17
3.428e-05,3.36484124e-15,-9.0,-8.99999801,-8.99999803,8.84886455e-06,-0.79116526,-0.120749236,0.0010686304,-1.22694636e-17
3.528e-05,1.34598434e-15,-9.0,-8.99999801,-8.99999803,8.83674221e-06,-0.791165272,-0.120749261,0.00109929913,-1.22526561e-17
3.628e-05,-4.60086294e-15,-9.0,-8.99999801,-8.99999803,8.82427095e-06,-0.791165285,-0.120749287,0.00112992445,-1.22353648e-17
3.728e-05,2.82386718e-15,-9.0,-8.99999801,-8.99999803,8.81145129e-06,-0.791165298,-0.120749314,0.00116050517,-1.22175904e-17
3.828e-05,2.02060873e-15,-9.0,-8.99999801,-8.99999803,8.7982837e-06,-0.791165311,-0.120749341,0.00119104007,-1.21993336e-17
3.928e-05,-4.674237e-15,-9.0,-8.99999801,-8.99999803,8.78476871e-06,-0.791165324,-0.120749369,0.00122152795,-1.21805952e-17
4.028e-05,2.21489481e-15,-9.0,-8.99999801,-8.99999803,8.77090687e-06,-0.791165338,-0.120749398,0.00125196761,-1.21613759e-17
4.128e-05,2.64654395e-15,-9.0,-8.99999801,-8.99999803,8.75669873e-06,-0.791165352,-0.120749427,0.00128235784,-1.21416764e-17
4.228e-05,-4.63534508e-15,-9.0,-8.99999801,-8.99999803,8.74214483e-06,-0.791165367,-0.120749457,0.00131269745,-1.21214975e-17
4.328e-05,1.55255654e-15,-9.0,-8.99999801,-8.99999803,8.72724575e-06,-0.791165382,-0.120749488,0.00134298523,-1.210084e-17
4.428e-05,3.20873269e-15,-9.0,-8.99999801,-8.99999803,8.71200208e-06,-0.791165397,-0.12074952,0.00137322,-1.20797048e-17
