diagram_id,n_component_nodes,n_connected_to_edges,n_diagram_nodes,n_edges_total,n_has_component_edges,n_has_net_edges,n_has_terminal_edges,n_net_nodes,n_nodes_total,n_suspicious_terminal_matches,n_terminal_nodes,n_terminals_matched,n_terminals_unmatched,terminal_match_confidence_counts
1,19,32,1,96,19,13,32,13,65,0,32,32,0,"{""high"": 32, ""medium"": 0, ""low"": 0, ""none"": 0}"
2,12,21,1,64,12,10,21,10,44,0,21,21,0,"{""high"": 21, ""medium"": 0, ""low"": 0, ""none"": 0}"
3,10,18,1,54,10,8,18,8,37,0,18,18,0,"{""high"": 18, ""medium"": 0, ""low"": 0, ""none"": 0}"
4,6,14,1,38,6,4,14,4,25,0,14,14,0,"{""high"": 12, ""medium"": 2, ""low"": 0, ""none"": 0}"
5,7,14,1,40,7,5,14,5,27,0,14,14,0,"{""high"": 14, ""medium"": 0, ""low"": 0, ""none"": 0}"
6,9,18,1,53,9,8,18,8,36,0,18,18,0,"{""high"": 18, ""medium"": 0, ""low"": 0, ""none"": 0}"
7,6,11,1,34,6,6,11,6,24,0,11,11,0,"{""high"": 11, ""medium"": 0, ""low"": 0, ""none"": 0}"
8,10,17,1,52,10,8,17,8,36,0,17,17,0,"{""high"": 17, ""medium"": 0, ""low"": 0, ""none"": 0}"
