time,v(N001),v(N002),v(N003),v(N004),v(N005)
0.04175,3.38004338,10.0,12.5078634,3.38003752,5.00000007
0.04225,3.41306061,10.0,12.5335177,3.41305611,5.00000005
0.04275,3.44591317,10.0,12.5589927,3.44590732,5.00000007
0.04325,3.47860187,10.0,12.5842954,3.47859738,5.00000005
0.04375,3.51112753,10.0,12.6094211,3.51112169,5.00000007
0.04425,3.54349097,10.0,12.6343759,3.54348649,5.00000005
0.04475,3.575693,10.0,12.6591555,3.57568717,5.00000007
0.04525,3.60773442,10.0,12.6837659,3.60772995,5.00000005
0.04575,3.63961604,10.0,12.7082029,3.63961021,5.00000007
0.04625,3.67133864,10.0,12.7324728,3.67133417,5.00000005
0.04675,3.70290302,10.0,12.7565713,3.70289721,5.00000007
0.04725,3.73430998,10.0,12.7805043,3.73430551,5.00000005
0.04775,3.76556029,10.0,12.8042673,3.76555448,5.00000007
0.04825,3.79665474,10.0,12.827867,3.79665028,5.00000005
0.04875,3.82759411,10.0,12.8512985,3.8275883,5.00000007
0.04925,3.85837916,10.0,12.8745684,3.85837471,5.00000005
0.04975,3.88901068,10.0,12.8976722,3.88900488,5.00000007
0.05025,3.91948941,10.0,12.920616,3.91948496,5.00000005
0.050625,3.94224865,10.0,12.9377154,3.94224285,5.00000007
0.051,3.96492269,10.0,12.9547267,3.96491824,5.00000005
0.0510267265,3.96646377,9.73273493,12.9554611,3.96606087,4.86637254
0.0510801795,3.96940227,9.1982048,12.9575607,3.96898545,4.59910765
0.0511870855,3.97441784,8.12914453,12.9608656,3.97399247,4.06457762
0.0512878056,3.97809283,7.12194433,11.0044061,3.975964,3.56099899
0.0514036652,3.98102685,5.96334794,5.31259944,3.84675919,3.18502232
0.0514725079,3.98209532,5.27492067,4.60926378,3.73630989,3.05840269
0.0515393425,3.98264469,4.60657486,3.92846278,3.62235414,2.93132235
0.0516219329,3.9826599,3.78067134,3.09459346,3.48735832,2.787522
0.0517871136,3.98006744,2.12886431,1.47186115,2.06305949,1.38973396
0.0518935568,3.97640707,1.06443215,0.591102542,1.19564979,0.567379045
0.052,3.97128772,0.0,0.0648122852,0.673963133,0.0415545183
0.052016445,3.97039079,0.0,0.064729974,0.673900045,0.0415440099
0.052049335,3.96859736,0.0,0.0647073939,0.673863404,0.04152187
0.0521151149,3.96501305,0.0,0.0646633581,0.673789615,0.0414776287
0.0522466748,3.95785462,0.0,0.0645744217,0.673642816,0.0413892645
0.0525097946,3.94357837,0.0,0.0643980398,0.673349161,0.041213049
0.0530097946,3.91659819,0.0,0.0640637669,0.672793803,0.0408800303
0.0535097946,3.88981168,0.0,0.0637325706,0.672239748,0.0405494359
0.0540097946,3.86321744,0.0,0.0634031152,0.671688412,0.0402212303
0.0545097946,3.83681409,0.0,0.0630767026,0.671138936,0.039895407
0.0550097946,3.81060025,0.0,0.0627519875,0.67059215,0.0395719381
0.0555097946,3.78457457,0.0,0.06243029,0.67004718,0.0392508175
0.0560097946,3.75873569,0.0,0.0621102472,0.669504867,0.0389320176
0.0565097946,3.73308225,0.0,0.0617931975,0.668964328,0.0386155325
0.0570097946,3.70761294,0.0,0.0614777599,0.668426413,0.0383013346
0.0575097946,3.68232641,0.0,0.0611652916,0.667890227,0.0379894186
0.0580097946,3.65722137,0.0,0.0608543932,0.667356635,0.0376797569
0.0585097946,3.63229649,0.0,0.0605464409,0.66682473,0.0373723446
0.0590097946,3.60755049,0.0,0.0602400165,0.666295387,0.0370671543
0.0595097946,3.58298208,0.0,0.0599365157,0.665767688,0.0367641813
0.0600097946,3.55858997,0.0,0.0596345011,0.665242521,0.0364633983
0.0605097946,3.5343729,0.0,0.0593353883,0.664718956,0.036164801
0.0610097946,3.51032961,0.0,0.0590377203,0.664197892,0.0358683623
0.0615097946,3.48645885,0.0,0.0587429327,0.663678388,0.0355740782
0.0620097946,3.46275938,0.0,0.058449549,0.663161357,0.0352819216
0.0625097946,3.43922996,0.0,0.0581590249,0.662645843,0.0349918889
0.0630097946,3.41586937,0.0,0.057869864,0.662132773,0.0347039531
0.0635097946,3.39267639,0.0,0.0575835425,0.661621179,0.0344181111
0.0640097946,3.36964982,0.0,0.0572985438,0.661112001,0.0341343358
0.0645097946,3.34678846,0.0,0.057016365,0.660604257,0.0338526244
0.0650097946,3.32409112,0.0,0.0567354687,0.6600989,0.03357295
0.0655097946,3.30155662,0.0,0.0564573735,0.659594938,0.0332953103
0.0660097946,3.27918379,0.0,0.0561805209,0.659093335,0.0330196782
0.0665097946,3.25697146,0.0,0.055906451,0.658593085,0.0327460519
0.0670097946,3.23491848,0.0,0.0556335839,0.658095168,0.0324744043
0.0675097946,3.2130237,0.0,0.0553634819,0.657598564,0.0322047339
0.0680097946,3.19128599,0.0,0.0550945433,0.657104265,0.0319370138
0.0685097946,3.1697042,0.0,0.0548283526,0.656611239,0.0316712428
0.0690097946,3.14827723,0.0,0.054563286,0.656120493,0.0314073941
0.0695097946,3.12700395,0.0,0.0543009508,0.65563098,0.0311454668
0.0700097946,3.10588326,0.0,0.0540397007,0.65514372,0.030885434
0.0705097946,3.08491405,0.0,0.053781166,0.654657653,0.0306272954
0.0710097946,3.06409525,0.0,0.0535236777,0.654173816,0.0303710241
0.0715097946,3.04342577,0.0,0.0532688894,0.653691131,0.0301166201
0.0720097946,3.02290452,0.0,0.0530151089,0.65321065,0.0298640565
0.0725097946,3.00253046,0.0,0.0527640136,0.652731282,0.0296133336
0.0730097946,2.9823025,0.0,0.0525138876,0.652254095,0.0293644246
0.0735097946,2.96221961,0.0,0.0522664326,0.651777981,0.0291173303
0.0740097946,2.94228074,0.0,0.0520199087,0.651304024,0.0288720238
0.0745097946,2.92248485,0.0,0.0517760423,0.650831101,0.0286285062
0.0750097946,2.90283091,0.0,0.0515330689,0.650360311,0.0283867507
0.0755097946,2.88331791,0.0,0.0512927398,0.649890517,0.0281467587
0.0760097946,2.86394481,0.0,0.0510532659,0.649422831,0.0279085034
0.0765097946,2.84471063,0.0,0.0508164239,0.648956104,0.0276719866
0.0770097946,2.82561436,0.0,0.0505803992,0.648491462,0.0274371816
0.0775097946,2.806655,0.0,0.0503469946,0.648027739,0.0272040904
0.0780097946,2.78783157,0.0,0.0501143696,0.64756608,0.0269726863
0.0785097946,2.76914309,0.0,0.0498843536,0.647105302,0.0267429718
0.0790097946,2.7505886,0.0,0.0496550796,0.646646565,0.02651492
0.0795097946,2.73216711,0.0,0.0494284038,0.64618867,0.026288534
0.0800097946,2.71387769,0.0,0.0492024327,0.645732795,0.0260637867
0.0805097946,2.69571937,0.0,0.0489790496,0.645277724,0.0258406816
0.0810097946,2.67769121,0.0,0.048756334,0.644824652,0.0256191917
0.0815097946,2.65979227,0.0,0.0485361969,0.644372345,0.0253993207
0.0820097946,2.64202164,0.0,0.04831669,0.643922016,0.0251810415
0.0825097946,2.62437837,0.0,0.0480997528,0.643472415,0.0249643584
0.0830097946,2.60686155,0.0,0.0478834086,0.643024771,0.0247492443
0.0835097946,2.58947028,0.0,0.0476696256,0.642577816,0.0245357036
0.0840097946,2.57220365,0.0,0.0474563988,0.642132799,0.0243237093
0.0845097946,2.55506076,0.0,0.0472457253,0.641688433,0.0241132662
0.0850097946,2.53804072,0.0,0.047035571,0.641245985,0.0239043472
0.0855097946,2.52114264,0.0,0.046827963,0.64080415,0.0236969575
0.0860097946,2.50436566,0.0,0.0466208371,0.640364213,0.0234910699
0.0865097946,2.48770888,0.0,0.0464162509,0.639924852,0.02328669
0.0870097946,2.47117146,0.0,0.0462121101,0.63948737,0.0230837906
0.0875097946,2.45475253,0.0,0.0460105028,0.639050425,0.0228823777
0.0880097946,2.43845123,0.0,0.0458093041,0.638615341,0.0226824238
0.0885097946,2.42226673,0.0,0.0456106336,0.638180757,0.0224839355
0.0890097946,2.40619817,0.0,0.0454123348,0.637748014,0.0222868852
0.0895097946,2.39024473,0.0,0.0452165593,0.637315734,0.0220912798
0.0900097946,2.37440557,0.0,0.0450211187,0.636885277,0.0218970917
0.0905097946,2.35867987,0.0,0.0448281973,0.636455244,0.0217043282
0.0910097946,2.34306682,0.0,0.044635574,0.636027017,0.0215129615
0.0915097946,2.3275656,0.0,0.0444454662,0.635599176,0.0213229993
0.0920097946,2.31217541,0.0,0.0442556196,0.635173124,0.0211344138
0.0925097946,2.29689544,0.0,0.0440682856,0.634747419,0.020947213
0.0930097946,2.28172491,0.0,0.043881176,0.634323487,0.0207613691
0.0935097946,2.26666302,0.0,0.0436965764,0.633899864,0.0205768904
0.0940097946,2.251709,0.0,0.0435121644,0.633477996,0.020393749
0.0945097946,2.23686206,0.0,0.0433302606,0.6330564,0.0202119537
0.0950097946,2.22212144,0.0,0.0431485075,0.632636542,0.0200314763
0.0955097946,2.20748637,0.0,0.0429692614,0.632216918,0.0198523262
0.0960097946,2.19295608,0.0,0.042790129,0.631799016,0.019674475
0.0965097946,2.17852983,0.0,0.0426135031,0.631381309,0.0194979323
0.0970097946,2.16420686,0.0,0.0424369537,0.630965308,0.0193226699
0.0975097946,2.14998644,0.0,0.0422629109,0.630549464,0.0191486977
0.0980097946,2.13586781,0.0,0.0420889075,0.630135311,0.0189759871
0.0985097946,2.12185026,0.0,0.0419174113,0.629721276,0.0188045488
0.0990097946,2.10793304,0.0,0.0417459173,0.629308917,0.0186343539
0.0995097946,2.09411544,0.0,0.0415769318,0.628896636,0.0184654134
0.1,2.08066453,0.0,0.0414111982,0.628494019,0.0183009724
0.10005,2.07960273,0.5,0.288321003,0.870958748,0.26523193
0.10015,2.07811016,1.5,0.885284463,1.44839068,0.816563927
0.100262482,2.07791915,2.62481653,2.00334037,2.02241271,1.38884713
0.100369432,2.0790623,3.69431902,3.32452674,2.08028088,1.84714862
0.100466208,2.08109324,4.6620814,4.27129189,2.08196843,2.33103903
0.100571016,2.08434628,5.71015549,5.34271535,2.08536863,2.85506846
0.10077838,2.09400571,7.7838049,7.39256562,2.0946372,3.89190207
0.101,2.10905524,10.0,9.63706193,2.109919,4.99999177
0.101041018,2.11229066,10.0,9.68312489,2.11232799,5.00000005
0.101123055,2.11875883,10.0,9.73630877,2.1187554,5.00000008
0.101287129,2.13167926,10.0,9.75701303,2.13167637,5.00000005
0.101615276,2.15745662,10.0,9.78406667,2.15744986,5.00000008
0.102115276,2.19657154,10.0,9.81596922,2.19656726,5.00000005
0.102615276,2.23549137,10.0,9.84802934,2.23548469,5.00000008
0.103115276,2.27421709,10.0,9.88116586,2.27421302,5.00000005
0.103615276,2.31274966,10.0,9.9144726,2.31274306,5.00000008
0.104115276,2.35109005,10.0,9.94770916,2.35108602,5.00000005
0.104615276,2.38923921,10.0,9.98077057,2.38923263,5.00000008
0.105115276,2.42719811,10.0,10.0136405,2.42719409,5.00000005
0.105615276,2.46496768,10.0,10.0463027,2.46496112,5.00000008
0.106115276,2.50254888,10.0,10.078766,2.50254488,5.00000005
0.106615276,2.53994264,10.0,10.1110208,2.5399361,5.00000008
0.107115276,2.57714989,10.0,10.1430784,2.57714591,5.00000005
0.107615276,2.61417158,10.0,10.1749291,2.61416505,5.00000008
0.108115276,2.65100861,10.0,10.2065844,2.65100465,5.00000005
0.108615276,2.68766193,10.0,10.2380353,2.68765542,5.00000008
0.109115276,2.72413243,10.0,10.2692926,2.72412847,5.00000005
0.109615276,2.76042103,10.0,10.3003474,2.76041454,5.00000008
0.110115276,2.79652865,10.0,10.3312111,2.79652471,5.00000005
0.110615276,2.83245617,10.0,10.3618743,2.8324497,5.00000008
0.111115276,2.86820451,10.0,10.3923481,2.86820058,5.00000005
0.111615276,2.90377455,10.0,10.4226237,2.90376809,5.00000008
0.112115276,2.93916718,10.0,10.4527122,2.93916327,5.00000005
0.112615276,2.9743833,10.0,10.4826043,2.97437685,5.00000008
0.113115276,3.00942377,10.0,10.512311,3.00941986,5.00000005
0.113615276,3.04428947,10.0,10.5418236,3.04428304,5.00000008
0.114115276,3.07898128,10.0,10.571153,3.07897739,5.00000005
0.114615276,3.11350007,10.0,10.6002901,3.11349365,5.00000008
0.115115276,3.14784669,10.0,10.6292461,3.14784281,5.00000005
0.115615276,3.18202201,10.0,10.6580118,3.18201561,5.00000008
0.116115276,3.21602687,10.0,10.6865981,3.216023,5.00000005
0.116615276,3.24986214,10.0,10.7149958,3.24985575,5.00000008
0.117115276,3.28352865,10.0,10.7432163,3.28352479,5.00000005
0.117615276,3.31702725,10.0,10.7712505,3.31702087,5.00000008
0.118115276,3.35035877,10.0,10.7991093,3.35035492,5.00000005
0.118615276,3.38352405,10.0,10.8267836,3.38351769,5.00000008
0.119115276,3.41652392,10.0,10.8542841,3.41652008,5.00000005
0.119615276,3.4493592,10.0,10.8816021,3.44935285,5.00000008
0.120115276,3.48203072,10.0,10.9087486,3.48202688,5.00000005
0.120615276,3.51453928,10.0,10.9357142,3.51453294,5.00000008
0.121115276,3.54688571,10.0,10.9625098,3.54688188,5.00000004
0.121615276,3.5790708,10.0,10.9891267,3.57906447,5.00000008
0.122115276,3.61109538,10.0,11.0155757,3.61109155,5.00000004
0.122615276,3.64296023,10.0,11.0418474,3.6429539,5.00000008
0.123115276,3.67466615,10.0,11.0679529,3.67466233,5.00000004
0.123615276,3.70621394,10.0,11.0938832,3.70620762,5.00000008
0.124115276,3.73760438,10.0,11.1196492,3.73760057,5.00000004
0.124615276,3.76883826,10.0,11.1452417,3.76883195,5.00000008
0.125115276,3.79991637,10.0,11.1706717,3.79991255,5.00000004
0.125615276,3.83083946,10.0,11.19593,3.83083316,5.00000008
0.126115276,3.86160833,10.0,11.2210275,3.86160453,5.00000004
0.126615276,3.89222374,10.0,11.2459551,3.89221745,5.00000008
0.127115276,3.92268646,10.0,11.2707234,3.92268265,5.00000004
0.127615276,3.95299723,10.0,11.2953235,3.95299094,5.00000008
0.128115276,3.98315684,10.0,11.3197663,3.98315303,5.00000004
0.128615276,4.01316602,10.0,11.3440426,4.01315973,5.00000008
0.129115276,4.04302553,10.0,11.3681631,4.04302173,5.00000004
0.129615276,4.07273611,10.0,11.3921191,4.07272983,5.00000008
0.130115276,4.10229852,10.0,11.4159212,4.10229471,5.00000004
0.130615276,4.13171347,10.0,11.4395602,4.13170719,5.00000008
0.131115276,4.16098173,10.0,11.4630468,4.16097792,5.00000004
0.131615276,4.190104,10.0,11.4863717,4.19009772,5.00000008
0.132115276,4.21908103,10.0,11.5095462,4.21907722,5.00000004
0.132615276,4.24791353,10.0,11.5325611,4.24790725,5.00000008
0.133115276,4.27660223,10.0,11.5554273,4.27659841,5.00000004
0.133615276,4.30514784,10.0,11.5781353,4.30514156,5.00000008
0.134115276,4.33355108,10.0,11.6006958,4.33354726,5.00000004
0.134615276,4.36181266,10.0,11.6230997,4.36180638,5.00000008
0.135115276,4.38993328,10.0,11.6453576,4.38992946,5.00000004
0.135615276,4.41791366,10.0,11.6674608,4.41790737,5.00000008
0.136115276,4.44575447,10.0,11.68942,4.44575064,5.00000004
0.136615276,4.47345644,10.0,11.7112258,4.47345014,5.00000008
0.137115276,4.50102023,10.0,11.7328887,4.50101639,5.00000004
0.137615276,4.52844655,10.0,11.7544002,4.52844025,5.00000008
0.138115276,4.55573609,10.0,11.7757708,4.55573223,5.00000004
0.138615276,4.58288951,10.0,11.7969911,4.5828832,5.00000008
0.139115276,4.60990751,10.0,11.8180719,4.60990364,5.00000004
0.139615276,4.63679075,10.0,11.8390043,4.63678443,5.00000008
0.140115276,4.66353991,10.0,11.8597988,4.66353603,5.00000005
