 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @ddiode7_1[id] 
 2.12800000e-05  2.12800000e-05  8.98234634e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -4.44089210e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  6.15063557e-28 
 2.22800000e-05  2.22800000e-05 -1.65669671e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852777e-28 
 2.32800000e-05  2.32800000e-05  5.32736621e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -6.66133815e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  9.23705557e-28 
 2.42800000e-05  2.42800000e-05  1.15312679e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -2.22044605e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  3.08642002e-28 
 2.52800000e-05  2.52800000e-05 -1.69912100e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -8.88178420e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.23234756e-27 
 2.62800000e-05  2.62800000e-05  4.05148832e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852779e-28 
 2.72800000e-05  2.72800000e-05  1.50486435e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -4.44089210e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  6.15063557e-28 
 2.82800000e-05  2.82800000e-05 -1.93243749e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -5.55111512e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  7.70494777e-28 
 2.92800000e-05  2.92800000e-05  3.64330224e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852779e-28 
 3.02800000e-05  3.02800000e-05  1.74372560e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -2.22044605e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  3.08642003e-28 
 3.12800000e-05  3.12800000e-05 -2.26131812e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -8.88178420e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.23234756e-27 
 3.22800000e-05  3.22800000e-05  6.60692977e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00  3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01 -4.61852778e-28 
 3.32800000e-05  3.32800000e-05  2.04962993e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -2.22044605e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  3.08642003e-28 
 3.42800000e-05  3.42800000e-05 -3.20815911e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -9.99200722e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.38555833e-27 
 3.52800000e-05  3.52800000e-05  6.50460572e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -5.55111512e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  7.70494780e-28 
 3.62800000e-05  3.62800000e-05  2.86207459e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -5.55111512e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  7.70494782e-28 
 3.72800000e-05  3.72800000e-05 -2.98996591e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -1.11022302e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.53210774e-28 
 3.82800000e-05  3.82800000e-05 -3.62043872e-26 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -2.22044605e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  3.08642001e-28 
 3.92800000e-05  3.92800000e-05  2.66014458e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -8.88178420e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.23234756e-27 
 4.02800000e-05  4.02800000e-05 -2.45756486e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -4.44089210e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  6.15063553e-28 
 4.12800000e-05  4.12800000e-05 -1.31333304e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852778e-28 
 4.22800000e-05  4.22800000e-05  2.62994921e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852781e-28 
 4.32800000e-05  4.32800000e-05 -2.37040392e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852776e-28 
 4.42800000e-05  4.42800000e-05 -7.58438144e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -7.77156117e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.07691633e-27 
 4.52800000e-05  4.52800000e-05  3.13530420e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852781e-28 
 4.62800000e-05  4.62800000e-05 -2.01262450e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -5.55111512e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  7.70494777e-28 
 4.72800000e-05  4.72800000e-05 -1.28824405e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852777e-28 
 4.82800000e-05  4.82800000e-05  3.37612507e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852782e-28 
 4.92800000e-05  4.92800000e-05 -1.75490964e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -1.11022302e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.53210776e-28 
 5.02800000e-05  5.02800000e-05 -1.55225872e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -4.89181668e-35 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01 -1.55225872e-36 
 5.12800000e-05  5.12800000e-05  3.12895285e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852781e-28 
 5.22800000e-05  5.22800000e-05 -1.78943018e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -7.77156117e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.07691633e-27 
 5.32800000e-05  5.32800000e-05 -1.53656757e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852777e-28 
 5.42800000e-05  5.42800000e-05  3.26869206e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -5.55111512e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  7.70494782e-28 
