time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@ddiode7_1[id]
0.0,0.0,-9.0,-1.55293975,-8.99999431,-1.22428978e-16,-0.791174098,-0.120767574,-0.808234107,1.69058345e-28
1e-08,2.1518209e-25,-9.0,-1.55293975,-8.99999431,5.77315973e-15,-0.791174098,-0.120767574,-0.808234107,-8.00470801e-27
2e-08,6.5069654e-25,-9.0,-1.55293975,-8.99999431,1.16573418e-14,-0.791174098,-0.120767574,-0.808234107,-1.61648472e-26
4e-08,1.62300883e-24,-9.0,-1.55293975,-8.99999431,1.44328993e-14,-0.791174098,-0.120767574,-0.808234107,-2.00128802e-26
8e-08,2.61401656e-24,-9.0,-1.55293975,-8.99999431,-6.66133815e-16,-0.791174098,-0.120767574,-0.808234107,9.23705559e-28
1.6e-07,1.83476829e-24,-9.0,-1.55293975,-8.99999431,-3.33066907e-15,-0.791174098,-0.120767574,-0.808234107,4.61852778e-27
3.2e-07,1.72112286e-25,-9.0,-1.55293975,-8.99999431,-1.11022302e-16,-0.791174098,-0.120767574,-0.808234107,1.53210778e-28
6.4e-07,-1.72932681e-24,-9.0,-1.55293975,-8.99999431,-1.11022302e-15,-0.791174098,-0.120767574,-0.808234107,1.53876911e-27
1.28e-06,-1.49155521e-24,-9.0,-1.55293975,-8.99999431,-4.4408921e-16,-0.791174098,-0.120767574,-0.808234107,6.15063554e-28
2.28e-06,2.57879909e-24,-9.0,-1.55293975,-8.99999431,-5.55111512e-16,-0.791174098,-0.120767574,-0.808234107,7.70494782e-28
3.28e-06,-6.58130953e-25,-9.0,-1.55293975,-8.99999431,-2.07404599e-35,-0.791174098,-0.120767574,-0.808234107,-6.58130953e-37
4.28e-06,-1.83048715e-24,-9.0,-1.55293975,-8.99999431,-3.33066907e-16,-0.791174098,-0.120767574,-0.808234107,4.61852776e-28
5.28e-06,1.93357629e-24,-9.0,-1.55293975,-8.99999431,-7.77156117e-16,-0.791174098,-0.120767574,-0.808234107,1.07691634e-27
6.28e-06,-2.91412084e-25,-9.0,-1.55293975,-8.99999431,-1.11022302e-15,-0.791174098,-0.120767574,-0.808234107,1.53876911e-27
7.28e-06,-1.85030599e-24,-9.0,-1.55293975,-8.99999431,-1.11022302e-15,-0.791174098,-0.120767574,-0.808234107,1.53876911e-27
8.28e-06,1.86914908e-24,-9.0,-1.55293975,-8.99999431,-1.11022302e-15,-0.791174098,-0.120767574,-0.808234107,1.53876911e-27
9.28e-06,1.78487687e-25,-9.0,-1.55293975,-8.99999431,-1.11022302e-15,-0.791174098,-0.120767574,-0.808234107,1.53876911e-27
1.028e-05,-1.84358946e-24,-9.0,-1.55293975,-8.99999431,-7.77156117e-16,-0.791174098,-0.120767574,-0.808234107,1.07691633e-27
1.128e-05,1.79266033e-24,-9.0,-1.55293975,-8.99999431,-6.66133815e-16,-0.791174098,-0.120767574,-0.808234107,9.23705558e-28
1.228e-05,4.33562636e-25,-9.0,-1.55293975,-8.99999431,-3.33066907e-16,-0.791174098,-0.120767574,-0.808234107,4.61852779e-28
1.328e-05,-2.25327573e-24,-9.0,-1.55293975,-8.99999431,-5.55111512e-16,-0.791174098,-0.120767574,-0.808234107,7.70494777e-28
1.428e-05,1.61170247e-24,-9.0,-1.55293975,-8.99999431,-4.4408921e-16,-0.791174098,-0.120767574,-0.808234107,6.15063557e-28
1.528e-05,9.56430881e-25,-9.0,-1.55293975,-8.99999431,-3.33066907e-16,-0.791174098,-0.120767574,-0.808234107,4.61852779e-28
1.628e-05,-2.49094311e-24,-9.0,-1.55293975,-8.99999431,-3.33066907e-16,-0.791174098,-0.120767574,-0.808234107,4.61852776e-28
1.728e-05,1.05881109e-24,-9.0,-1.55293975,-8.99999431,-7.77156117e-16,-0.791174098,-0.120767574,-0.808234107,1.07691633e-27
1.828e-05,1.42805248e-24,-9.0,-1.55293975,-8.99999431,-5.55111512e-16,-0.791174098,-0.120767574,-0.808234107,7.70494781e-28
1.928e-05,-1.82408722e-24,-9.0,-1.55293975,-8.99999431,3.33066907e-16,-0.791174098,-0.120767574,-0.808234107,-4.6185278e-28
2.028e-05,6.08823218e-25,-9.0,-1.55293975,-8.99999431,1.11022302e-16,-0.791174098,-0.120767574,-0.808234107,-1.54321e-28
2.128e-05,8.98234634e-25,-9.0,-1.55293975,-8.99999431,-4.4408921e-16,-0.791174098,-0.120767574,-0.808234107,6.15063557e-28
2.228e-05,-1.65669671e-24,-9.0,-1.55293975,-8.99999431,-3.33066907e-16,-0.791174098,-0.120767574,-0.808234107,4.61852777e-28
2.328e-05,5.32736621e-25,-9.0,-1.55293975,-8.99999431,-6.66133815e-16,-0.791174098,-0.120767574,-0.808234107,9.23705557e-28
2.428e-05,1.15312679e-24,-9.0,-1.55293975,-8.99999431,-2.22044605e-16,-0.791174098,-0.120767574,-0.808234107,3.08642002e-28
2.528e-05,-1.699121e-24,-9.0,-1.55293975,-8.99999431,-8.8817842e-16,-0.791174098,-0.120767574,-0.808234107,1.23234756e-27
2.628e-05,4.05148832e-25,-9.0,-1.55293975,-8.99999431,-3.33066907e-16,-0.791174098,-0.120767574,-0.808234107,4.61852779e-28
2.728e-05,1.50486435e-24,-9.0,-1.55293975,-8.99999431,-4.4408921e-16,-0.791174098,-0.120767574,-0.808234107,6.15063557e-28
2.828e-05,-1.93243749e-24,-9.0,-1.55293975,-8.99999431,-5.55111512e-16,-0.791174098,-0.120767574,-0.808234107,7.70494777e-28
