time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011)
0.0,-24.99993,-25.0,24.99993,25.0,0.00439999957,0.00416592302,-0.0318340726,0.0,0.00416592297,-0.0318340726,0.0
1e-07,-24.99993,-25.0,24.99993,25.0,0.0044118843,0.00416742344,-0.0318047328,1.18848018e-05,0.00416592297,-0.0318249039,1.25663698e-05
2e-07,-24.99993,-25.0,24.99993,25.0,0.00442389281,0.00417040493,-0.0317451744,2.38934322e-05,0.00416592298,-0.0317999884,2.51327346e-05
4e-07,-24.99993,-25.0,24.99993,25.0,0.00444791215,0.00417919755,-0.0315725125,4.79131233e-05,0.00416592298,-0.0317117728,5.02654295e-05
8e-07,-24.99993,-25.0,24.99993,25.0,0.00449594803,0.00420958487,-0.0309880822,9.59503611e-05,0.00416592304,-0.0313008438,0.000100530542
1.6e-06,-24.99993,-25.0,24.99993,25.0,0.00459201052,0.0042941826,-0.0293760102,0.000192018186,0.00416592335,-0.029857234,0.000201058543
3.2e-06,-24.99993,-25.0,24.99993,25.0,0.00478410432,0.00448495846,-0.0257506769,0.000384133129,0.00416592498,-0.0262589745,0.000402096767
6.28057378e-06,-24.99993,-25.0,24.99993,25.0,0.00515378917,0.00485488318,-0.0187225172,0.000753898009,0.00416593203,-0.0192196501,0.000789035354
1.09832796e-05,-24.99993,-25.0,24.99993,25.0,0.00571745168,0.00541804309,-0.00802269448,0.00131778246,0.00416595278,-0.00852608529,0.00137910437
2.03886912e-05,-24.99993,-25.0,24.99993,25.0,0.00684048885,0.00654095435,0.0133109401,0.00244162405,0.00416603031,0.0128159183,0.00255511637
3.03886912e-05,-24.99993,-25.0,24.99993,25.0,0.00802458071,0.00772482332,0.0358019472,0.00362709552,0.00416616516,0.0353073462,0.00379559427
4.03886912e-05,-24.99993,-25.0,24.99993,25.0,0.00919384663,0.00889441009,0.0580202713,0.00479827589,0.0041663535,0.0575367773,0.0050210927
