circuit,model,input_type,n,score_mean,score_median,score_std,top1_accuracy_pct,top3_accuracy_pct,major_errors_mean,hallucinations_mean,missed_points_mean,model_cost_mean_usd,model_cost_mean_usd_cached,model_latency_mean_seconds,quality_per_dollar,quality_per_second,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
,gpt-4o-mini,,16,12.1875,12.5,1.7036266463048764,43.75,68.75,3.25,2.25,3.8125,0.00347094375,0.00347094375,21.676625,3511.292858030327,0.5622415851176094,1.9375,2.0,1.375,1.75,1.375,2.125,1.625
,gpt-4.1-mini,,16,15.625,17.0,2.6190408549696205,56.25,81.25,2.4375,2.5,2.875,0.005767850000000001,0.005767850000000001,28.2684375,2708.981682949452,0.5527365989011597,2.375,2.5625,2.0625,2.1875,1.875,2.8125,1.75
,gpt-4.1-nano,,16,11.625,12.0,1.8328597873268975,25.0,75.0,3.3125,3.0625,3.625,0.0013461125000000002,0.0013461125000000002,17.285375000000002,8635.979533657104,0.67253386171836,1.9375,2.0,1.1875,1.625,1.1875,2.375,1.3125
,gpt-5-nano,,16,13.1875,14.0,2.554866679496212,31.25,93.75,3.1875,3.5,3.25,0.0016767312500000002,0.0016767312500000002,27.0131875,7865.005199849408,0.48818748250275906,1.9375,2.1875,1.75,1.9375,1.5,2.625,1.25
,gpt-5-mini,,16,17.4375,18.0,2.262983373778959,68.75,100.0,1.5625,1.875,2.3125,0.00769853125,0.00769853125,38.071937500000004,2265.0424391016145,0.4580145152843876,2.8125,2.875,2.625,2.3125,1.9375,2.9375,1.9375
,gpt-5.4-nano,,16,14.625,14.5,1.996089927833914,43.75,87.5,2.8125,2.375,3.0,0.004959121875,0.004959121875,20.2710625,2949.1108241819525,0.7214718024770532,2.3125,2.625,1.8125,1.8125,1.5,2.9375,1.625
,gpt-5.4-mini,,16,17.375,19.0,3.3888604279314896,75.0,81.25,1.125,1.3125,1.9375,0.01611234375,0.01611234375,18.2930625,1078.365771584286,0.9498136247006207,2.625,2.75,2.5,2.375,2.1875,2.875,2.0625
,gpt-5.4,,16,18.9375,19.0,1.5995604865087159,81.25,93.75,0.875,0.875,1.375,0.0689159375,0.0689159375,52.921125,274.7912991824279,0.3578438666978451,2.8125,2.9375,2.9375,2.5,2.375,3.0,2.375
