circuit,model,input_type,n,score_mean,score_median,score_std,top1_accuracy_pct,top3_accuracy_pct,major_errors_mean,hallucinations_mean,missed_points_mean,model_cost_mean_usd,model_cost_mean_usd_cached,model_latency_mean_seconds,quality_per_dollar,quality_per_second,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
b03,,JSON + datasheet,8,14.875,15.0,3.018174116912409,62.5,75.0,2.5,2.25,3.0,0.01308760625,0.01308760625,26.382625,1136.5714796011684,0.5638180431249733,2.125,2.75,2.125,1.75,1.75,2.5,1.875
b03,,JSON + immagine + datasheet,8,15.0,14.5,3.9370039370059056,37.5,62.5,2.375,2.375,2.5,0.012794274999999999,0.012794274999999999,22.715875,1172.3993739387345,0.6603311560747714,2.375,2.75,2.125,1.75,1.625,2.75,1.625
b06,,JSON + datasheet,8,16.125,15.5,2.8912583765550943,50.0,75.0,2.0,2.375,2.5,0.01052976875,0.01052976875,23.962625,1531.3726619114973,0.6729229372825389,2.25,2.875,2.5,2.25,2.0,2.5,1.75
b06,,JSON + immagine + datasheet,8,15.875,16.0,2.9341736485763756,75.0,87.5,2.25,2.25,2.625,0.013256737499999999,0.013256737499999999,25.4235,1197.504287913976,0.6244222864672448,2.375,2.375,2.25,2.25,2.25,2.625,1.75
c01,,JSON + datasheet,8,12.875,11.5,4.2260353760942415,12.5,75.0,3.0,2.75,3.5,0.0116822,0.0116822,29.759,1102.104055742925,0.432642225881246,2.0,2.5,1.75,1.625,1.125,2.5,1.375
c01,,JSON + immagine + datasheet,8,14.375,14.5,3.7728470681966426,25.0,75.0,2.75,2.5,3.125,0.012718262499999999,0.012718262499999999,28.1625,1130.2644523967012,0.5104305370616955,2.375,2.625,1.75,2.125,1.125,2.75,1.625
c02,,JSON + datasheet,8,17.125,19.0,3.2572035551988456,75.0,100.0,1.125,1.75,2.0,0.01051505625,0.01051505625,26.65825,1628.6170604175322,0.6423902544240526,2.25,2.75,2.25,2.5,2.5,2.75,2.125
c02,,JSON + immagine + datasheet,8,14.375,14.0,2.9973947020704497,87.5,100.0,2.375,2.625,2.5,0.01482375625,0.01482375625,27.67075,969.7272241642532,0.5195016398182196,2.0,2.625,1.375,2.0,2.25,2.75,1.375
c05,,JSON + datasheet,8,14.375,14.0,3.6033838263498934,50.0,100.0,2.5,1.875,2.875,0.015767625,0.015767625,28.962,911.6782013778233,0.496340031765762,2.5,2.0,2.0,2.0,1.625,2.625,1.625
c05,,JSON + immagine + datasheet,8,15.625,15.0,4.0600954422279285,87.5,100.0,2.25,2.0,2.375,0.0171500125,0.0171500125,29.289125,911.078053150107,0.5334744551091916,2.625,2.125,1.75,2.375,2.25,2.75,1.75
c08,,JSON + datasheet,8,13.25,11.5,3.2691742076555053,37.5,62.5,3.0,2.25,2.875,0.0159638,0.0159638,29.075,830.0028815194377,0.45571797076526227,2.25,2.125,2.0,1.5,1.25,2.5,1.625
c08,,JSON + immagine + datasheet,8,14.0,13.0,2.7838821814150108,25.0,62.5,2.875,2.5,3.0,0.01715753125,0.01715753125,30.738875,815.9682063816728,0.45544932922886733,2.375,2.125,2.0,1.875,1.375,2.625,1.625
c13,,JSON + datasheet,8,16.375,16.5,2.2325713874364688,62.5,87.5,2.25,1.75,2.875,0.014099193749999999,0.014099193749999999,29.111875,1161.413928367358,0.5624852401296722,2.625,2.875,2.0,2.125,1.875,3.0,1.875
c13,,JSON + immagine + datasheet,8,16.0,16.0,2.6457513110645907,50.0,100.0,2.125,2.625,2.75,0.0157990375,0.0157990375,30.940125000000002,1012.7199204381911,0.5171278396580492,2.375,2.625,2.0,2.375,1.75,3.0,1.875
c17,,JSON + datasheet,8,14.5,14.0,1.7320508075688772,12.5,100.0,2.375,1.75,3.375,0.01140740625,0.01140740625,28.586875,1271.1040250714311,0.5072257810621134,2.25,2.125,2.25,2.0,1.125,2.875,1.875
c17,,JSON + immagine + datasheet,8,17.25,17.0,2.222048604328897,100.0,100.0,1.375,1.875,2.5,0.013142875,0.013142875,30.162625000000002,1312.4982167143794,0.5718998263579512,2.75,2.625,2.375,2.5,2.0,2.875,2.125
