circuit,model,score_json,score_json_img,delta_score_image,top1_json,top1_json_img,top3_json,top3_json_img,cost_json_usd,cost_json_img_usd,delta_cost_image_usd,latency_json_seconds,latency_json_img_seconds,delta_latency_image_seconds
b03,gpt-4o-mini,10.0,10.0,0.0,False,False,False,False,0.00127005,0.0050637,0.00379365,14.092,15.731,1.6389999999999993
b03,gpt-4.1-mini,12.0,18.0,6.0,False,True,False,True,0.004614,0.0049076,0.00029359999999999976,25.524,17.71,-7.814
b03,gpt-4.1-nano,14.0,11.0,-3.0,True,False,True,False,0.0010559,0.0012838,0.00022790000000000006,15.187,13.647,-1.5399999999999991
b03,gpt-5-nano,16.0,12.0,-4.0,True,False,True,True,0.0014555000000000002,0.001734,0.0002784999999999999,25.842,23.881,-1.9609999999999985
b03,gpt-5-mini,20.0,17.0,-3.0,True,False,True,True,0.0073595,0.00612325,-0.0012362499999999995,37.417,25.177,-12.240000000000002
b03,gpt-5.4-nano,13.0,12.0,-1.0,False,False,True,False,0.004836399999999999,0.0040711,-0.0007652999999999991,20.429,16.308,-4.120999999999999
b03,gpt-5.4-mini,17.0,21.0,4.0,True,True,True,True,0.0124245,0.015428250000000001,0.003003750000000001,16.889,16.797,-0.09199999999999875
b03,gpt-5.4,17.0,19.0,2.0,True,True,True,True,0.071685,0.0637425,-0.007942500000000005,55.681,52.476,-3.2049999999999983
b06,gpt-4o-mini,14.0,16.0,2.0,False,True,False,True,0.00132435,0.0052223999999999994,0.0038980499999999993,16.765,23.057,6.291999999999998
b06,gpt-4.1-mini,18.0,12.0,-6.0,True,False,True,True,0.005232400000000001,0.005329200000000001,9.680000000000018e-05,22.453,16.468,-5.984999999999999
b06,gpt-4.1-nano,11.0,12.0,1.0,False,True,False,True,0.0011165,0.0013112000000000002,0.00019470000000000012,15.218,10.073,-5.145
b06,gpt-5-nano,15.0,14.0,-1.0,True,True,True,True,0.0014924,0.0015229000000000002,3.0500000000000145e-05,30.14,19.65,-10.490000000000002
b06,gpt-5-mini,16.0,20.0,4.0,False,True,True,True,0.006736000000000001,0.00693975,0.00020374999999999907,31.309,45.081,13.772000000000002
b06,gpt-5.4-nano,15.0,16.0,1.0,False,True,True,True,0.004565,0.0047797000000000004,0.00021470000000000083,22.819,20.709,-2.1099999999999994
b06,gpt-5.4-mini,20.0,20.0,0.0,True,True,True,True,0.0127365,0.01424625,0.0015097500000000007,14.931,16.207,1.2760000000000016
b06,gpt-5.4,20.0,17.0,-3.0,True,False,True,False,0.051035,0.0667025,0.0156675,38.066,52.143,14.076999999999998
c01,gpt-4o-mini,10.0,10.0,0.0,False,False,True,False,0.0012771,0.005067149999999999,0.0037900499999999997,17.333,20.392,3.059000000000001
c01,gpt-4.1-mini,17.0,16.0,-1.0,False,False,True,True,0.0046952,0.0050464,0.0003512000000000003,69.499,49.224,-20.275
c01,gpt-4.1-nano,9.0,12.0,3.0,False,False,True,True,0.0011166000000000001,0.0012225,0.00010589999999999992,20.134,15.68,-4.454000000000001
c01,gpt-5-nano,8.0,9.0,1.0,False,False,True,True,0.0016218500000000002,0.00146075,-0.00016110000000000018,21.954,19.055,-2.899000000000001
c01,gpt-5-mini,18.0,19.0,1.0,False,True,True,True,0.00698325,0.007571,0.0005877499999999997,32.898,36.904,4.006
c01,gpt-5.4-nano,13.0,13.0,0.0,False,False,False,True,0.0044598500000000004,0.0039533,-0.0005065500000000006,18.202,16.128,-2.0740000000000016
c01,gpt-5.4-mini,9.0,16.0,7.0,False,False,False,False,0.013361250000000002,0.014835,0.0014737499999999976,15.191,16.905,1.7140000000000004
c01,gpt-5.4,19.0,20.0,1.0,True,True,True,True,0.059942499999999996,0.06258999999999999,0.002647499999999997,42.861,51.012,8.151000000000003
c02,gpt-4o-mini,13.0,13.0,0.0,True,True,True,True,0.0013862999999999998,0.0051823500000000005,0.0037960500000000005,17.284,21.297,4.013000000000002
c02,gpt-4.1-mini,19.0,14.0,-5.0,True,True,True,True,0.004916,0.0054336,0.0005176,40.283,19.568,-20.715
c02,gpt-4.1-nano,11.0,9.0,-2.0,False,False,True,True,0.0010582,0.0013997000000000002,0.0003415000000000002,13.598,11.592,-2.0060000000000002
c02,gpt-5-nano,16.0,13.0,-3.0,False,True,True,True,0.00155385,0.0015723500000000001,1.850000000000007e-05,25.451,21.396,-4.055
c02,gpt-5-mini,19.0,15.0,-4.0,True,True,True,True,0.00712125,0.007413,0.00029175000000000034,41.051,35.904,-5.1469999999999985
c02,gpt-5.4-nano,19.0,14.0,-5.0,True,True,True,True,0.0052121,0.00472305,-0.0004890499999999996,24.312,20.74,-3.5720000000000027
c02,gpt-5.4-mini,19.0,17.0,-2.0,True,True,True,True,0.01193025,0.019956,0.008025750000000002,12.451,25.062,12.611
c02,gpt-5.4,21.0,20.0,-1.0,True,True,True,True,0.050942499999999995,0.07291,0.021967500000000008,38.836,65.807,26.971000000000004
c05,gpt-4o-mini,12.0,11.0,-1.0,True,True,True,True,0.00229125,0.0061353,0.00384405,17.45,36.587,19.137000000000004
c05,gpt-4.1-mini,17.0,19.0,2.0,True,True,True,True,0.008407600000000001,0.008238800000000001,-0.0001688000000000002,30.849,23.066,-7.783000000000001
c05,gpt-4.1-nano,9.0,14.0,5.0,False,True,True,True,0.0017823000000000001,0.0019914,0.00020909999999999982,19.094,12.851,-6.243
c05,gpt-5-nano,11.0,10.0,-1.0,False,False,True,True,0.0017783,0.0020356000000000003,0.00025730000000000024,32.423,26.362,-6.0610000000000035
c05,gpt-5-mini,16.0,16.0,0.0,False,True,True,True,0.008531500000000001,0.01031525,0.0017837499999999989,42.316,45.431,3.114999999999995
c05,gpt-5.4-nano,12.0,13.0,1.0,False,True,True,True,0.00667505,0.0051660000000000005,-0.0015090499999999996,22.729,14.374,-8.354999999999999
c05,gpt-5.4-mini,19.0,21.0,2.0,True,True,True,True,0.022004999999999997,0.01838025,-0.003624749999999996,21.638,16.592,-5.046000000000003
c05,gpt-5.4,19.0,21.0,2.0,True,True,True,True,0.07467,0.0849375,0.010267499999999999,45.197,59.05,13.852999999999994
c08,gpt-4o-mini,11.0,12.0,1.0,False,False,False,True,0.00219615,0.005960399999999999,0.0037642499999999994,17.059,19.138,2.0790000000000006
c08,gpt-4.1-mini,11.0,12.0,1.0,False,False,False,False,0.007282,0.0081036,0.0008216000000000005,27.498,25.007,-2.4909999999999997
c08,gpt-4.1-nano,9.0,12.0,3.0,False,False,True,False,0.0016717,0.0018176000000000002,0.00014590000000000024,19.03,27.186,8.155999999999999
c08,gpt-5-nano,12.0,14.0,2.0,False,False,True,False,0.0019936,0.0020145000000000002,2.0900000000000345e-05,32.562,34.11,1.5480000000000018
c08,gpt-5-mini,18.0,11.0,-7.0,True,False,True,True,0.009564,0.00957975,1.575000000000014e-05,39.217,39.686,0.4690000000000012
c08,gpt-5.4-nano,17.0,15.0,-2.0,True,False,True,True,0.00609645,0.00592115,-0.00017529999999999976,22.279,22.575,0.2959999999999994
c08,gpt-5.4-mini,11.0,16.0,5.0,False,True,False,True,0.0206265,0.02209575,0.0014692500000000018,20.698,23.441,2.7429999999999986
c08,gpt-5.4,17.0,20.0,3.0,True,True,True,True,0.07828,0.08176749999999999,0.0034874999999999906,54.257,54.768,0.5110000000000028
c13,gpt-4o-mini,13.0,13.0,0.0,True,False,True,True,0.0015747,0.00538215,0.0038074499999999996,24.728,24.508,-0.22000000000000242
c13,gpt-4.1-mini,17.0,17.0,0.0,True,True,True,True,0.0053688,0.0057680000000000006,0.0003992000000000006,19.59,19.164,-0.4259999999999984
c13,gpt-4.1-nano,14.0,13.0,-1.0,False,False,False,True,0.0011842,0.0013881000000000002,0.00020390000000000013,11.739,18.69,6.9510000000000005
c13,gpt-5-nano,15.0,15.0,0.0,False,False,True,True,0.0015830500000000001,0.0018855500000000002,0.00030250000000000003,30.994,31.211,0.21699999999999875
c13,gpt-5-mini,17.0,19.0,2.0,True,True,True,True,0.00796325,0.008207,0.0002437500000000009,38.327,43.869,5.542000000000002
c13,gpt-5.4-nano,16.0,13.0,-3.0,False,True,True,True,0.0050893,0.0049315,-0.0001577999999999996,22.801,20.521,-2.2799999999999976
c13,gpt-5.4-mini,20.0,19.0,-1.0,True,True,True,True,0.01690275,0.01722,0.0003172499999999981,25.827,19.114,-6.713000000000001
c13,gpt-5.4,19.0,19.0,0.0,True,False,True,True,0.0731275,0.08161,0.008482500000000004,58.889,70.444,11.555
c17,gpt-4o-mini,13.0,14.0,1.0,False,True,True,True,0.00112605,0.0050757,0.00394965,42.169,19.236,-22.932999999999996
c17,gpt-4.1-mini,14.0,17.0,3.0,False,True,True,True,0.0043708,0.0045716,0.0002008000000000001,21.972,24.42,2.4480000000000004
c17,gpt-4.1-nano,12.0,14.0,2.0,False,True,True,True,0.0009335000000000001,0.0012046000000000001,0.00027110000000000003,21.977,30.87,8.893
c17,gpt-5-nano,14.0,17.0,3.0,False,True,True,True,0.0015125000000000002,0.001611,9.849999999999985e-05,31.448,25.732,-5.716000000000001
c17,gpt-5-mini,18.0,20.0,2.0,True,True,True,True,0.0055425000000000006,0.00722625,0.0016837499999999995,27.61,46.954,19.344
c17,gpt-5.4-nano,16.0,17.0,1.0,False,True,True,True,0.0043119,0.0045541,0.00024220000000000057,20.43,18.981,-1.448999999999998
c17,gpt-5.4-mini,14.0,19.0,5.0,False,True,True,True,0.012657,0.012992249999999999,0.00033524999999999874,14.311,16.635,2.3240000000000016
c17,gpt-5.4,15.0,20.0,5.0,False,True,True,True,0.060805,0.0679075,0.007102499999999998,48.778,58.473,9.695
