diagram_id,n_component_nodes,n_connected_to_edges,n_diagram_nodes,n_edges_total,n_has_component_edges,n_has_net_edges,n_has_terminal_edges,n_net_nodes,n_nodes_total,n_suspicious_terminal_matches,n_terminal_nodes,n_terminals_matched,n_terminals_unmatched,terminal_match_confidence_counts
1,9,16,1,49,9,8,16,8,34,0,16,16,0,"{""high"": 0, ""medium"": 0, ""low"": 0, ""none"": 0}"
2,15,26,1,79,15,12,26,12,54,0,26,26,0,"{""high"": 0, ""medium"": 0, ""low"": 0, ""none"": 0}"
3,12,22,1,67,12,11,22,11,46,0,22,22,0,"{""high"": 0, ""medium"": 0, ""low"": 0, ""none"": 0}"
4,6,12,1,35,6,5,12,5,24,0,12,12,0,"{""high"": 0, ""medium"": 0, ""low"": 0, ""none"": 0}"
5,7,14,1,40,7,5,14,5,27,0,14,14,0,"{""high"": 0, ""medium"": 0, ""low"": 0, ""none"": 0}"
6,12,24,1,67,12,7,24,7,44,0,24,24,0,"{""high"": 0, ""medium"": 0, ""low"": 0, ""none"": 0}"
