 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)        
 1.69362803e-02  1.69362803e-02  1.80000000e+01  8.92204929e+00  8.92232056e+00  1.14606031e+00 -7.79504663e-02  1.19949112e-02  8.93391573e+00 -7.49594063e+00  2.53685874e-03 
 1.69369053e-02  1.69369053e-02  1.80000000e+01  8.92277318e+00  8.92301986e+00  1.16298800e+00 -7.72265785e-02  1.26936547e-02  8.94412493e+00 -7.47784488e+00  3.07998349e-03 
 1.69381553e-02  1.69381553e-02  1.80000000e+01  8.92422453e+00  8.92444053e+00  1.20666589e+00 -7.57752412e-02  1.41122800e-02  8.96320259e+00 -7.43184184e+00  4.11491350e-03 
 1.69406553e-02  1.69406553e-02  1.80000000e+01  8.92714115e+00  8.92731932e+00  1.32779915e+00 -7.28586339e-02  1.69837369e-02  8.99601999e+00 -7.30611537e+00  5.80777517e-03 
 1.69456553e-02  1.69456553e-02  1.80000000e+01  8.93302761e+00  8.93315722e+00  1.67290764e+00 -6.69722131e-02  2.27970445e-02  9.04476443e+00 -6.95213063e+00  8.25377442e-03 
 1.69556553e-02  1.69556553e-02  1.80000000e+01  8.94499292e+00  8.94508290e+00  2.61353188e+00 -5.50069654e-02  3.46494387e-02  9.10215529e+00 -5.99541737e+00  1.08289866e-02 
 1.69656553e-02  1.69656553e-02  1.80000000e+01  8.95717530e+00  8.95723585e+00  3.73328487e+00 -4.28246303e-02  4.67119249e-02  9.13178037e+00 -4.86220558e+00  1.18155186e-02 
 1.69756553e-02  1.69756553e-02  1.80000000e+01  8.96952668e+00  8.96957227e+00  4.92611278e+00 -3.04732860e-02  5.89510255e-02  9.15179695e+00 -3.65884664e+00  1.22431082e-02 
 1.69856553e-02  1.69856553e-02  1.80000000e+01  8.98199831e+00  8.98202804e+00  6.15276741e+00 -1.80016775e-02  7.13063592e-02  9.16801743e+00 -2.42471096e+00  1.24357527e-02 
 1.69956553e-02  1.69956553e-02  1.80000000e+01  8.99454098e+00  8.99455710e+00  7.39665455e+00 -5.45902469e-03  8.37334049e-02  9.18254032e+00 -1.17644719e+00  1.25276840e-02 
 1.70056553e-02  1.70056553e-02  1.80000000e+01  9.00710518e+00  9.00710825e+00  8.64893169e+00  7.10517244e-03  9.61817609e-02  9.19597953e+00  7.70788075e-02  1.25425389e-02 
 1.70156553e-02  1.70156553e-02  1.80000000e+01  9.01964132e+00  9.01963148e+00  9.90328169e+00  1.96413287e-02  1.08601946e-01  9.20851897e+00  1.32954528e+00  1.25074916e-02 
 1.70256553e-02  1.70256553e-02  1.80000000e+01  9.03209993e+00  9.03207673e+00  1.11542562e+01  3.20999696e-02  1.20944364e-01  9.22018643e+00  2.57551383e+00  1.24137540e-02 
 1.70356553e-02  1.70356553e-02  1.80000000e+01  9.04443185e+00  9.04439415e+00  1.23967048e+01  4.44319266e-02  1.33159581e-01  9.23096000e+00  3.80985726e+00  1.22758722e-02 
 1.70456553e-02  1.70456553e-02  1.80000000e+01  9.05658841e+00  9.05653400e+00  1.36255865e+01  5.65885311e-02  1.45198279e-01  9.24080051e+00  5.02757046e+00  1.20822640e-02 
 1.70556553e-02  1.70556553e-02  1.80000000e+01  9.06852162e+00  9.06844626e+00  1.48358871e+01  6.85218065e-02  1.57010845e-01  9.24965857e+00  6.22368734e+00  1.18448224e-02 
 1.70656553e-02  1.70656553e-02  1.80000000e+01  9.08018440e+00  9.08007874e+00  1.60224992e+01  8.01846576e-02  1.68545511e-01  9.25746049e+00  7.39316140e+00  1.15505443e-02 
 1.70756553e-02  1.70756553e-02  1.80000000e+01  9.09153071e+00  9.08331240e+00  1.68247840e+01  9.15310565e-02  1.71705756e-01  9.17505380e+00  8.17590587e+00  4.25034889e-03 
