time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009)
0.000339490735,18.0,9.16920275,9.07866307,16.8696224,0.169207628,0.167044785,9.07900311,7.30889081,-0.00126423862
0.000349490735,18.0,9.16217369,9.07864492,16.8700872,0.16217873,0.167026554,9.07857615,7.29110758,0.000865969863
0.000359490735,18.0,9.15450458,9.0786791,16.8713379,0.154509786,0.167060675,9.07899954,7.2741532,-0.00116444913
0.000369490735,18.0,9.14622571,9.07866334,16.8718351,0.146231062,0.167044837,9.07861205,7.25648913,0.00077243005
0.000379490735,18.0,9.13736974,9.07869516,16.8730468,0.137375231,0.167076597,9.07899772,7.23958222,-0.00107364671
0.000389490735,18.0,9.12797162,9.07868157,16.8735733,0.127977243,0.16706293,9.07864612,7.22203358,0.000687452042
0.000399490735,18.0,9.11806844,9.07871125,16.8747491,0.118074187,0.16709254,9.0789975,7.20517692,-0.000991015893
0.000409490735,18.0,9.10769928,9.07869962,16.8753017,0.107705147,0.167080845,9.07867852,7.18774032,0.000610258324
0.000419490735,18.0,9.09690508,9.07872734,16.8764446,0.0969110429,0.167108496,9.07899871,7.1709364,-0.000915815274
0.000429490735,18.0,9.08572842,9.0787175,16.8770207,0.0857344756,0.167098591,9.07870939,7.15360869,0.000540141959
0.000430740735,18.0,9.08430663,9.07872673,16.8772499,0.0843126943,0.167107807,9.07884301,7.15160313,-0.000108549615
0.000433240735,18.0,9.08144753,9.07873026,16.8774838,0.0814536172,0.167111326,9.07886809,7.14736902,-0.000221169384
0.000433865735,18.0,9.08072959,9.07873025,16.8775288,0.0807356801,0.167111312,9.07885984,7.14629752,-0.00017829862
0.000435115735,18.0,9.07928998,9.07873021,16.877613,0.0792960817,0.167111261,9.07884398,7.14414899,-0.00016723635
0.000435428235,18.0,9.07892931,9.07857653,16.8747733,0.0789354144,0.166957613,9.07644268,7.14075168,-0.000864133949
0.000436053235,18.0,9.07820706,9.07792416,16.8619164,0.0782131681,0.166305481,9.06639334,7.12678137,-0.0029415808
0.000437303235,18.0,9.07675895,9.07652485,16.8249687,0.0767650684,0.164907591,9.0465152,7.08761657,-0.0032719319
0.000439803235,18.0,9.07384861,9.07366271,16.7151058,0.0738547527,0.162051695,9.01199513,6.97337073,-0.00567545346
0.000444803235,18.0,9.067974,9.06783368,16.3859816,0.0679801764,0.156245708,8.96055705,6.63577442,-0.00774559327
0.000454803235,18.0,9.05602939,9.05594141,15.462938,0.0560356228,0.14442506,8.90065145,5.69740786,-0.0109574997
0.000464803235,18.0,9.04386364,9.04379976,14.3503129,0.0438699221,0.132373194,8.86996422,4.57205843,-0.0115378814
0.000474803235,18.0,9.03152476,9.03147852,13.160791,0.031531087,0.120148972,8.84964316,3.37272539,-0.0124309186
0.000484803235,18.0,9.01906146,9.01903064,11.9359326,0.019067813,0.107801373,8.83325066,2.14109784,-0.0122061282
0.000494803235,18.0,9.00652292,9.00650589,10.6930138,0.00652928708,0.0953785397,8.81863582,0.894509175,-0.0127154584
0.000504803235,18.0,8.99395863,8.99395465,9.44115394,-0.00603500695,0.0829300609,8.80512035,-0.357896182,-0.0123401548
0.000514803235,18.0,8.98141817,8.98142709,8.1867507,-0.0185754836,0.070505544,8.79250846,-1.60971477,-0.0126892353
0.000524803235,18.0,8.96895102,8.96897326,6.93528237,-0.0310426512,0.0581545818,8.78076698,-2.85547698,-0.0122350919
0.000534803235,18.0,8.9566064,8.95664303,5.69191026,-0.0433873077,0.0459266283,8.76991629,-4.09004376,-0.0124519074
0.000544803235,18.0,8.94443303,8.94448616,4.46167983,-0.0555607344,0.0338710107,8.75999489,-5.30840424,-0.0119258239
0.000554803235,18.0,8.93247893,8.93255262,3.24960561,-0.0675148881,0.0220373062,8.75105149,-6.50559126,-0.0120161106
0.000564803235,18.0,8.9207913,8.92090601,2.06129674,-0.0792025915,0.0104886578,8.74328588,-7.67605596,-0.0114053976
0.000574803235,18.0,8.90941626,8.91584286,1.17751172,-0.0905777184,0.00550401335,8.80564572,-8.53948467,-0.00597184769
0.000584803235,18.0,8.8983987,8.92505544,1.1735511,-0.101595376,0.0147314483,8.9807738,-8.52211881,0.00607816458
