 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)        
 3.52800000e-03  3.52800000e-03  5.00000000e+00  3.99275737e-02  1.51817764e+00  8.77830380e-01  3.27213604e+00  1.89461719e-01 
 3.62800000e-03  3.62800000e-03  5.00000000e+00  3.79590217e-02  1.51717992e+00  8.76899106e-01  3.27614352e+00  1.92889875e-01 
 3.72800000e-03  3.72800000e-03  5.00000000e+00  3.58406629e-02  1.51618839e+00  8.75959892e-01  3.27929557e+00  1.95453531e-01 
 3.82800000e-03  3.82800000e-03  5.00000000e+00  3.35808573e-02  1.51520744e+00  8.75016983e-01  3.28158791e+00  1.97151015e-01 
 3.92800000e-03  3.92800000e-03  5.00000000e+00  3.11885235e-02  1.51424141e+00  8.74074599e-01  3.28301790e+00  1.97982319e-01 
 4.02800000e-03  4.02800000e-03  5.00000000e+00  2.86731028e-02  1.51329450e+00  8.73136922e-01  3.28358602e+00  1.97950544e-01 
 4.12800000e-03  4.12800000e-03  5.00000000e+00  2.60445224e-02  1.51237081e+00  8.72208086e-01  3.28329462e+00  1.97060634e-01 
 4.22800000e-03  4.22800000e-03  5.00000000e+00  2.33131562e-02  1.51147432e+00  8.71292160e-01  3.28214929e+00  1.95320796e-01 
 4.32800000e-03  4.32800000e-03  5.00000000e+00  2.04897837e-02  1.51060886e+00  8.70393145e-01  3.28015769e+00  1.92741215e-01 
 4.42800000e-03  4.42800000e-03  5.00000000e+00  1.75855473e-02  1.50977811e+00  8.69514951e-01  3.27733084e+00  1.89335460e-01 
 4.52800000e-03  4.52800000e-03  5.00000000e+00  1.46119088e-02  1.50898558e+00  8.68661393e-01  3.27368190e+00  1.85119169e-01 
 4.62800000e-03  4.62800000e-03  5.00000000e+00  1.15806038e-02  1.50823462e+00  8.67836173e-01  3.26922755e+00  1.80111435e-01 
 4.72800000e-03  4.72800000e-03  5.00000000e+00  8.50359543e-03  1.50752838e+00  8.67042870e-01  3.26398661e+00  1.74333465e-01 
 4.82800000e-03  4.82800000e-03  5.00000000e+00  5.39302725e-03  1.50686981e+00  8.66284926e-01  3.25798148e+00  1.67809934e-01 
