circuit,model,input_type,n,score_mean,score_median,score_std,top1_accuracy_pct,top3_accuracy_pct,major_errors_mean,hallucinations_mean,missed_points_mean,model_cost_mean_usd,model_cost_mean_usd_cached,model_latency_mean_seconds,quality_per_dollar,quality_per_second,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
ic2,gpt-4.1-nano,,2,9.5,9.5,1.5,0.0,100.0,3.5,3.5,3.5,0.0028071500000000004,0.0028071500000000004,22.256999999999998,3384.215307340184,0.4268320079076246,2.0,1.5,1.0,1.5,0.5,2.0,1.0
ic2,gpt-5-nano,,2,11.0,11.0,2.0,100.0,100.0,4.0,3.0,4.0,0.0024345,0.0024345,30.215,4518.381597864038,0.36405758729108056,1.5,1.0,1.5,2.0,1.5,2.5,1.0
ic2,gpt-5-mini,,2,18.0,18.0,2.0,50.0,50.0,1.0,1.0,1.5,0.011743125,0.011743125,44.823,1532.811751556762,0.40157954621511277,3.0,2.5,3.0,2.5,2.0,3.0,2.0
ic2,gpt-5.4-nano,,2,16.0,16.0,1.0,50.0,50.0,2.0,1.0,2.0,0.0075495,0.0075495,20.411,2119.345652029936,0.7838910391455587,3.0,2.0,2.5,2.0,1.5,3.0,2.0
ic2,gpt-5.4-mini,,2,20.0,20.0,0.0,100.0,100.0,0.0,0.0,2.0,0.023863875,0.023863875,15.065,838.0868572266659,1.3275804845668768,3.0,2.0,3.0,3.0,3.0,3.0,3.0
ic2,gpt-5.4,,2,20.5,20.5,0.5,100.0,100.0,0.0,0.0,1.0,0.09846875,0.09846875,49.426,208.18787686448746,0.41476146157892607,3.0,2.5,3.0,3.0,3.0,3.0,3.0
ic3,gpt-4o-mini,,2,17.0,17.0,1.0,50.0,100.0,2.5,0.5,3.0,0.0034170749999999995,0.0034170749999999995,29.212000000000003,4975.015181112502,0.5819526222100506,3.0,3.0,1.5,2.5,1.5,3.0,2.5
ic3,gpt-4.1-mini,,2,19.0,19.0,0.0,100.0,100.0,0.5,2.5,2.0,0.005370400000000001,0.005370400000000001,28.765,3537.9115149709514,0.660524943507735,3.0,3.0,2.0,3.0,3.0,3.0,2.0
ic3,gpt-4.1-nano,,2,19.0,19.0,0.0,100.0,100.0,0.5,2.0,2.0,0.00132205,0.00132205,25.611,14371.61983283537,0.7418687282808168,3.0,3.0,2.0,3.0,3.0,3.0,2.0
ic3,gpt-5-nano,,2,19.0,19.0,0.0,100.0,100.0,1.0,3.0,2.0,0.00190655,0.00190655,32.106,9965.644750990008,0.5917896966299134,3.0,3.0,2.0,3.0,3.0,3.0,2.0
ic3,gpt-5-mini,,2,20.5,20.5,0.5,100.0,100.0,0.0,1.0,1.0,0.007168374999999999,0.007168374999999999,45.675,2859.783423718765,0.44882320744389714,3.0,3.0,3.0,3.0,3.0,3.0,2.5
ic3,gpt-5.4-nano,,2,17.5,17.5,0.5,100.0,100.0,2.0,1.5,2.5,0.004779625,0.004779625,27.152,3661.3751078798023,0.6445197407189157,3.0,3.0,2.0,2.0,2.5,3.0,2.0
ic3,gpt-5.4-mini,,2,20.5,20.5,0.5,100.0,100.0,0.0,0.5,1.0,0.013174125000000002,0.013174125000000002,14.522,1556.080574611217,1.4116512877014185,3.0,3.0,3.0,3.0,3.0,3.0,2.5
ic3,gpt-5.4,,2,19.0,19.0,1.0,100.0,100.0,1.0,0.5,1.0,0.06247625,0.06247625,51.1775,304.11556391428746,0.3712569000048849,3.0,3.0,2.5,2.5,3.0,3.0,2.0
ic7,gpt-4o-mini,,2,15.5,15.5,0.5,50.0,100.0,2.5,2.5,3.5,0.003360375,0.003360375,22.822499999999998,4612.5804411710005,0.6791543433015665,3.0,2.0,2.0,2.0,1.5,3.0,2.0
ic7,gpt-4.1-mini,,2,16.0,16.0,2.0,50.0,100.0,2.5,2.0,2.5,0.00494,0.00494,25.473,3238.8663967611337,0.6281160444392102,2.5,2.5,2.0,2.5,1.5,3.0,2.0
ic7,gpt-4.1-nano,,2,17.0,17.0,0.0,100.0,100.0,2.0,2.5,3.0,0.00120345,0.00120345,15.793500000000002,14126.054260667248,1.0763921866590684,3.0,3.0,2.0,2.0,2.0,3.0,2.0
