model,circuit,score_mean,n
gpt-4o-mini,ic11,10.5,2
gpt-4.1-mini,ic11,14.0,2
gpt-4.1-nano,ic11,10.5,2
gpt-5-nano,ic11,13.0,2
gpt-5-mini,ic11,17.0,2
gpt-5.4-nano,ic11,14.0,2
gpt-5.4-mini,ic11,18.0,2
gpt-5.4,ic11,19.0,2
gpt-4o-mini,ic13,14.0,2
gpt-4.1-mini,ic13,19.5,2
gpt-4.1-nano,ic13,14.0,2
gpt-5-nano,ic13,17.0,2
gpt-5-mini,ic13,19.0,2
gpt-5.4-nano,ic13,19.5,2
gpt-5.4-mini,ic13,20.0,2
gpt-5.4,ic13,20.5,2
gpt-4o-mini,ic15,10.0,2
gpt-4.1-mini,ic15,9.0,2
gpt-4.1-nano,ic15,9.0,2
gpt-5-nano,ic15,8.5,2
gpt-5-mini,ic15,17.5,2
gpt-5.4-nano,ic15,10.0,2
gpt-5.4-mini,ic15,16.0,2
gpt-5.4,ic15,19.5,2
gpt-4o-mini,ic2,9.0,2
gpt-4.1-mini,ic2,15.5,2
gpt-4.1-nano,ic2,9.5,2
gpt-5-nano,ic2,11.0,2
gpt-5-mini,ic2,18.0,2
gpt-5.4-nano,ic2,16.0,2
gpt-5.4-mini,ic2,20.0,2
gpt-5.4,ic2,20.5,2
gpt-4o-mini,ic3,17.0,2
gpt-4.1-mini,ic3,19.0,2
gpt-4.1-nano,ic3,19.0,2
gpt-5-nano,ic3,19.0,2
gpt-5-mini,ic3,20.5,2
gpt-5.4-nano,ic3,17.5,2
gpt-5.4-mini,ic3,20.5,2
gpt-5.4,ic3,19.0,2
gpt-4o-mini,ic7,15.5,2
gpt-4.1-mini,ic7,16.0,2
gpt-4.1-nano,ic7,17.0,2
gpt-5-nano,ic7,15.0,2
gpt-5-mini,ic7,16.0,2
gpt-5.4-nano,ic7,14.0,2
gpt-5.4-mini,ic7,18.5,2
gpt-5.4,ic7,15.5,2
gpt-4o-mini,ic8,13.0,2
gpt-4.1-mini,ic8,15.0,2
gpt-4.1-nano,ic8,8.5,2
gpt-5-nano,ic8,11.5,2
gpt-5-mini,ic8,17.0,2
gpt-5.4-nano,ic8,15.5,2
gpt-5.4-mini,ic8,19.5,2
gpt-5.4,ic8,20.0,2
gpt-4o-mini,ic9,14.0,2
gpt-4.1-mini,ic9,18.5,2
gpt-4.1-nano,ic9,16.0,2
gpt-5-nano,ic9,16.5,2
gpt-5-mini,ic9,16.5,2
gpt-5.4-nano,ic9,14.0,2
gpt-5.4-mini,ic9,18.0,2
gpt-5.4,ic9,20.5,2
