circuit,model,score_json,score_json_img,delta_score_image,top1_json,top1_json_img,top3_json,top3_json_img,cost_json_usd,cost_json_img_usd,delta_cost_image_usd,latency_json_seconds,latency_json_img_seconds,delta_latency_image_seconds
ic7,gpt-4.1-mini,14.0,18.0,4.0,False,True,True,True,0.005082,0.004798,-0.00028399999999999953,29.774,21.172,-8.602
ic7,gpt-4.1-nano,17.0,17.0,0.0,True,True,True,True,0.0010937,0.0013132,0.00021950000000000008,18.344,13.243,-5.101000000000001
ic7,gpt-5-nano,12.0,18.0,6.0,False,True,True,True,0.0019218,0.0015759,-0.0003458999999999999,41.511,26.121,-15.390000000000004
ic7,gpt-5-mini,18.0,14.0,-4.0,True,False,True,True,0.007415,0.0077547499999999995,0.0003397499999999998,49.042,44.329,-4.713000000000001
ic7,gpt-5.4-nano,11.0,17.0,6.0,False,True,True,True,0.0038767,0.0044564,0.0005797000000000003,15.164,18.003,2.8390000000000004
ic7,gpt-5.4-mini,17.0,20.0,3.0,True,True,True,True,0.016816499999999998,0.01624275,-0.0005737499999999979,23.651,20.841,-2.8099999999999987
ic7,gpt-5.4,14.0,17.0,3.0,False,False,False,False,0.06527999999999999,0.0654975,0.00021750000000000935,53.559,49.948,-3.610999999999997
ic8,gpt-4o-mini,16.0,10.0,-6.0,True,False,True,True,0.0025494,0.00645705,0.00390765,68.682,42.636,-26.046
ic8,gpt-4.1-mini,19.0,11.0,-8.0,True,False,True,False,0.009072,0.0092568,0.0001848000000000006,102.683,34.441,-68.242
ic8,gpt-4.1-nano,9.0,8.0,-1.0,False,False,False,False,0.0021424,0.0022995000000000003,0.0001571000000000003,26.247,16.544,-9.703
ic8,gpt-5-nano,9.0,14.0,5.0,False,False,False,True,0.0021651500000000002,0.0024144500000000003,0.00024930000000000004,29.958,27.948,-2.009999999999998
ic8,gpt-5-mini,18.0,16.0,-2.0,False,False,True,True,0.00906975,0.0113375,0.0022677500000000007,39.413,54.061,14.648000000000003
ic8,gpt-5.4-nano,19.0,12.0,-7.0,True,False,True,True,0.00669955,0.006570500000000001,-0.00012904999999999948,23.157,21.557,-1.6000000000000014
ic8,gpt-5.4-mini,20.0,19.0,-1.0,True,True,True,True,0.02114175,0.025869000000000003,0.004727250000000002,21.753,29.05,7.297000000000001
ic8,gpt-5.4,20.0,20.0,0.0,True,True,True,True,0.0879925,0.08365,-0.004342499999999999,53.632,50.143,-3.488999999999997
ic9,gpt-4o-mini,15.0,13.0,-2.0,True,True,True,True,0.0015373499999999998,0.00541065,0.0038733000000000005,16.396,29.355,12.959
ic9,gpt-4.1-mini,20.0,17.0,-3.0,True,True,True,True,0.005789200000000001,0.00578,-9.200000000000874e-06,37.146,17.966,-19.18
ic9,gpt-4.1-nano,16.0,16.0,0.0,True,True,True,True,0.0013265,0.0014843,0.00015780000000000004,9.514,13.206,3.692
ic9,gpt-5-nano,16.0,17.0,1.0,True,True,True,True,0.0016686000000000001,0.0015382500000000001,-0.00013035,23.164,24.181,1.0169999999999995
ic9,gpt-5-mini,15.0,18.0,3.0,False,True,True,True,0.008938999999999999,0.0092105,0.0002715000000000009,50.648,42.195,-8.453000000000003
ic9,gpt-5.4-nano,12.0,16.0,4.0,False,True,True,True,0.004451,0.00527175,0.0008207500000000003,18.959,19.711,0.7519999999999989
ic9,gpt-5.4-mini,17.0,19.0,2.0,True,True,True,True,0.018703499999999998,0.0155775,-0.0031259999999999986,22.118,20.664,-1.453999999999997
ic9,gpt-5.4,20.0,21.0,1.0,True,True,True,True,0.064745,0.078055,0.013310000000000002,47.878,57.318,9.439999999999998
