circuit,model,input_type,n,score_mean,score_median,score_std,top1_accuracy_pct,top3_accuracy_pct,major_errors_mean,hallucinations_mean,missed_points_mean,model_cost_mean_usd,model_cost_mean_usd_cached,model_latency_mean_seconds,quality_per_dollar,quality_per_second,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
,gpt-4o-mini,JSON + datasheet,8,13.25,14.0,3.344772040064913,50.0,87.5,3.25,2.0,3.875,0.00193065,0.00193065,34.373625000000004,6862.973609924119,0.3854699642531155,2.375,2.0,1.625,1.75,1.5,2.375,1.625
,gpt-4o-mini,JSON + immagine + datasheet,8,12.5,12.0,2.3979157616563596,37.5,87.5,3.125,2.25,4.0,0.00581353125,0.00581353125,32.342125,2150.1561550907636,0.3864928479498487,2.375,2.0,1.125,1.75,1.0,2.5,1.75
,gpt-4.1-mini,JSON + datasheet,8,16.375,17.5,3.838538133196022,62.5,87.5,1.875,2.0,2.5,0.0069036,0.0069036,48.21575,2371.9508662147286,0.3396193152652401,2.625,2.25,2.375,2.375,1.875,2.875,2.0
,gpt-4.1-mini,JSON + immagine + datasheet,8,15.25,16.0,3.344772040064913,62.5,62.5,2.5,3.0,2.75,0.007053350000000001,0.007053350000000001,30.307875000000003,2162.0931897608934,0.5031695557672716,2.75,2.375,1.875,2.125,1.75,2.75,1.625
,gpt-4.1-nano,JSON + datasheet,8,12.375,11.0,4.181432170919432,50.0,75.0,3.0,2.75,3.5,0.00157085,0.00157085,17.541625,7877.900499729446,0.7054648585863624,2.25,2.125,1.375,1.625,1.125,2.5,1.375
,gpt-4.1-nano,JSON + immagine + datasheet,8,13.5,14.0,3.6742346141747673,37.5,75.0,2.625,2.5,3.375,0.0017416375,0.0017416375,16.824125,7751.325979143191,0.8024191451264182,2.375,2.125,1.625,2.0,1.25,2.625,1.5
,gpt-5-nano,JSON + datasheet,8,13.0,12.5,4.0,50.0,75.0,3.375,3.375,3.375,0.0019516750000000002,0.0019516750000000002,30.079,6660.9450856315725,0.4321952192559593,2.0,2.125,1.625,1.875,1.375,2.625,1.375
,gpt-5-nano,JSON + immagine + datasheet,8,14.875,15.0,3.059309562630104,50.0,87.5,2.875,2.875,3.25,0.00199521875,0.00199521875,28.857625,7455.32288126302,0.5154616847367031,2.5,2.125,1.875,2.25,1.625,2.875,1.625
,gpt-5-mini,JSON + datasheet,8,18.0,18.0,1.8027756377319946,62.5,87.5,1.375,2.0,2.25,0.008562875,0.008562875,43.98575,2102.097718348102,0.4092234416828177,3.0,2.75,2.875,2.375,2.125,3.0,1.875
,gpt-5-mini,JSON + immagine + datasheet,8,17.375,17.5,2.2325713874364688,50.0,100.0,1.75,1.75,2.125,0.00898009375,0.00898009375,43.945499999999996,1934.8350344337998,0.39537609083979025,3.0,2.875,2.25,2.375,1.875,3.0,2.0
,gpt-5.4-nano,JSON + datasheet,8,15.125,16.0,3.515590277606308,62.5,87.5,2.375,2.125,2.625,0.0053353125,0.0053353125,21.524625,2834.8854917120602,0.7026835543011782,2.625,2.375,2.125,1.75,1.75,2.875,1.625
,gpt-5.4-nano,JSON + immagine + datasheet,8,15.0,15.5,2.9154759474226504,50.0,75.0,2.75,2.25,2.75,0.0054256125,0.0051088125000000005,19.942125,2764.6648189490124,0.7521766110682788,2.625,2.625,1.625,2.0,1.75,2.875,1.5
,gpt-5.4-mini,JSON + datasheet,8,18.625,19.5,1.5761900266148114,100.0,100.0,1.125,1.375,2.25,0.0181235625,0.0181235625,20.125375,1027.6677115771251,0.9254485941255753,3.0,2.5,2.75,2.625,2.625,3.0,2.125
,gpt-5.4-mini,JSON + immagine + datasheet,8,19.0,20.0,2.345207879911715,87.5,100.0,0.5,1.125,1.625,0.01802109375,0.01802109375,19.314125,1054.3200242771056,0.9837359963239338,3.0,2.75,2.625,2.75,2.5,3.0,2.375
,gpt-5.4,JSON + datasheet,8,18.625,20.0,2.057759704144291,75.0,87.5,1.0,1.125,1.75,0.07155687499999999,0.07155687499999999,51.2395,260.282467617542,0.36348910508494425,3.0,2.75,2.625,2.625,2.5,3.0,2.125
,gpt-5.4,JSON + immagine + datasheet,8,20.0,20.5,1.3228756555322954,75.0,87.5,0.5,0.625,0.625,0.0770221875,0.0770221875,53.454375,259.66543731311185,0.3741508529470226,3.0,3.0,3.0,2.75,2.625,3.0,2.625
