 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         @dled12_1[id]  
 1.37993894e-07  1.37993894e-07  6.18786269e-04  1.00004522e+00  9.00000000e+00  4.50030555e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.51684510e-07  1.51684510e-07  6.80123093e-04  1.00004926e+00  9.00000000e+00  4.50033621e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.67316077e-07  1.67316077e-07  7.50237290e-04  1.00005385e+00  9.00000000e+00  4.50037126e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.83233427e-07  1.83233427e-07  8.21712297e-04  1.00005853e+00  9.00000000e+00  4.50040700e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.98232548e-07  1.98232548e-07  8.89121725e-04  1.00006293e+00  9.00000000e+00  4.50044070e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.17418471e-07  2.17418471e-07  9.75400478e-04  1.00006856e+00  9.00000000e+00  4.50048384e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.41725240e-07  2.41725240e-07  1.08475209e-03  1.00007571e+00  9.00000000e+00  4.50053851e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.66025261e-07  2.66025261e-07  1.19409536e-03  1.00008285e+00  9.00000000e+00  4.50059318e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.90148072e-07  2.90148072e-07  1.30265025e-03  1.00008995e+00  9.00000000e+00  4.50064746e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 3.16786944e-07  3.16786944e-07  1.42253153e-03  1.00009779e+00  9.00000000e+00  4.50070740e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 3.47637805e-07  3.47637805e-07  1.56136877e-03  1.00010687e+00  9.00000000e+00  4.50077682e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 3.80020839e-07  3.80020839e-07  1.70710033e-03  1.00011642e+00  9.00000000e+00  4.50084968e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 4.19771034e-07  4.19771034e-07  1.88598345e-03  1.00012814e+00  9.00000000e+00  4.50093913e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 4.64228797e-07  4.64228797e-07  2.08604768e-03  1.00014125e+00  9.00000000e+00  4.50103916e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 5.10449135e-07  5.10449135e-07  2.29403887e-03  1.00015488e+00  9.00000000e+00  4.50114315e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 5.76485314e-07  5.76485314e-07  2.59119194e-03  1.00017436e+00  9.00000000e+00  4.50129173e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 6.60963449e-07  6.60963449e-07  2.97131418e-03  1.00019930e+00  9.00000000e+00  4.50148179e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 7.68395216e-07  7.68395216e-07  3.45469155e-03  1.00023101e+00  9.00000000e+00  4.50172348e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 9.02939951e-07  9.02939951e-07  4.06001632e-03  1.00027073e+00  9.00000000e+00  4.50202614e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.09498946e-06  1.09498946e-06  4.92397473e-03  1.00032744e+00  9.00000000e+00  4.50245812e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.20350556e-06  1.20350556e-06  5.41210495e-03  1.00035949e+00  9.00000000e+00  4.50270219e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.26005835e-06  1.26005835e-06  5.66647811e-03  1.00037620e+00  9.00000000e+00  4.50282938e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
