time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),@dled12_1[id]
5e-08,0.000225452889,1.0000192,9.0,4.30858672,8.48551861,0.708172406,0.0077773462
5.01007481e-08,0.000225903107,1.00001924,9.0,4.31888068,8.49045179,0.708188753,0.00778226304
5.03022442e-08,0.000226797816,1.00001931,9.0,4.33838485,8.49872089,0.70821613,0.00779050476
5.07052364e-08,0.000228569421,1.00001944,9.0,4.37149697,8.50852899,0.708248565,0.00780028043
5.10686031e-08,0.000230162539,1.00001954,9.0,4.39555551,8.51291327,0.708263051,0.00780465024
5.14585464e-08,0.000231876623,1.00001966,9.0,4.41645915,8.5155499,0.708271759,0.00780727814
5.19656523e-08,0.000234114176,1.0000198,9.0,4.43763339,8.51746842,0.708278093,0.00780919033
5.24322379e-08,0.000236180527,1.00001994,9.0,4.45237277,8.51845992,0.708281366,0.00781017855
5.29009605e-08,0.000238262222,1.00002008,9.0,4.46370125,8.51907941,0.708283411,0.00781079602
5.33342955e-08,0.000240190876,1.0000202,9.0,4.47177325,8.51945216,0.708284641,0.00781116753
5.37890353e-08,0.000242218069,1.00002033,9.0,4.47834105,8.51971415,0.708285505,0.00781142865
5.42306321e-08,0.000244189152,1.00002046,9.0,4.48326441,8.51988472,0.708286068,0.00781159865
5.46883782e-08,0.000246234278,1.0000206,9.0,4.48720249,8.52000398,0.708286462,0.00781171752
5.51351924e-08,0.000248232027,1.00002073,9.0,4.49015976,8.52008234,0.70828672,0.00781179562
5.55939036e-08,0.000250284096,1.00002086,9.0,4.49249586,8.52013671,0.7082869,0.00781184981
5.60461884e-08,0.000252308252,1.00002099,9.0,4.49426354,8.52017284,0.708287019,0.00781188582
5.65358938e-08,0.00025450056,1.00002114,9.0,4.49572117,8.520199,0.708287105,0.0078119119
5.71052964e-08,0.000257050275,1.0000213,9.0,4.49697039,8.52021845,0.70828717,0.00781193128
5.77625658e-08,0.000259993982,1.0000215,9.0,4.4979824,8.52023183,0.708287214,0.00781194461
5.85372798e-08,0.000263464091,1.00002172,9.0,4.49877147,8.52024048,0.708287242,0.00781195324
5.94588526e-08,0.000267592216,1.000022,9.0,4.49934642,8.52024556,0.708287259,0.0078119583
