time,v(H1_GATE),v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),@ddiode7_1[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id]
0.048806919,7.99239551,7.7644255,7.54799787,7.76620879,7.99195408,7.76187719,0.823912086,0.472756226,7.99999196,8.0,0.0,1.23586852,9.96329484e-07,4.41615232e-06,0.000196892452,7.87465477e-09
0.0488335447,7.99107913,7.60204726,7.39527717,7.60081603,7.99155085,7.6051541,0.823870516,0.472735199,7.99999156,8.0,0.0,1.23580617,1.01007354e-06,-4.70848179e-06,-0.000197176965,7.86840297e-09
0.04886417,7.99239498,7.40814141,7.19539396,7.40992128,7.99195397,7.4055901,0.823912074,0.472755641,7.99999196,8.0,0.0,1.23586851,9.91703643e-07,4.41897922e-06,0.000196881033,7.87482934e-09
0.0488944217,7.99108184,7.22190614,7.01391727,7.22068175,7.99155082,7.22501895,0.823870513,0.472734571,7.99999156,8.0,0.0,1.23580616,9.85011598e-07,-4.6830907e-06,-0.000197139049,7.86859317e-09
0.0489361145,7.99239537,6.95702841,6.74640529,6.95880736,7.99195386,6.9544763,0.823912063,0.472754898,7.99999196,8.0,0.0,1.23586849,9.77223393e-07,4.42349802e-06,0.000196875271,7.87505204e-09
0.0489867363,7.99108375,6.64047073,6.43240797,6.63924963,7.99155073,6.64358622,0.823870503,0.472733611,7.99999156,8.0,0.0,1.23580615,9.7089077e-07,-4.66189695e-06,-0.000197110482,7.86888228e-09
0.0490589152,7.99239616,6.1789467,5.96950573,6.18072439,7.99195369,6.17639323,0.823912045,0.472753613,7.99999196,8.0,0.0,1.23586846,9.62563339e-07,4.43416456e-06,0.000196880667,7.87543765e-09
0.0491589152,7.99108532,5.54148322,5.33414771,5.54026173,7.9915505,5.54459786,0.82387048,0.472731796,7.99999156,8.0,0.0,1.23580611,9.5126013e-07,-4.64214454e-06,-0.000197087296,7.86942751e-09
0.0492589152,7.99239731,4.89255646,4.68444595,4.8943315,7.9919534,4.89000007,0.823912015,0.472751489,7.99999196,8.0,0.0,1.23586842,9.39925816e-07,4.44664308e-06,0.000196890552,7.87607552e-09
0.0493589152,7.9910868,4.24479429,4.03847,4.24357115,7.99155023,4.24790685,0.823870451,0.472729653,7.99999156,8.0,0.0,1.23580607,9.28457762e-07,-4.62844204e-06,-0.000197071214,7.87007082e-09
0.0494589152,7.99239801,3.58685206,3.38006908,3.58862292,7.99195309,3.58429132,0.823911984,0.472749332,7.99999196,8.0,0.0,1.23586837,9.17153485e-07,4.45404951e-06,0.000196895751,7.8767228e-09
0.0495589152,7.99108766,2.93136,2.72612055,2.93013314,7.99154993,2.93446854,0.823870421,0.472727481,7.99999156,8.0,0.0,1.23580603,9.05469509e-07,-4.61872722e-06,-0.00019705943,7.87072227e-09
0.0496589152,7.99239833,2.26698628,2.06154102,2.26875168,7.99195278,2.26441999,0.823911951,0.472747151,7.99999196,8.0,0.0,1.23586832,8.9418613e-07,4.45902776e-06,0.000196898778,7.87737706e-09
0.0497589152,7.99108821,1.60636285,1.40227391,1.60513123,7.99154963,1.6094664,0.82387039,0.472725291,7.99999156,8.0,0.0,1.23580598,8.82345543e-07,-4.61118492e-06,-0.000197050034,7.87137939e-09
0.0498589152,7.99239846,0.93816746,0.734074713,0.939926716,7.99195246,0.935594962,0.823911918,0.472744955,7.99999196,8.0,0.0,1.23586827,8.710929e-07,4.46265874e-06,0.000196900642,7.87803574e-09
0.0499589152,7.99108883,0.275164575,0.100058519,0.273794605,7.99154933,0.278129532,0.823869783,0.457291564,7.99999156,8.0,0.0,1.23580539,4.53529159e-07,-4.60495011e-06,-0.000197042129,1.42948095e-08
0.0500589152,7.99239868,-0.39399358,-0.0327455536,-0.392607708,7.99195213,-0.396939549,0.823898624,0.395549864,7.99999196,8.0,0.0,1.23585572,-2.65875427e-07,4.46548633e-06,0.000196901828,1.55721968e-07
0.0501589152,7.99108905,-1.05709369,0.0105860116,-1.05862257,7.99154901,-1.05428779,0.823864958,0.417049834,7.99999156,8.0,0.0,1.23580082,-3.32961729e-08,-4.59966857e-06,-0.000197035227,6.77302618e-08
0.0502589152,7.99239859,-1.72500083,-0.0224905454,-1.72359269,7.99195181,-1.72792455,0.823901092,0.400656153,7.99999196,8.0,0.0,1.23585803,-2.00692867e-07,4.46779259e-06,0.000196902598,1.27835811e-07
0.0503589152,7.99108921,-2.38533672,0.0120770964,-2.38686184,7.9915487,-2.3825272,0.823865096,0.417784997,7.99999156,8.0,0.0,1.23580094,-2.65867926e-08,-4.59496443e-06,-0.000197029039,6.58326166e-08
0.0504589152,7.99239846,-3.04919555,-0.016499038,-3.04777544,7.99195149,-3.05210731,0.823902308,0.403640003,7.99999196,8.0,0.0,1.23585916,-1.66368431e-07,4.46973866e-06,0.000196903105,1.13912575e-07
0.0505589152,7.99108932,-3.70415799,0.0123776984,-3.70568125,7.99154839,-3.70134674,0.823865097,0.417932974,7.99999156,8.0,0.0,1.23580092,-2.52393973e-08,-4.59070038e-06,-0.000197023377,6.54570596e-08
0.0506589152,7.99239831,-4.36135813,-0.0123203483,-4.35993001,7.99195117,-4.36426188,0.823903063,0.4057185,7.99999196,8.0,0.0,1.23585985,-1.43808648e-07,4.47143607e-06,0.000196903442,1.05119841e-07
0.0507589152,7.99108941,-5.00835412,0.0124031589,-5.00987604,7.99154809,-5.00554164,0.823865069,0.417945503,7.99999156,8.0,0.0,1.23580087,-2.51251629e-08,-4.58676517e-06,-0.000197018117,6.54252882e-08
0.0508589152,7.99239815,-5.65631197,-0.00915971801,-5.65487793,7.99195085,-5.65920981,0.823903586,0.407289637,7.99999196,8.0,0.0,1.23586033,-1.27369531e-07,4.47295809e-06,0.000196903671,9.89265381e-08
0.0509589152,7.99108948,-6.29277839,0.0123688131,-6.29429913,7.99154778,-6.28996485,0.823865039,0.417930351,7.99999156,8.0,0.0,1.23580083,-2.52388311e-08,-4.58308139e-06,-0.000197013169,6.54635495e-08
0.0510589152,7.99239798,-6.92894734,-0.00664361904,-6.92750863,7.99195054,-6.93184051,0.823903972,0.408539503,7.99999196,8.0,0.0,1.23586067,-1.14629544e-07,4.47435478e-06,0.000196903831,9.42612172e-08
0.0511589152,7.99108953,-7.5523619,0.0123633345,-7.55388151,7.99154749,-7.54954732,0.823865005,0.417926942,7.99999156,8.0,0.0,1.23580078,-2.52814188e-08,-4.57959332e-06,-0.000197008469,6.54720952e-08
0.0512589152,7.9923978,-8.17424216,-0.00457256874,-8.17279962,7.99195024,-8.1771315,0.823904272,0.409568419,7.99999196,8.0,0.0,1.23586094,-1.04325377e-07,4.47566127e-06,0.000196903949,9.0586138e-08
