diagram_id,n_component_nodes,n_connected_to_edges,n_diagram_nodes,n_edges_total,n_has_component_edges,n_has_net_edges,n_has_terminal_edges,n_implicit_supply_nets,n_implicit_supply_terminal_matches,n_net_nodes,n_nodes_total,n_suspicious_terminal_matches,n_terminal_nodes,n_terminals_matched,n_terminals_unmatched,terminal_connection_status_counts,terminal_match_confidence_counts,terminal_match_status_counts
1,10,18,1,55,10,9,18,0,0,9,38,0,18,18,0,"{""matched_preferred"": 18}","{""ok"": 18, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 18}"
2,10,22,1,61,10,7,22,1,1,7,40,0,22,22,0,"{""matched_preferred"": 21, ""matched_implicit_supply"": 1}","{""ok"": 22, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 21, ""matched_implicit_supply"": 1}"
3,12,22,1,65,12,9,22,0,0,9,44,0,22,22,0,"{""matched_preferred"": 22}","{""ok"": 22, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 22}"
4,8,14,1,41,8,5,14,0,0,5,28,0,14,14,0,"{""matched_preferred"": 14}","{""ok"": 14, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 14}"
5,20,35,1,103,20,13,35,0,0,13,69,0,35,35,0,"{""matched_preferred"": 35}","{""ok"": 35, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 35}"
6,9,16,1,48,9,7,16,0,0,7,33,0,16,16,0,"{""matched_preferred"": 16}","{""ok"": 16, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 16}"
