 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N009)         v(N010)         @ddiode7_1[id] 
 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.00000000e+00  0.00000000e+00 -1.22428978e-16  6.60106380e-01  1.28178949e+00  8.99999914e+00  0.00000000e+00  0.00000000e+00  1.69058345e-28 
 1.00000000e-08  1.00000000e-08  7.28205681e-21  9.00000000e+00  7.73312410e-05  1.91923755e-10  6.60106380e-01  1.28179577e+00  8.99999914e+00  7.73316804e-05  6.28318530e-06 -2.66126101e-22 
 1.08400020e-08  1.08400020e-08  7.94602632e-21  9.00000000e+00  8.38270785e-05  2.08326967e-10  6.60106380e-01  1.28179630e+00  8.99999914e+00  8.38275579e-05  6.81097410e-06 -2.88871190e-22 
 1.25200059e-08  1.25200059e-08  9.37905684e-21  9.00000000e+00  9.68187497e-05  2.41306974e-10  6.60106380e-01  1.28179735e+00  8.99999914e+00  9.68193153e-05  7.86655169e-06 -3.34602064e-22 
 1.58800137e-08  1.58800137e-08  1.28792032e-20  9.00000000e+00  1.22802069e-04  3.07848136e-10  6.60106381e-01  1.28179947e+00  8.99999914e+00  1.22802844e-04  9.97770687e-06 -4.26869641e-22 
 2.26000294e-08  2.26000294e-08  2.24477082e-20  9.00000000e+00  1.74768616e-04  4.43017123e-10  6.60106381e-01  1.28180369e+00  8.99999914e+00  1.74769959e-04  1.42000172e-05 -6.14298213e-22 
 3.60400608e-08  3.60400608e-08  5.21027617e-20  9.00000000e+00  2.78701343e-04  7.21881055e-10  6.60106381e-01  1.28181213e+00  8.99999914e+00  2.78704417e-04  2.26446378e-05 -1.00097766e-21 
 6.29201235e-08  6.29201235e-08  1.55310272e-19  9.00000000e+00  4.86565324e-04  1.31354844e-09  6.60106383e-01  1.28182902e+00  8.99999914e+00  4.86574243e-04  3.95338785e-05 -1.82139789e-21 
 1.16680249e-07  1.16680249e-07  5.49582751e-19  9.00000000e+00  9.02287378e-04  2.63276823e-09  6.60106385e-01  1.28186279e+00  8.99999914e+00  9.02317509e-04  7.33123560e-05 -3.65065979e-21 
 2.24200500e-07  2.24200500e-07  2.14758869e-18  9.00000000e+00  1.73370769e-03  5.81439852e-09  6.60106392e-01  1.28193033e+00  8.99999914e+00  1.73381834e-03  1.40869282e-04 -8.06238480e-21 
 4.39241002e-07  4.39241002e-07  8.41450631e-18  9.00000000e+00  3.39645179e-03  1.43489367e-08  6.60106409e-01  1.28206539e+00  8.99999914e+00  3.39687584e-03  2.75982910e-04 -1.98965798e-20 
 8.69322005e-07  8.69322005e-07  2.60568570e-17  9.00000000e+00  6.72154332e-03  4.00898990e-08  6.60106460e-01  1.28233538e+00  8.99999914e+00  6.72320361e-03  5.46208409e-04 -5.55896077e-20 
 1.72948401e-06  1.72948401e-06  4.36789240e-17  9.00000000e+00  1.33700550e-02  1.26154210e-07  6.60106632e-01  1.28287491e+00  8.99999914e+00  1.33766250e-02  1.08664547e-03 -1.74928347e-19 
 2.72948401e-06  2.72948401e-06  4.97435497e-17  9.00000000e+00  2.10964091e-02  2.83936356e-07  6.60106948e-01  1.28350133e+00  8.99999914e+00  2.11127707e-02  1.71490132e-03 -3.93712389e-19 
 3.72948401e-06  3.72948401e-06  7.94372156e-17  9.00000000e+00  2.88192290e-02  5.03449777e-07  6.60107387e-01  1.28412682e+00  8.99999914e+00  2.88497712e-02  2.34308947e-03 -6.98093694e-19 
 4.72948401e-06  4.72948401e-06  9.97058984e-17  9.00000000e+00  3.65382109e-02  7.84331126e-07  6.60107949e-01  1.28475132e+00  8.99999914e+00  3.65873205e-02  2.97118511e-03 -1.08756784e-18 
 5.72948401e-06  5.72948401e-06  1.05692272e-16  9.00000000e+00  4.42530509e-02  1.12621297e-06  6.60108632e-01  1.28537476e+00  8.99999914e+00  4.43251125e-02  3.59916347e-03 -1.56162456e-18 
 6.72948401e-06  6.72948401e-06  1.35437485e-16  9.00000000e+00  5.19634453e-02  1.52872350e-06  6.60109437e-01  1.28599709e+00  8.99999914e+00  5.20628412e-02  4.22699973e-03 -2.11974737e-18 
 7.72948401e-06  7.72948401e-06  1.54705594e-16  9.00000000e+00  5.96690908e-02  1.99148671e-06  6.60110363e-01  1.28661826e+00  8.99999914e+00  5.98002005e-02  4.85466911e-03 -2.76141381e-18 
