time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006)
0.09856,7.9014173e-10,11.9998951,1.25849669,7.87728993e-10,6.47566889e-10,12.0
0.10056,8.36666292e-10,11.9998951,1.25849669,8.3149998e-10,6.83709089e-10,12.0
0.10256,7.72471198e-10,11.9998951,1.25849669,7.64497576e-10,6.09693407e-10,12.0
0.10456,8.08122902e-10,11.9998951,1.25849669,7.97302446e-10,6.36170672e-10,12.0
0.10656,7.34934114e-10,11.9998951,1.25849669,7.21243065e-10,5.54516655e-10,12.0
0.10856,7.59431407e-10,11.9998951,1.25849669,7.42861328e-10,5.71339198e-10,12.0
0.11056,6.77291556e-10,11.9998951,1.25849669,6.57850663e-10,4.82371698e-10,12.0
0.11256,6.90695945e-10,11.9998951,1.25849669,6.68409328e-10,4.89870811e-10,12.0
0.11456,5.99564842e-10,11.9998951,1.25849669,5.74474912e-10,3.93809874e-10,12.0
0.11656,6.02053296e-10,11.9998951,1.25849669,5.74219783e-10,3.92413213e-10,12.0
0.11856,5.02268227e-10,11.9998951,1.25849669,4.7176929e-10,2.89831714e-10,12.0
0.12056,4.94369434e-10,11.9998951,1.25849669,4.61299887e-10,2.80284684e-10,12.0
0.12256,3.86528365e-10,11.9998951,1.25849669,3.51001228e-10,1.71978654e-10,12.0
0.12456,3.69092534e-10,11.9998951,1.25849669,3.31238148e-10,1.55308211e-10,12.0
0.12656,2.53987498e-10,11.9998951,1.25849669,2.13953522e-10,4.22233359e-11,12.0
0.12856,2.27902586e-10,11.9998951,1.25849669,1.85854443e-10,1.94502192e-11,12.0
0.13056,1.06726183e-10,11.9998951,1.25849669,6.28459507e-11,-9.71132064e-11,12.0
0.13256,7.32178762e-11,11.9998951,1.25849669,2.77038392e-11,-1.24684707e-10,12.0
0.13456,-5.27782262e-11,11.9998951,1.25849669,-9.97135707e-11,-2.43423504e-10,12.0
0.13656,-9.21127619e-11,11.9998951,1.25849669,-1.40240708e-10,-2.74172463e-10,12.0
0.13856,-2.21424434e-10,11.9998951,1.25849669,-2.70502509e-10,-3.93588273e-10,12.0
0.14056,-2.6495095e-10,11.9998951,1.25849669,-3.14724913e-10,-4.25918412e-10,12.0
0.14256,-3.9576098e-10,11.9998951,1.25849669,-4.45964377e-10,-5.44265966e-10,12.0
0.14456,-4.41700676e-10,11.9998951,1.25849669,-4.92056174e-10,-5.76500625e-10,12.0
0.14656,-5.72231817e-10,11.9998951,1.25849669,-6.22452756e-10,-6.92133684e-10,12.0
0.14856,-6.18599394e-10,11.9998951,1.25849669,-6.68391564e-10,-7.2245121e-10,12.0
0.15056,-7.46766426e-10,11.9998951,1.25849669,-7.95828958e-10,-8.3348306e-10,12.0
0.15256,-7.9126794e-10,11.9998951,1.25849669,-8.39295078e-10,-8.59823324e-10,12.0
0.15456,-9.14970322e-10,11.9998951,1.25849669,-9.61652757e-10,-9.64419433e-10,12.0
0.15656,-9.55590052e-10,11.9998951,1.25849669,-1.00061692e-09,-9.85061144e-10,12.0
0.15856,-1.07274922e-09,11.9998951,1.25849669,-1.11580967e-09,-1.08146692e-09,12.0
0.16056,-1.1072574e-09,11.9998951,1.25849669,-1.14804255e-09,-1.09453469e-09,12.0
0.16256,-1.21564359e-09,11.9998951,1.25849669,-1.25384791e-09,-1.18090426e-09,12.0
0.16456,-1.24183042e-09,11.9998951,1.25849669,-1.27715527e-09,-1.18460131e-09,12.0
0.16656,-1.33922806e-09,11.9998951,1.25849669,-1.3713819e-09,-1.25915989e-09,12.0
0.16856,-1.35504896e-09,11.9998951,1.25849669,-1.38374889e-09,-1.25190569e-09,12.0
0.17056,-1.43952428e-09,11.9998951,1.25849669,-1.46449874e-09,-1.31320355e-09,12.0
0.17256,-1.44305012e-09,11.9998951,1.25849669,-1.46404133e-09,-1.29357303e-09,12.0
0.17456,-1.51283719e-09,11.9998951,1.25849669,-1.52960289e-09,-1.34036626e-09,12.0
0.17656,-1.50227519e-09,11.9998951,1.25849669,-1.51458956e-09,-1.30710331e-09,12.0
0.17856,-1.55560564e-09,11.9998951,1.25849669,-1.56326196e-09,-1.33817402e-09,12.0
0.18056,-1.52944191e-09,11.9998951,1.25849669,-1.53225432e-09,-1.29032607e-09,12.0
0.18256,-1.56505209e-09,11.9998951,1.25849669,-1.56285651e-09,-1.30497746e-09,12.0
0.18456,-1.52197654e-09,11.9998951,1.25849669,-1.51463309e-09,-1.2418051e-09,12.0
0.18656,-1.53886304e-09,11.9998951,1.25849669,-1.52625756e-09,-1.23960553e-09,12.0
0.18856,-1.47790868e-09,11.9998951,1.25849669,-1.45995416e-09,-1.16071108e-09,12.0
0.19056,-1.47526924e-09,11.9998951,1.25849669,-1.45190637e-09,-1.1414234e-09,12.0
0.19256,-1.39597822e-09,11.9998951,1.25849669,-1.3671777e-09,-1.04690479e-09,12.0
0.19456,-1.37347089e-09,11.9998951,1.25849669,-1.3392345e-09,-1.01072994e-09,12.0
0.19656,-1.27571531e-09,11.9998951,1.25849669,-1.23607502e-09,-9.0098573e-10,12.0
0.19856,-1.23367094e-09,11.9998951,1.25849669,-1.18869137e-09,-8.48758397e-10,12.0
0.20056,-1.11789844e-09,11.9998951,1.25849669,-1.06767728e-09,-7.24715177e-10,12.0
0.20256,-1.05670805e-09,11.9998951,1.25849669,-1.00137587e-09,-6.57279342e-10,12.0
0.20456,-9.23603638e-10,11.9998951,1.25849669,-8.63324745e-10,-5.2004645e-10,12.0
0.20656,-8.44438963e-10,11.9998951,1.25849669,-7.79411424e-10,-4.3896442e-10,12.0
0.20856,-6.95268287e-10,11.9998951,1.25849669,-6.25723917e-10,-2.9016034e-10,12.0
0.21056,-5.99567507e-10,11.9998951,1.25849669,-5.2577076e-10,-1.97183603e-10,12.0
0.21256,-4.36064074e-10,11.9998951,1.25849669,-3.58312491e-10,-3.88113985e-11,12.0
0.21456,-3.25888871e-10,11.9998951,1.25849669,-2.44511966e-10,6.37749853e-11,12.0
0.21656,-1.50259583e-10,11.9998951,1.25849669,-6.56172894e-11,2.29333885e-10,12.0
0.21856,-2.80537815e-11,11.9998951,1.25849669,5.94635452e-11,3.38964412e-10,12.0
0.22056,1.57111657e-10,11.9998951,1.25849669,2.47085019e-10,5.09051468e-10,12.0
0.22256,2.88588486e-10,11.9998951,1.25849669,3.80572018e-10,6.22951468e-10,12.0
0.22456,4.80236295e-10,11.9998951,1.25849669,5.73758818e-10,7.9455531e-10,12.0
0.22656,6.17579765e-10,11.9998951,1.25849669,7.12148118e-10,9.09424092e-10,12.0
0.22856,8.12201861e-10,11.9998951,1.25849669,9.07301123e-10,1.07920362e-09,12.0
0.23056,9.52045776e-10,11.9998951,1.25849669,1.04714148e-09,1.19190124e-09,12.0
0.23256,1.14614096e-09,11.9998951,1.25849669,1.24068245e-09,1.3566388e-09,12.0
0.23456,1.28457889e-09,11.9998951,1.25849669,1.3780026e-09,1.46360546e-09,12.0
0.23656,1.47417878e-09,11.9998951,1.25849669,1.56591007e-09,1.61974301e-09,12.0
0.23856,1.60723501e-09,11.9998951,1.25849669,1.69669234e-09,1.71747283e-09,12.0
0.24056,1.78836412e-09,11.9998951,1.25849669,1.87496041e-09,1.86156357e-09,12.0
0.24256,1.9117512e-09,11.9998951,1.25849669,1.99489869e-09,1.94635907e-09,12.0
0.24456,2.08020978e-09,11.9998951,1.25849669,2.1593225e-09,2.0748534e-09,12.0
0.24656,2.18997354e-09,11.9998951,1.25849669,2.26447039e-09,2.14346429e-09,12.0
