 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)        
 2.09166216e-04  2.09166216e-04  1.80000000e+01  9.04836276e+00  9.04830495e+00  1.37477428e+01  4.83633517e-02  1.36944350e-01  9.06313331e+00  4.61928234e+00  8.40993016e-04 
 2.19166216e-04  2.19166216e-04  1.80000000e+01  9.04906396e+00  9.04900472e+00  1.38337334e+01  4.90646059e-02  1.37636807e-01  9.06098745e+00  4.69362432e+00  6.49673021e-04 
 2.29166216e-04  2.29166216e-04  1.80000000e+01  9.04957153e+00  9.04951115e+00  1.39006201e+01  4.95722246e-02  1.38137492e-01  9.05860124e+00  4.74870262e+00  4.55771073e-04 
 2.39166216e-04  2.39166216e-04  1.80000000e+01  9.04988346e+00  9.04982226e+00  1.39481408e+01  4.98842043e-02  1.38444445e-01  9.05598410e+00  4.78430350e+00  2.60158669e-04 
 2.49166216e-04  2.49166216e-04  1.80000000e+01  9.04999852e+00  9.04993684e+00  1.39761095e+01  4.99993139e-02  1.38556468e-01  9.05314632e+00  4.80028979e+00  6.35003076e-05 
 2.59166216e-04  2.59166216e-04  1.80000000e+01  9.04991626e+00  9.04985444e+00  1.39844168e+01  4.99170990e-02  1.38473125e-01  9.05009903e+00  4.79660136e+00 -1.33332263e-04 
 2.69166216e-04  2.69166216e-04  1.80000000e+01  9.04963699e+00  9.04957538e+00  1.39730307e+01  4.96378841e-02  1.38194748e-01  9.04685421e+00  4.77325524e+00 -3.29663558e-04 
 2.79166216e-04  2.79166216e-04  1.80000000e+01  9.04916183e+00  9.04910078e+00  1.39419962e+01  4.91627712e-02  1.37722432e-01  9.04342455e+00  4.73034549e+00 -5.24631890e-04 
 2.89166216e-04  2.89166216e-04  1.80000000e+01  9.04849265e+00  9.04843248e+00  1.38914353e+01  4.84936353e-02  1.37058033e-01  9.03982352e+00  4.66804287e+00 -7.17561935e-04 
 2.99166216e-04  2.99166216e-04  1.80000000e+01  9.04763208e+00  9.04757312e+00  1.38215468e+01  4.76331171e-02  1.36204159e-01  9.03606524e+00  4.58659414e+00 -9.07611775e-04 
