time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009)
0.0,18.0,9.0,9.0,8.99190737,0.0,0.0890287859,9.0,0.0,0.0
1e-07,18.0,9.00003142,9.00003141,8.99243786,3.14159245e-05,0.0890601931,9.0004997,0.000530450402,0.000265225201
1.13006169e-07,18.0,9.0000355,9.00003549,8.9925073,3.55019319e-05,0.089064278,9.00056461,0.000599881799,0.000296140115
1.39018506e-07,18.0,9.00004367,9.00004367,8.99264706,4.36739461e-05,0.0890724476,9.00069428,0.00073962538,0.000351633206
1.9104318e-07,18.0,9.00006002,9.00006001,8.99293184,6.00179708e-05,0.0890887862,9.00095268,0.00102437997,0.000432433671
2.95092529e-07,18.0,9.00009271,9.00009269,8.99352237,9.27059991e-05,0.0891214614,9.00146571,0.00161482571,0.000524853752
5.03191227e-07,18.0,9.00015808,9.00015805,8.99478617,0.000158081923,0.0891868029,9.00247695,0.00287838676,0.000608827175
8.53168251e-07,18.0,9.00026803,9.00026797,8.99715482,0.000268029427,0.0892966662,9.00413403,0.00524645366,0.000695125935
1.5531223e-06,18.0,9.00048792,9.0004878,9.00276711,0.000487920016,0.0895162936,9.00729129,0.0108567894,0.000860639641
2.95303039e-06,18.0,9.00092767,9.0009274,9.0172052,0.000927668629,0.0899551676,9.01302926,0.0252871412,0.00115843022
5.75284658e-06,18.0,9.00180692,9.00180623,9.05695861,0.00180691652,0.0908314873,9.02255104,0.0650050321,0.00164405825
1.10766054e-05,18.0,9.00347701,9.00347522,9.16188695,0.00347700972,0.0924928311,9.03536476,0.169766716,0.00226812561
1.91662157e-05,18.0,9.0060067,9.00600275,9.36610122,0.00600670128,0.0950043622,9.0466586,0.373411416,0.00275457015
2.91662157e-05,18.0,9.00911162,9.00910465,9.65400641,0.00911163696,0.0980829625,9.05384382,0.659996211,0.0029727619
3.91662157e-05,18.0,9.01218059,9.01217042,9.95550838,0.0121806132,0.101124051,9.05791093,0.959443932,0.00301534094
4.91662157e-05,18.0,9.01520148,9.01518806,10.2586146,0.0152015181,0.104116784,9.06077976,1.25974613,0.00299118602
5.91662157e-05,18.0,9.01816238,9.01814571,10.5585233,0.0181624295,0.107049733,9.063085,1.55610542,0.00293708201
6.91662157e-05,18.0,9.02105159,9.02103168,10.8528473,0.0210516621,0.109911444,9.06503312,1.84614754,0.00286519805
7.91662157e-05,18.0,9.02385772,9.02383459,11.1400227,0.0238578135,0.11269066,9.06668837,2.12832658,0.00278008505
8.91662157e-05,18.0,9.02656969,9.02654336,11.4187814,0.0265698089,0.11537642,9.06806824,2.40139587,0.00268323751
9.91662157e-05,18.0,9.0291768,9.02914731,11.6879781,0.0291769455,0.117958125,9.0691753,2.66423423,0.00257568093
0.000109166216,18.0,9.03166875,9.03163616,11.946535,0.031668934,0.120425584,9.07000789,2.9157909,0.00245780989
0.000119166216,18.0,9.03403573,9.03400007,12.1934263,0.0340359397,0.122769058,9.07056363,3.15506975,0.00233031692
0.000129166216,18.0,9.03626837,9.03622973,12.4276761,0.036268621,0.1249793,9.07084066,3.38112662,0.00219355577
0.000139166216,18.0,9.03835788,9.03831633,12.6483593,0.0383581667,0.12704759,9.07083803,3.59307088,0.00204823579
0.000149166216,18.0,9.04029601,9.04025165,12.8546052,0.0402963302,0.128965772,9.07055581,3.79006819,0.00189477956
0.000159166216,18.0,9.0420751,9.04202805,13.0456006,0.0420754626,0.130726284,9.0699952,3.9713436,0.00173394527
0.000169166216,18.0,9.04368813,9.04363855,13.2205924,0.0436885422,0.13232219,9.06915845,4.13618451,0.00156622723
0.000179166216,18.0,9.04512875,9.04507679,13.3788913,0.0451292032,0.133747206,9.06804893,4.28394346,0.00139242782
0.000189166216,18.0,9.04639126,9.04633712,13.519874,0.0463917598,0.134995724,9.06667107,4.41404068,0.00121310304
0.000199166216,18.0,9.04747068,9.04741458,13.6429858,0.0474712294,0.136062836,9.06503036,4.5259663,0.00102908969
0.000209166216,18.0,9.04836276,9.04830495,13.7477428,0.0483633517,0.13694435,9.06313331,4.61928234,0.000840993016
0.000219166216,18.0,9.04906396,9.04900472,13.8337334,0.0490646059,0.137636807,9.06098745,4.69362432,0.000649673021
0.000229166216,18.0,9.04957153,9.04951115,13.9006201,0.0495722246,0.138137492,9.05860124,4.74870262,0.000455771073
0.000239166216,18.0,9.04988346,9.04982226,13.9481408,0.0498842043,0.138444445,9.0559841,4.7843035,0.000260158669
0.000249166216,18.0,9.04999852,9.04993684,13.9761095,0.0499993139,0.138556468,9.05314632,4.80028979,6.35003076e-05
0.000259166216,18.0,9.04991626,9.04985444,13.9844168,0.049917099,0.138473125,9.05009903,4.79660136,-0.000133332263
0.000269166216,18.0,9.04963699,9.04957538,13.9730307,0.0496378841,0.138194748,9.04685421,4.77325524,-0.000329663558
0.000279166216,18.0,9.04916183,9.04910078,13.9419962,0.0491627712,0.137722432,9.04342455,4.73034549,-0.00052463189
0.000289166216,18.0,9.04849265,9.04843248,13.8914353,0.0484936353,0.137058033,9.03982352,4.66804287,-0.000717561935
0.000299166216,18.0,9.04763208,9.04757312,13.8215468,0.0476331171,0.136204159,9.03606524,4.58659414,-0.000907611775
0.000309166216,18.0,9.04658353,9.04652606,13.7326049,0.0465846128,0.135164164,9.03216446,4.48632119,-0.00109411711
0.000319166216,18.0,9.04535113,9.04529543,13.6249592,0.0453522604,0.133942132,9.02813651,4.3676199,-0.00127626578
0.000329166216,18.0,9.04393975,9.04388606,13.4990326,0.0439409232,0.132542868,9.02399725,4.23095866,-0.00145341592
0.000339166216,18.0,9.04235495,9.04230349,13.35532,0.0423561714,0.130971873,9.019763,4.07687669,-0.00162479587
0.000349166216,18.0,9.040603,9.04055395,13.1943868,0.040604259,0.12923533,9.01545044,3.90598199,-0.00178979821
0.000359166216,18.0,9.0386908,9.03864433,13.0168663,0.0386921002,0.127340076,9.01107662,3.71894902,-0.00194770298
0.000369166216,18.0,9.0366259,9.03658215,12.8234576,0.0366272414,0.125293576,9.00665881,3.51651617,-0.00209794916
0.000379166216,18.0,9.03441646,9.03437553,12.6149225,0.0344178316,0.123103897,9.00221447,3.29948282,-0.00223987925
0.000389166216,18.0,9.03207118,9.03203318,12.3920831,0.0320725903,0.120779672,8.99776119,3.06870625,-0.00237298986
0.000399166216,18.0,9.02959934,9.02956434,12.155818,0.0296007731,0.118330068,8.99331656,2.82509827,-0.00249669572
0.000409166216,18.0,9.02701067,9.02697875,11.9070592,0.0270121353,0.11576475,8.98889817,2.56962157,-0.00261056089
0.000419166216,18.0,9.0243154,9.02428661,11.6467881,0.0243168928,0.113093842,8.9845235,2.30328597,-0.00271408081
0.000429166216,18.0,9.02152417,9.02149854,11.3760319,0.0215256827,0.110327887,8.98020984,2.02714434,-0.0028068954
0.000439166216,18.0,9.01864799,9.01862556,11.0958594,0.0186495206,0.107477803,8.97597425,1.74228849,-0.00288858772
0.000449166216,18.0,9.01569821,9.01567901,10.8073766,0.0156997573,0.104554846,8.97183348,1.44984479,-0.0029588805
0.000459166216,18.0,9.01268647,9.01267052,10.5117227,0.0126880343,0.101570556,8.96780391,1.1509697,-0.00301744995
0.000469166216,18.0,9.00962466,9.00961198,10.210065,0.00962623737,0.0985367198,8.96390146,0.846845196,-0.00306410695
0.000479166216,18.0,9.00652487,9.00651546,9.90359499,0.00652645009,0.0954653187,8.96014156,0.538674083,-0.00309862494
0.000489166216,18.0,9.00339932,9.00339319,9.59352296,0.0034009059,0.0923684838,8.95653906,0.227675213,-0.00312090683
0.000499166216,18.0,9.00026035,9.00025751,9.28107359,0.00026193988,0.0892584466,8.95310821,-0.0849213418,-0.00313082589
0.000509166216,18.0,8.99712035,8.99712081,8.96748098,-0.00287805989,0.0861474915,8.94986256,-0.39787916,-0.00312837941
0.000519166216,18.0,8.99399171,8.99399546,8.65398375,-0.00600670128,0.0830479063,8.94681494,-0.709960372,-0.00311354158
0.000529166216,18.0,8.99088679,8.99089382,8.3418202,-0.00911163696,0.0799719341,8.94397738,-1.01993056,-0.00308640492
0.000539166216,18.0,8.98781782,8.98782814,8.03222333,-0.0121806132,0.0769317245,8.94136109,-1.32656365,-0.00304704412
0.000549166216,18.0,8.98479693,8.98481052,7.72641598,-0.0152015181,0.0739392858,8.9389764,-1.62864677,-0.0029956462
0.000559166216,18.0,8.98183603,8.98185289,7.42560603,-0.0181624295,0.071006437,8.93683273,-1.92498504,-0.0029323845
0.000569166216,18.0,8.97894682,8.97896692,7.13098154,-0.0210516621,0.0681447612,8.93493853,-2.21440634,-0.00285753831
0.000579166216,18.0,8.97614069,8.97616402,6.84370612,-0.0238578135,0.0653655599,8.93330128,-2.4957659,-0.00277137621
